env_steps,return,length,FPS,time
14407,-176.0,100,47.5301,2.1039
14507,-222.0,100,48.9924,2.0411
14607,-322.0,100,48.0762,2.08
14707,-186.0,100,47.1857,2.1193
14807,-192.0,100,46.8908,2.1326
14907,-186.0,100,48.036,2.0818
15007,-162.0,100,0.0,0.3972
15107,-362.0,100,45.9247,2.1775
15207,-190.0,100,46.7411,2.1394
15307,-216.0,100,47.6501,2.0986
15407,-272.0,100,48.7458,2.0515
15507,-342.0,100,48.2967,2.0705
15607,-162.0,100,47.3145,2.1135
15707,42.0,32,52.4327,1.9072
15739,-270.0,100,33.4354,0.9571
15839,-176.0,100,48.8946,2.0452
15939,-340.0,100,47.2542,2.1162
16039,-346.0,100,0.0,0.4016
16139,-206.0,100,46.9505,2.1299
16239,-164.0,100,48.3919,2.0665
16339,-166.0,100,47.0842,2.1239
16439,-156.0,100,48.731,2.0521
16539,-252.0,100,47.2549,2.1162
16639,-174.0,100,48.3084,2.07
16739,-226.0,100,47.4683,2.1067
16839,-220.0,100,46.5609,2.1477
16939,-156.0,100,48.3957,2.0663
17039,-49.0,63,0.0,0.2661
17102,-152.0,100,42.8903,1.4689
17202,-152.0,100,48.9968,2.041
17302,-190.0,100,48.6724,2.0546
17402,-222.0,100,47.39,2.1102
17502,-306.0,100,47.6505,2.0986
17602,-276.0,100,46.4656,2.1521
17702,-186.0,100,47.8524,2.0898
17802,-202.0,100,48.0443,2.0814
17902,-166.0,100,47.4851,2.1059
18002,-256.0,100,0.0,0.399
18102,-586.0,100,46.9534,2.1298
18202,-252.0,100,47.7488,2.0943
18302,-400.0,100,46.6553,2.1434
18402,-152.0,100,47.7102,2.096
18502,-266.0,100,47.6124,2.1003
18602,-206.0,100,48.4438,2.0642
18702,-196.0,100,46.3773,2.1562
18802,-216.0,100,47.4522,2.1074
18902,3.0,55,51.2034,1.953
18957,-162.0,100,41.215,1.3345
19057,-124.0,92,0.0,0.3811
19149,-302.0,100,47.1977,1.9492
19249,79.0,13,57.4607,1.7403
19262,-230.0,100,20.4723,0.635
19362,-246.0,100,47.034,2.1261
19462,-222.0,100,47.8902,2.0881
19562,-262.0,100,46.9221,2.1312
19662,-172.0,100,46.8454,2.1347
19762,-162.0,100,47.8925,2.088
19862,-180.0,100,47.2164,2.1179
19962,-296.0,100,46.3037,2.1597
20062,-232.0,100,0.0,0.3985
20162,-220.0,100,45.5199,2.1968
20262,-336.0,100,47.632,2.0994
20362,-236.0,100,47.8511,2.0898
20462,-280.0,100,46.906,2.1319
20562,-186.0,100,46.1255,2.168
20662,-186.0,100,48.5608,2.0593
20762,-226.0,100,47.5663,2.1023
20862,-266.0,100,47.7765,2.0931
20962,-296.0,100,46.5272,2.1493
21062,-240.0,100,0.0,0.3999
21162,-206.0,100,48.0786,2.0799
21262,-310.0,100,47.8448,2.0901
21362,-442.0,100,48.3331,2.069
21462,-256.0,100,47.1956,2.1188
21562,-246.0,100,47.0915,2.1235
21662,-356.0,100,48.9883,2.0413
21762,-152.0,100,47.7485,2.0943
21862,-240.0,100,48.4952,2.0621
21962,-262.0,100,48.4057,2.0659
22062,-182.0,100,0.0,0.3991
22162,-196.0,100,48.2467,2.0727
22262,-196.0,100,48.0537,2.081
22362,-276.0,100,47.4055,2.1095
22462,-206.0,100,47.6946,2.0967
22562,-236.0,100,47.2123,2.1181
22662,-266.0,100,47.5254,2.1041
22762,-246.0,100,48.692,2.0537
22862,-250.0,100,47.1743,2.1198
22962,-206.0,100,46.6504,2.1436
23062,-596.0,100,0.0,0.3916
23162,-196.0,100,48.3498,2.0683
23262,-436.0,100,47.9064,2.0874
23362,-380.0,100,48.874,2.0461
23462,-170.0,100,47.999,2.0834
23562,-230.0,100,48.256,2.0723
23662,-312.0,100,47.5756,2.1019
23762,-260.0,100,47.1,2.1231
23862,-256.0,100,47.6347,2.0993
23962,-166.0,100,46.8664,2.1337
24062,-152.0,100,0.0,0.3974
24162,-176.0,100,49.0054,2.0406
24262,-206.0,100,46.4864,2.1512
24362,-246.0,100,47.9809,2.0842
24462,-236.0,100,47.1071,2.1228
24562,-306.0,100,47.2009,2.1186
24662,-280.0,100,47.0363,2.126
24762,-296.0,100,47.7764,2.0931
24862,-186.0,100,47.0855,2.1238
24962,-156.0,100,47.7918,2.0924
25062,-186.0,100,0.0,0.3971
25162,-326.0,100,46.8939,2.1325
25262,3.0,61,52.5238,1.9039
25323,-256.0,100,41.8752,1.4567
25423,-330.0,100,47.724,2.0954
25523,-206.0,100,47.756,2.094
25623,-206.0,100,48.0313,2.082
25723,-246.0,100,48.0006,2.0833
25823,-252.0,100,40.4429,2.4726
25923,54.0,24,53.781,1.8594
25947,-520.0,100,26.374,0.91
26047,-286.0,100,0.0,0.5501
26147,-266.0,100,47.081,2.124
26247,-332.0,100,48.2224,2.0737
26347,-226.0,100,47.0077,2.1273
26447,-316.0,100,47.0675,2.1246
26547,-282.0,100,46.997,2.1278
26647,-182.0,100,46.6223,2.1449
26747,-196.0,100,47.2872,2.1147
26847,-316.0,100,46.192,2.1649
26947,-226.0,100,48.4555,2.0638
27047,-266.0,100,0.0,0.4009
27147,-296.0,100,47.2419,2.1168
27247,-226.0,100,43.5676,2.2953
27347,-196.0,100,47.3079,2.1138
27447,-300.0,100,47.2027,2.1185
27547,-266.0,100,47.6382,2.0992
27647,-262.0,100,47.4697,2.1066
27747,-292.0,100,48.5579,2.0594
27847,-118.0,92,47.4577,2.1071
27939,-212.0,100,47.6264,1.9317
28039,-216.0,100,0.0,0.4009
28139,-200.0,100,47.607,2.1005
28239,-63.0,67,51.2562,1.951
28306,-51.0,83,44.433,1.5079
28389,-196.0,100,46.956,1.7676
28489,-206.0,100,47.935,2.0862
28589,-202.0,100,48.4458,2.0642
28689,-216.0,100,47.5902,2.1013
28789,-226.0,100,48.5068,2.0616
28889,-226.0,100,48.32,2.0695
28989,-256.0,100,46.908,2.1318
29089,-216.0,100,0.0,0.399
29189,-420.0,100,46.922,2.1312
29289,-206.0,100,47.1442,2.1212
29389,-262.0,100,48.2746,2.0715
29489,-300.0,100,47.7071,2.0961
29589,-376.0,100,47.2569,2.1161
29689,-346.0,100,48.617,2.0569
29789,-362.0,100,46.9621,2.1294
29889,-24.0,58,51.8013,1.9305
29947,-226.0,100,42.1845,1.3749
30047,-276.0,100,0.0,0.3977
30147,-280.0,100,48.2115,2.0742
30247,-236.0,100,47.2966,2.1143
30347,-190.0,100,48.1679,2.0761
30447,-69.0,69,51.0807,1.9577
30516,-600.0,100,41.4885,1.6631
30616,-306.0,100,48.0612,2.0807
30716,-250.0,100,48.7501,2.0513
30816,-366.0,100,47.8234,2.091
30916,-252.0,100,47.3524,2.1118
31016,-252.0,100,0.0,0.3977
31116,-242.0,100,46.6361,2.1443
31216,-456.0,100,47.7735,2.0932
31316,-306.0,100,48.3966,2.0663
31416,-79.0,67,51.0822,1.9576
31483,-346.0,100,43.1593,1.5524
31583,-236.0,100,48.8406,2.0475
31683,-322.0,100,48.4727,2.063
31783,-216.0,100,48.5326,2.0605
31883,-326.0,100,48.2332,2.0733
31983,-232.0,100,48.7791,2.0501
32083,-370.0,100,0.0,0.3983
32183,-442.0,100,47.4077,2.1094
32283,-196.0,82,48.6939,2.0536
32365,-230.0,100,45.1482,1.8162
32465,-326.0,100,48.5017,2.0618
32565,-270.0,100,47.2986,2.1142
32665,-356.0,100,48.5529,2.0596
32765,-520.0,100,47.3802,2.1106
32865,66.0,22,54.813,1.8244
32887,-119.0,87,28.7983,0.7639
32974,-406.0,100,46.1039,1.887
33074,-202.0,100,0.0,0.3953
33174,-332.0,100,47.5786,2.1018
33274,-296.0,100,48.1794,2.0756
33374,-262.0,100,47.7425,2.0946
33474,-362.0,100,47.4124,2.1092
33574,-272.0,100,47.6412,2.099
33674,-326.0,100,48.1263,2.0779
33774,-296.0,100,48.4237,2.0651
33874,-260.0,100,48.1383,2.0773
33974,-232.0,100,47.5556,2.1028
34074,-256.0,100,0.0,0.3938
34174,-230.0,100,48.1849,2.0753
34274,-506.0,100,46.6895,2.1418
34374,-276.0,100,48.3783,2.067
34474,-270.0,100,47.0445,2.1256
34574,-260.0,100,47.4253,2.1086
34674,-236.0,100,46.5279,2.1492
34774,-302.0,100,46.6824,2.1421
34874,-336.0,100,44.7794,2.2332
34974,94.0,2,59.3379,1.6853
34976,-232.0,100,4.3118,0.4638
35076,-346.0,100,0.0,0.5396
35176,-286.0,100,44.3484,2.2549
35276,-206.0,100,47.5453,2.1033
35376,-226.0,100,46.5973,2.146
35476,-320.0,100,46.8183,2.1359
35576,-202.0,100,47.2523,2.1163
35676,-336.0,100,46.9207,2.1313
35776,-212.0,100,47.0981,2.1232
35876,-276.0,100,45.5691,2.1945
35976,-320.0,100,46.6213,2.1449
36076,-230.0,100,0.0,0.404
36176,-326.0,100,47.4318,2.1083
36276,-506.0,100,49.352,2.0263
36376,-270.0,100,47.344,2.1122
36476,-266.0,100,48.4131,2.0656
36576,-796.0,100,46.8402,2.1349
36676,-222.0,100,47.8671,2.0891
36776,-226.0,100,47.4096,2.1093
36876,-232.0,100,47.7162,2.0957
36976,-35.0,47,52.7842,1.8945
37023,65.0,11,0.0,0.0599
37034,-366.0,100,18.6712,0.5891
37134,-222.0,100,47.2338,2.1171
37234,-110.0,70,50.3352,1.9867
37304,-83.0,55,49.9522,1.4013
37359,-606.0,100,41.4386,1.3273
37459,-226.0,100,46.8925,2.1325
37559,-230.0,100,45.8781,2.1797
37659,-436.0,100,47.6773,2.0974
37759,-43.0,57,51.4879,1.9422
37816,-1100.0,100,40.4562,1.4089
37916,-710.0,100,47.3034,2.114
38016,-672.0,100,0.0,0.4044
38116,-256.0,100,45.4633,2.1996
38216,-1130.0,100,47.2648,2.1157
38316,-206.0,100,46.9596,2.1295
38416,-196.0,100,48.171,2.0759
38516,91.0,5,58.4734,1.7102
38521,-400.0,100,10.0733,0.4964
38621,-480.0,100,47.8275,2.0908
38721,-53.0,79,50.6014,1.9762
38800,-252.0,100,44.7715,1.7645
38900,-382.0,100,47.4878,2.1058
39000,-266.0,100,0.0,0.4006
39100,-210.0,100,46.2765,2.1609
39200,-266.0,100,46.9209,2.1312
39300,-166.0,100,48.2138,2.0741
39400,-332.0,100,47.9399,2.0859
39500,-55.0,89,49.6889,2.0125
39589,-256.0,100,46.1316,1.9293
39689,-326.0,100,45.8639,2.1804
39789,-310.0,100,48.1248,2.0779
39889,-176.0,100,48.2724,2.0716
39989,-372.0,100,47.1198,2.1223
40089,-242.0,100,0.0,0.4024
40189,-412.0,100,47.2505,2.1164
40289,-386.0,100,48.284,2.0711
40389,-62.0,72,49.9111,2.0036
40461,-166.0,100,45.1817,1.5936
40561,-322.0,100,46.5276,2.1493
40661,-264.0,34,51.9877,1.9235
40695,-230.0,100,35.0749,0.9694
40795,-270.0,100,47.4272,2.1085
40895,-286.0,100,47.4182,2.1089
40995,-216.0,100,46.1258,2.168
41095,-190.0,100,0.0,0.3996
41195,-166.0,100,47.9718,2.0846
41295,-396.0,100,47.8228,2.0911
41395,-216.0,100,47.7429,2.0946
41495,-186.0,100,46.7627,2.1385
41595,-366.0,100,48.3284,2.0692
41695,-240.0,100,47.5698,2.1022
41795,-362.0,100,47.9519,2.0854
41895,-320.0,100,47.354,2.1118
41995,-346.0,100,47.1466,2.121
42095,15.0,11,0.0,0.0488
42106,-387.0,95,19.6892,0.5587
42201,-340.0,100,46.8505,2.0277
42301,-230.0,76,49.4584,2.0219
42377,-406.0,100,45.2443,1.6798
42477,-326.0,100,48.7588,2.0509
42577,-282.0,100,48.5317,2.0605
42677,-336.0,100,46.7628,2.1385
42777,-396.0,100,47.5067,2.105
42877,-370.0,100,47.3972,2.1098
42977,-456.0,100,48.0471,2.0813
43077,-426.0,100,0.0,0.3999
43177,-252.0,100,48.3473,2.0684
43277,-422.0,100,46.2832,2.1606
43377,-192.0,72,50.2774,1.989
43449,-276.0,100,44.6329,1.6132
43549,-356.0,100,48.4262,2.065
43649,-380.0,100,47.3739,2.1109
43749,-396.0,100,47.3037,2.114
43849,-228.0,56,50.7254,1.9714
43905,-500.0,100,41.4776,1.3501
44005,-332.0,100,0.0,0.4038
44105,-556.0,100,48.7139,2.0528
44205,-626.0,100,47.051,2.1254
44305,-286.0,100,46.7922,2.1371
44405,-290.0,100,45.9749,2.1751
44505,50.0,18,56.7111,1.7633
44523,-206.0,100,24.4487,0.7362
44623,-592.0,100,47.6215,2.0999
44723,-330.0,100,48.6168,2.0569
44823,-542.0,100,47.9365,2.0861
44923,-296.0,100,48.0618,2.0807
45023,-402.0,100,0.0,0.4214
45123,-446.0,100,47.9253,2.0866
45223,-360.0,100,46.9483,2.13
45323,-366.0,100,47.5705,2.1021
45423,-253.0,79,50.6098,1.9759
45502,-332.0,100,44.1712,1.7885
45602,-442.0,100,48.1854,2.0753
45702,-400.0,100,47.7863,2.0927
45802,-226.0,100,47.5117,2.1047
45902,-78.0,50,51.5195,1.941
45952,-386.0,100,39.879,1.2538
46052,-183.0,55,0.0,0.2257
46107,-420.0,100,41.6721,1.3198
46207,-350.0,100,47.5225,2.1043
46307,-422.0,100,46.4646,2.1522
46407,-432.0,100,47.2597,2.116
46507,-1072.0,100,47.6936,2.0967
46607,-372.0,100,46.7166,2.1406
46707,-412.0,100,47.4351,2.1081
46807,-380.0,100,46.4064,2.1549
46907,-436.0,100,48.3989,2.0662
47007,-446.0,100,0.0,0.3981
47107,-286.0,100,46.0412,2.172
47207,-406.0,100,46.6902,2.1418
47307,-350.0,100,46.9895,2.1281
47407,-8.0,26,55.0784,1.8156
47433,-366.0,100,31.136,0.835
47533,96.0,4,57.6859,1.7335
47537,-166.0,100,8.2108,0.4872
47637,-506.0,100,47.5074,2.1049
47737,-312.0,100,46.1251,2.168
47837,-546.0,100,48.8058,2.0489
47937,-486.0,100,46.941,2.1303
48037,-516.0,100,0.0,0.3981
48137,-536.0,100,47.0031,2.1275
48237,-326.0,100,47.2144,2.118
48337,-436.0,100,48.2298,2.0734
48437,-356.0,100,47.3457,2.1121
