env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
86600,inf,2649066035.2,2672557066.24,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,7196481038043.429,952564957184.0
86700,inf,2649055475.2,2672548039.68,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,26205136589385.145,3452520824832.0
86800,inf,2649101560.32,2672589455.36,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,27453023102098.285,3631797370880.0
86900,inf,2649081768.96,2672569986.56,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,2826549853037.7144,373775159296.0
87000,inf,2649086446.08,2672574031.36,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,564909594221.7142,74798285824.0
87100,inf,2649012953.6,2672510202.88,-1.0580660845237744e+19,2.7726,3.8161665408651756e+18,inf,0.0,2167972542025.1428,287991377920.0
87200,inf,2649064558.08,2672554278.4,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,6633122787328.0,877575897088.0
87300,inf,2649069608.96,2672560448.0,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,39934907580416.0,5272602804224.0
87400,inf,2649056680.96,2672548311.04,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,22525425408877.715,2953755197440.0
87500,inf,2649074419.2,2672564830.72,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,5973567361024.0,789317844992.0
87600,inf,2649086144.0,2672577441.28,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,2336313463076.5713,308003852288.0
87700,inf,2649101770.24,2672587010.56,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,2368683960320.0,316131913728.0
87800,inf,2649059617.28,2672552317.44,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,46822809988534.86,6184953053184.0
87900,inf,2649076218.88,2672563586.56,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,9178870192420.572,1226156146688.0
88000,inf,2649084915.2,2672571141.12,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,6179857807652.571,815785918464.0
88100,inf,2649046579.2,2672540564.48,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,1495519614098.2856,198301288448.0
88200,inf,2649054952.96,2672546401.28,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,13302313762816.0,1756934995968.0
88300,inf,2649097428.48,2672583293.44,-1.058066085623286e+19,2.7726,3.8161665408651756e+18,inf,0.0,17602522852790.855,2331879014400.0
88400,inf,2649048194.56,2672540856.32,-1.0580660867227976e+19,2.7726,3.8161665408651756e+18,inf,0.0,1214225158729.1428,160319619072.0
