env_steps,return,restorations,length,FPS,time
24200,-1384.0,44,100,66.75,1.4981
24300,-1510.0,78,100,63.3054,1.5796
24400,-1123.0,24,100,67.4266,1.4831
24500,-1115.0,18,100,66.7921,1.4972
24600,-1390.0,65,100,63.5288,1.5741
24700,-1386.0,50,100,68.4145,1.4617
24800,-1349.0,53,100,66.5762,1.502
24900,-1284.0,80,100,64.6091,1.5478
25000,-1154.0,34,100,69.7112,1.4345
25100,-1280.0,49,100,67.9271,1.4722
25200,-1107.0,15,100,66.8026,1.497
25300,-1152.0,61,100,65.6595,1.523
25400,-1468.0,80,100,66.2903,1.5085
25500,-1368.0,80,100,65.9875,1.5154
25600,-1323.0,63,100,64.2196,1.5572
25700,-1214.0,48,100,66.1584,1.5115
25800,-1141.0,29,100,67.5372,1.4807
25900,-1130.0,33,100,66.3607,1.5069
26000,-1202.0,22,100,66.8857,1.4951
26100,-1375.0,80,100,65.2793,1.5319
26200,-1220.0,28,100,67.0528,1.4914
26300,-1440.0,80,100,63.7078,1.5697
26400,-1264.0,58,100,66.7847,1.4974
26500,-1443.0,79,100,66.2096,1.5104
26600,-1466.0,80,100,62.9679,1.5881
26700,-1181.0,43,100,65.7282,1.5214
26800,-1419.0,79,100,65.9596,1.5161
26900,-1539.0,80,100,64.2887,1.5555
27000,-1560.0,99,100,66.4889,1.504
27100,-1483.0,80,100,66.8041,1.4969
27200,-1312.0,80,100,66.2521,1.5094
27300,-1441.0,80,100,65.95,1.5163
27400,-1227.0,80,100,66.4556,1.5048
27500,-1418.0,79,100,66.2249,1.51
27600,-1481.0,80,100,65.8283,1.5191
27700,-1408.0,77,100,65.9625,1.516
27800,-1224.0,80,100,65.2155,1.5334
27900,-1509.0,80,100,65.2149,1.5334
28000,-1104.0,80,100,65.8914,1.5177
28100,-1528.0,80,100,66.5257,1.5032
28200,-1595.0,97,100,66.5807,1.5019
28300,-1471.0,77,100,66.7906,1.4972
28400,-1444.0,80,100,67.3459,1.4849
28500,-1500.0,80,100,66.4983,1.5038
28600,-1371.0,80,100,65.9165,1.5171
28700,-1463.0,80,100,66.7117,1.499
28800,-689.0,69,100,65.2194,1.5333
28900,-1073.0,47,100,66.6051,1.5014
29000,-1263.0,80,100,66.1685,1.5113
29100,-1500.0,95,100,65.5789,1.5249
29200,-1382.0,80,100,63.9962,1.5626
29300,-1549.0,80,100,65.8881,1.5177
29400,-1461.0,80,100,66.1548,1.5116
29500,-1444.0,80,100,66.7756,1.4976
29600,-1197.0,18,100,67.2664,1.4866
29700,-1491.0,80,100,66.6573,1.5002
29800,-696.0,70,100,67.3188,1.4855
29900,-1507.0,94,100,65.3196,1.5309
30000,-1520.0,80,100,0.0,0.5482
30100,-1483.0,80,100,63.5514,1.5735
30200,-1425.0,80,100,40.9321,2.4431
30300,-1429.0,79,100,64.6003,1.548
30400,-1445.0,80,100,66.0242,1.5146
30500,-1418.0,80,100,65.1121,1.5358
30600,-1459.0,80,100,66.6412,1.5006
30700,-1448.0,79,100,64.5857,1.5483
30800,-1542.0,80,100,66.0771,1.5134
30900,-1410.0,80,100,65.4278,1.5284
31000,-1304.0,79,100,67.2449,1.4871
31100,-1375.0,80,100,67.0468,1.4915
31200,-665.0,69,100,67.061,1.4912
31300,-1259.0,32,100,69.2325,1.4444
31400,-1366.0,80,100,65.0124,1.5382
31500,-1265.0,70,100,65.415,1.5287
31600,-1454.0,80,100,65.6657,1.5229
31700,-1494.0,80,100,66.6404,1.5006
31800,-1450.0,80,100,64.6548,1.5467
31900,-1521.0,80,100,66.6502,1.5004
32000,-1320.0,79,100,66.4505,1.5049
32100,-1434.0,70,100,65.8877,1.5177
32200,-1453.0,75,100,65.3964,1.5291
32300,-1084.0,66,100,66.8548,1.4958
32400,-1133.0,19,100,67.1856,1.4884
32500,-1465.0,79,100,65.5938,1.5245
32600,-1397.0,80,100,64.9647,1.5393
32700,-1488.0,94,100,65.9293,1.5168
32800,-1439.0,80,100,65.2348,1.5329
32900,-1361.0,80,100,66.6715,1.4999
33000,-1497.0,80,100,67.4136,1.4834
33100,-1509.0,80,100,65.2116,1.5335
