env_steps,return,invalid_actions,length,FPS,time
0,0.3,0.02,100,0.0,0.0749
100,0.0,0.01,100,141.8661,0.7049
200,0.1,0.02,100,142.5009,0.7018
300,0.1,0.0,100,148.7093,0.6725
400,0.0,0.01,100,150.1511,0.666
500,0.1,0.02,100,148.7684,0.6722
600,0.0,0.01,100,148.3149,0.6742
700,0.1,0.01,100,151.4961,0.6601
800,0.0,0.0,100,146.6676,0.6818
900,0.1,0.01,100,149.5841,0.6685
1000,0.4,0.01,100,0.0,0.0473
1100,0.0,0.0,100,147.7011,0.677
1200,2.4,0.0,100,148.6109,0.6729
1300,1.2,0.01,100,146.5556,0.6823
1400,0.0,0.0,100,148.0131,0.6756
1500,0.4,0.0,100,148.124,0.6751
1600,0.0,0.01,100,147.5824,0.6776
1700,0.4,0.0,100,146.4946,0.6826
1800,0.0,0.01,100,150.1004,0.6662
1900,0.0,0.0,100,147.0046,0.6803
2000,0.2,0.02,100,0.0,0.0469
2100,0.1,0.0,100,146.1695,0.6841
2200,0.0,0.0,100,146.4335,0.6829
2300,0.0,0.01,100,148.4644,0.6736
2400,0.1,0.02,100,145.1434,0.689
2500,1.3,0.0,100,147.9855,0.6757
2600,0.0,0.01,100,146.9149,0.6807
2700,0.0,0.0,100,144.6054,0.6915
2800,0.0,0.02,100,148.1624,0.6749
2900,0.0,0.01,100,148.3735,0.674
3000,0.0,0.0,100,0.0,0.046
3100,0.0,0.01,100,146.1287,0.6843
3200,0.0,0.03,100,145.1005,0.6892
3300,0.2,0.01,100,147.9889,0.6757
3400,0.0,0.0,100,148.0258,0.6756
3500,0.1,0.0,100,144.8912,0.6902
3600,0.0,0.01,100,147.5904,0.6776
3700,0.2,0.01,100,147.9664,0.6758
3800,0.0,0.01,100,144.8644,0.6903
3900,0.0,0.0,100,145.6363,0.6866
4000,0.0,0.01,100,0.0,0.0481
4100,0.0,0.02,100,144.6253,0.6914
4200,0.0,0.0,100,146.6114,0.6821
4300,0.1,0.01,100,145.4547,0.6875
4400,0.0,0.0,100,147.1378,0.6796
4500,0.1,0.0,100,145.649,0.6866
4600,0.1,0.0,100,145.0997,0.6892
4700,0.0,0.0,100,145.5725,0.6869
4800,0.0,0.0,100,145.5513,0.687
4900,2.4,0.01,100,146.7035,0.6816
