env_steps,return,restorations,length,FPS,time
0,-981.0,536,100,0.0,0.6858
100,-971.0,546,100,43.0732,2.3216
200,-1065.0,645,100,47.1401,2.1213
300,-1082.0,692,100,48.7448,2.0515
400,-978.0,613,100,49.4579,2.0219
500,-903.0,523,100,48.6017,2.0575
600,-905.0,535,100,49.3098,2.028
700,-977.0,612,100,49.5029,2.0201
800,-1037.0,702,100,48.384,2.0668
900,-870.0,560,100,48.2988,2.0704
1000,-940.0,585,100,49.225,2.0315
1100,-1023.0,688,100,48.8069,2.0489
1200,-1077.0,742,100,49.3688,2.0256
1300,-973.0,653,100,48.2774,2.0714
1400,-957.0,627,100,49.1571,2.0343
1500,-1011.0,691,100,48.7657,2.0506
1600,-997.0,692,100,49.1724,2.0337
1700,-906.0,661,100,48.8539,2.0469
1800,-825.0,545,100,48.885,2.0456
1900,-1070.0,780,100,48.4482,2.0641
2000,-989.0,689,100,49.6853,2.0127
2100,-997.0,772,100,48.9103,2.0446
2200,-968.0,713,100,48.704,2.0532
2300,-933.0,713,100,50.3332,1.9868
2400,-976.0,726,100,49.4359,2.0228
2500,-1053.0,793,100,49.4904,2.0206
2600,-1028.0,788,100,48.3972,2.0662
2700,-1119.0,949,100,49.5205,2.0194
2800,-1034.0,869,100,48.5294,2.0606
2900,-1071.0,891,100,49.5787,2.017
3000,-1117.0,937,100,49.6384,2.0146
3100,-1139.0,984,100,49.3871,2.0248
3200,-1188.0,1018,100,49.3761,2.0253
3300,-1308.0,848,100,48.2307,2.0734
3400,-1224.0,1059,100,48.4623,2.0635
3500,-1133.0,1038,100,48.92,2.0442
3600,-1239.0,1119,100,48.9933,2.0411
3700,-1212.0,1072,100,48.1111,2.0785
3800,-1203.0,1093,100,47.8552,2.0896
3900,-1096.0,1011,100,49.2013,2.0325
4000,-1207.0,1097,100,48.897,2.0451
4100,-1214.0,1099,100,48.8144,2.0486
4200,-1187.0,1102,100,49.7877,2.0085
4300,-1172.0,1112,100,48.2313,2.0733
4400,-1193.0,1148,100,49.5015,2.0201
4500,-1155.0,1105,100,48.356,2.068
4600,-1228.0,1198,100,49.2104,2.0321
4700,-1213.0,1198,100,48.6185,2.0568
4800,-1206.0,1196,100,49.0176,2.0401
4900,-1600.0,1110,100,48.9322,2.0436
5000,-1203.0,1198,100,48.4822,2.0626
5100,-1207.0,1197,100,49.2508,2.0304
5200,-1203.0,1198,100,48.6644,2.0549
5300,-1434.0,1139,100,48.7678,2.0505
5400,-1581.0,1116,100,48.1279,2.0778
5500,-1374.0,1164,100,49.3496,2.0264
5600,-1418.0,1158,100,49.7579,2.0097
5700,-1646.0,1146,100,49.3453,2.0265
5800,-1351.0,1176,100,48.1259,2.0779
5900,-1438.0,1133,100,48.9185,2.0442
6000,-1379.0,1164,100,48.6233,2.0566
6100,-1254.0,1159,100,48.6531,2.0554
6200,-1448.0,1153,100,49.0539,2.0386
6300,-1347.0,1152,100,48.1863,2.0753
6400,-1496.0,1111,100,47.6389,2.0991
6500,-1548.0,1133,100,49.4868,2.0207
6600,-1346.0,1136,100,49.3218,2.0275
6700,-1583.0,1083,100,48.9973,2.0409
6800,-1259.0,1184,100,48.4995,2.0619
6900,-1615.0,1115,100,49.9321,2.0027
7000,-1469.0,1134,100,49.0424,2.0391
7100,-1629.0,1129,100,48.988,2.0413
7200,-1339.0,1164,100,48.0684,2.0804
7300,-1657.0,1157,100,49.784,2.0087
7400,-1387.0,1167,100,50.0074,1.9997
7500,-1586.0,1086,100,48.8297,2.0479
