env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,5.7685,-0.9934,-0.9967,-1.9077,2.7326,1.0312,0.8533,1.1648,0.0026,0.0006
200,2.758,-1.8464,-1.8501,-1.319,2.6565,1.0971,0.8289,1.6433,0.0075,0.0018
300,2.2653,-1.5669,-1.5755,-1.7462,2.7133,1.169,1.6533,4.0085,0.01,0.0033
400,2.7489,-1.7548,-1.7641,-1.7352,2.7339,1.2473,1.278,3.1459,0.0095,0.0067
500,3.0059,-1.8106,-1.8193,-1.9559,2.6898,1.3334,1.7406,3.398,0.0086,0.0051
600,3.3146,-1.482,-1.4889,-2.5862,2.6528,1.4289,2.6366,6.6903,0.021,0.0279
700,3.4836,-1.1463,-1.1485,-3.2178,2.6719,1.5343,3.6069,9.163,0.0299,0.0124
800,4.2362,-1.2989,-1.297,-3.3122,2.714,1.6497,2.3944,4.8122,0.0191,0.0145
900,4.3758,-0.8156,-0.8155,-4.1182,2.7333,1.7759,5.2248,14.207,0.0158,0.0054
1000,5.8028,-0.1761,-0.1767,-5.1123,2.7328,1.9151,5.9552,16.6446,0.0176,0.0135
1100,7.4914,0.6398,0.6398,-6.3778,2.7318,2.069,5.1841,13.2729,0.0208,0.0139
1200,7.9597,1.7572,1.7557,-7.9319,2.7372,2.2391,4.5164,10.8753,0.0274,0.0284
1300,8.8868,3.2954,3.2945,-10.0047,2.736,2.4272,6.6508,19.1633,0.0166,0.0151
1400,11.064,4.8559,4.8581,-12.1331,2.7401,2.6355,9.7605,28.251,0.0132,0.0058
1500,11.4545,6.8341,6.8337,-14.7509,2.7382,2.866,7.7517,19.2015,0.0099,0.0034
1600,13.0526,8.7138,8.7128,-17.3216,2.7469,3.1213,7.4676,16.9512,0.028,0.026
1700,13.726,11.5439,11.5446,-20.9542,2.7474,3.4039,14.8371,43.3886,0.0293,0.0227
1800,14.7638,14.5128,14.5145,-24.7893,2.7491,3.7171,9.7918,22.1413,0.0152,0.0044
1900,15.7238,18.4356,18.4367,-29.6764,2.7501,4.0643,14.1047,38.756,0.0215,0.0071
2000,19.5425,22.5923,22.5934,-34.901,2.7519,4.4492,16.4076,39.4994,0.0169,0.0082
2100,23.6856,27.1385,27.1401,-40.6209,2.7555,4.876,27.7624,77.8621,0.0253,0.0178
2200,25.8,32.4767,32.4771,-47.292,2.752,5.3495,20.5288,44.373,0.0246,0.0165
2300,32.2094,38.6455,38.6465,-54.9277,2.7485,5.8752,44.5441,90.8159,0.0226,0.0105
2400,39.0119,45.4614,45.4606,-63.3783,2.7535,6.4585,40.1329,89.3794,0.0271,0.015
2500,51.7185,53.1176,53.1186,-72.813,2.7516,7.1054,41.7082,106.1676,0.0435,0.0544
2600,60.1569,62.1452,62.1455,-83.8251,2.7573,7.823,110.7996,275.8173,0.0345,0.0266
2700,70.1219,71.8026,71.8042,-95.6795,2.7582,8.6191,74.8777,189.9669,0.0396,0.0303
2800,74.2936,82.7376,82.7384,-109.0634,2.7596,9.5022,76.8097,197.3435,0.0569,0.0461
2900,116.4276,94.9687,94.9707,-124.0149,2.7597,10.4823,156.1734,424.1589,0.07,0.0602
3000,112.2482,109.0319,109.0338,-141.0463,2.7636,11.57,133.2974,334.9632,0.0413,0.0334
3100,168.5017,124.1453,124.1472,-159.5534,2.7657,12.7763,208.5019,485.9557,0.0323,0.0187
