env_steps,return,restorations,infiltrations,length,FPS,time
892700,63.75,1,105,100,79.4025,1.2594
892800,58.35,4,61,100,81.9237,1.2207
892900,78.75,1,77,100,81.8381,1.2219
893000,62.3,0,54,100,79.5979,1.2563
893100,60.05,0,55,100,82.1172,1.2178
893200,79.3,0,110,100,82.1517,1.2173
893300,58.25,1,51,100,78.9017,1.2674
893400,62.95,1,61,100,81.3976,1.2285
893500,78.55,1,105,100,78.5623,1.2729
893600,68.1,1,62,100,81.7471,1.2233
893700,81.05,0,79,100,81.7757,1.2229
893800,60.9,1,62,100,78.9304,1.2669
893900,59.4,0,52,100,81.6816,1.2243
894000,64.05,1,71,100,79.6095,1.2561
894100,71.55,0,81,100,82.0959,1.2181
894200,90.45,0,95,100,81.7487,1.2233
894300,57.5,5,82,100,79.304,1.261
894400,65.8,0,56,100,81.8559,1.2217
894500,60.6,1,56,100,82.28,1.2154
894600,70.15,3,89,100,79.085,1.2645
894700,64.9,1,54,100,82.1938,1.2166
894800,59.6,1,60,100,81.7089,1.2239
894900,68.55,0,57,100,77.9991,1.2821
895000,78.8,1,92,100,81.1976,1.2316
895100,71.45,2,119,100,78.0865,1.2806
895200,65.3,1,66,100,78.3822,1.2758
895300,66.25,0,67,100,81.4522,1.2277
895400,64.2,2,60,100,79.2596,1.2617
895500,80.6,1,88,100,80.6598,1.2398
895600,65.7,1,66,100,79.404,1.2594
895700,73.0,1,64,100,81.9315,1.2205
895800,73.0,2,60,100,82.179,1.2169
895900,66.4,1,76,100,77.7625,1.286
896000,87.85,1,135,100,78.0758,1.2808
896100,62.3,0,54,100,81.8743,1.2214
896200,76.4,0,76,100,82.0068,1.2194
896300,60.7,0,46,100,79.4404,1.2588
896400,61.1,0,58,100,81.5101,1.2268
896500,58.35,3,57,100,79.1598,1.2633
896600,74.55,1,89,100,81.5622,1.2261
896700,59.0,0,60,100,81.9108,1.2208
896800,79.8,1,88,100,82.3428,1.2144
896900,59.2,0,44,100,79.7094,1.2546
897000,74.0,1,88,100,81.8067,1.2224
897100,79.0,2,72,100,82.3231,1.2147
897200,63.3,2,70,100,79.6241,1.2559
897300,76.65,1,71,100,82.5304,1.2117
897400,64.0,1,64,100,82.0154,1.2193
897500,80.05,0,83,100,82.0693,1.2185
897600,70.9,1,66,100,79.0705,1.2647
897700,83.15,0,85,100,81.1818,1.2318
897800,76.5,1,86,100,79.4217,1.2591
897900,53.3,1,42,100,81.3122,1.2298
898000,79.05,0,115,100,82.3857,1.2138
898100,82.55,0,97,100,78.5377,1.2733
898200,56.25,2,63,100,81.7423,1.2234
898300,91.5,0,110,100,78.0011,1.282
898400,59.1,0,66,100,82.4275,1.2132
898500,66.1,1,50,100,79.3819,1.2597
898600,71.8,2,72,100,82.1819,1.2168
898700,68.75,1,61,100,81.8866,1.2212
898800,74.8,2,96,100,79.6167,1.256
898900,68.45,0,91,100,82.2315,1.2161
899000,78.65,0,83,100,82.7519,1.2084
899100,60.65,1,63,100,82.7419,1.2086
899200,65.45,1,51,100,82.4376,1.213
899300,57.4,0,44,100,82.6667,1.2097
899400,61.35,2,49,100,79.8227,1.2528
899500,65.3,2,62,100,82.2256,1.2162
899600,64.2,0,96,100,81.2732,1.2304
899700,69.1,2,54,100,79.2835,1.2613
899800,72.65,2,91,100,82.3638,1.2141
899900,73.9,2,94,100,82.4654,1.2126
900000,69.45,2,67,100,0.0,0.2872
900100,72.2,0,244,100,78.4445,1.2748
900200,65.25,0,63,100,81.6513,1.2247
900300,72.85,1,87,100,79.0986,1.2642
900400,72.8,2,100,100,81.975,1.2199
900500,63.65,2,79,100,82.2865,1.2153
900600,67.5,0,58,100,78.7571,1.2697
900700,72.3,1,62,100,81.8539,1.2217
900800,77.1,0,70,100,82.4231,1.2133
900900,59.35,2,65,100,79.6566,1.2554
901000,66.8,0,64,100,82.0456,1.2188
901100,63.85,0,55,100,82.5927,1.2108
901200,74.65,0,83,100,82.3681,1.2141
901300,89.15,0,97,100,79.5105,1.2577
901400,61.4,2,56,100,82.0818,1.2183
901500,87.0,1,96,100,81.8707,1.2214
901600,69.25,1,79,100,79.3992,1.2595
901700,70.9,1,66,100,82.1929,1.2167
901800,80.8,1,100,100,82.0285,1.2191
901900,68.7,0,78,100,79.4332,1.2589
902000,73.6,1,76,100,81.875,1.2214
902100,66.85,1,67,100,81.7201,1.2237
902200,73.35,1,93,100,78.6468,1.2715
902300,72.55,0,77,100,82.0064,1.2194
902400,77.25,1,83,100,79.0513,1.265
902500,65.25,1,59,100,82.0912,1.2182
902600,57.25,2,59,100,78.4325,1.275
902700,77.3,2,86,100,80.6238,1.2403
902800,59.55,0,57,100,78.7172,1.2704
902900,82.35,0,97,100,80.9128,1.2359
903000,71.05,2,83,100,78.8314,1.2685
903100,67.85,0,67,100,81.3594,1.2291
903200,66.1,1,70,100,79.1375,1.2636
903300,68.45,3,67,100,81.3552,1.2292
903400,68.75,0,57,100,78.1715,1.2792
903500,66.5,0,58,100,80.6207,1.2404
903600,66.65,2,71,100,78.8583,1.2681
903700,59.15,0,173,100,78.283,1.2774
903800,59.1,3,62,100,81.7907,1.2226
903900,70.0,0,68,100,82.049,1.2188
904000,83.4,0,84,100,79.6024,1.2562
904100,76.0,0,92,100,82.0162,1.2193
904200,62.4,1,56,100,81.5646,1.226
904300,50.85,3,51,100,79.0503,1.265
904400,71.7,1,62,100,81.9148,1.2208
904500,81.4,0,96,100,78.8695,1.2679
904600,86.75,1,117,100,81.9392,1.2204
904700,70.9,2,90,100,81.8316,1.222
904800,62.45,1,75,100,78.9033,1.2674
904900,52.9,2,62,100,81.5858,1.2257
905000,71.5,1,66,100,81.9121,1.2208
905100,71.65,2,59,100,79.3231,1.2607
905200,76.25,0,79,100,81.1539,1.2322
905300,70.05,0,87,100,78.1124,1.2802
905400,68.45,1,55,100,81.872,1.2214
905500,59.55,1,61,100,79.5188,1.2576
905600,71.25,2,67,100,81.9699,1.22
905700,68.05,2,83,100,81.501,1.227
905800,75.6,0,68,100,78.8037,1.269
905900,57.15,0,45,100,81.1165,1.2328
906000,70.75,2,165,100,78.6558,1.2714
906100,74.9,0,106,100,81.4711,1.2274
906200,63.8,4,68,100,78.4306,1.275
906300,76.4,1,104,100,78.643,1.2716
906400,46.65,1,47,100,81.3046,1.2299
906500,73.05,1,95,100,81.9279,1.2206
906600,68.4,1,100,100,79.3537,1.2602
906700,81.05,0,91,100,81.8942,1.2211
906800,68.0,0,52,100,81.5855,1.2257
906900,85.3,1,74,100,78.1482,1.2796
907000,66.85,0,75,100,78.4371,1.2749
907100,58.65,0,47,100,81.0357,1.234
907200,73.75,1,77,100,79.1996,1.2626
907300,71.0,3,100,100,80.9746,1.235
907400,65.3,1,66,100,78.7248,1.2703
907500,66.3,1,62,100,81.3711,1.2289
907600,87.5,0,90,100,78.7885,1.2692
907700,57.95,1,45,100,81.3321,1.2295
907800,84.2,0,76,100,77.5102,1.2902
907900,59.8,2,56,100,81.745,1.2233
908000,61.7,1,66,100,79.055,1.2649
908100,84.1,0,74,100,81.2812,1.2303
908200,76.2,0,124,100,78.5661,1.2728
908300,64.05,1,83,100,81.5007,1.227
908400,56.8,0,40,100,78.6821,1.2709
908500,72.5,1,82,100,81.1124,1.2329
908600,67.65,2,67,100,79.0255,1.2654
908700,75.1,2,66,100,81.8412,1.2219
908800,70.3,1,90,100,78.8072,1.2689
908900,71.1,2,62,100,50.0454,1.9982
909000,86.15,0,73,100,81.3182,1.2297
909100,53.8,3,48,100,78.0905,1.2806
909200,69.45,0,83,100,81.4262,1.2281
909300,89.6,0,88,100,78.6463,1.2715
909400,56.2,1,60,100,81.7639,1.223
909500,70.55,2,77,100,78.25,1.278
909600,73.85,0,87,100,81.9766,1.2199
909700,67.6,2,84,100,77.7417,1.2863
909800,60.5,0,46,100,78.637,1.2717
909900,75.2,0,88,100,81.1816,1.2318
910000,75.9,1,74,100,0.0,0.2811
910100,71.15,0,61,100,81.9158,1.2208
910200,56.8,0,52,100,79.1601,1.2633
910300,66.85,0,71,100,82.1531,1.2172
910400,80.3,0,110,100,82.0581,1.2187
910500,64.3,1,86,100,78.987,1.266
910600,73.25,1,71,100,81.972,1.2199
910700,72.05,1,75,100,79.2271,1.2622
910800,59.8,1,52,100,81.7982,1.2225
910900,64.25,0,67,100,81.864,1.2215
911000,78.4,1,128,100,79.0634,1.2648
911100,60.45,2,83,100,81.832,1.222
911200,65.0,1,68,100,81.8214,1.2222
911300,51.8,2,52,100,79.1524,1.2634
911400,66.8,0,88,100,81.2039,1.2315
911500,70.0,1,76,100,78.6196,1.272
911600,78.3,1,94,100,81.5046,1.2269
911700,65.7,0,54,100,78.9093,1.2673
911800,72.95,1,57,100,80.4822,1.2425
911900,65.75,0,61,100,78.577,1.2726
912000,54.8,5,56,100,81.5361,1.2265
912100,70.3,1,62,100,77.7706,1.2858
912200,82.45,0,183,100,78.3851,1.2758
912300,67.05,1,63,100,82.2639,1.2156
912400,73.45,3,79,100,81.7694,1.223
912500,60.15,0,49,100,79.3378,1.2604
912600,64.25,0,75,100,80.8792,1.2364
912700,55.2,1,56,100,78.339,1.2765
912800,76.6,2,108,100,81.2313,1.2311
912900,74.4,1,100,100,78.9532,1.2666
913000,77.25,1,91,100,78.4596,1.2745
913100,79.25,1,75,100,81.5307,1.2265
913200,71.8,1,76,100,78.3763,1.2759
913300,70.45,0,59,100,81.7083,1.2239
913400,60.85,1,63,100,81.1788,1.2319
913500,56.65,1,67,100,78.4642,1.2745
913600,79.35,0,73,100,81.8538,1.2217
913700,57.4,1,48,100,78.926,1.267
913800,84.9,0,86,100,81.7914,1.2226
913900,76.05,0,63,100,78.7931,1.2692
914000,86.5,0,238,100,81.1536,1.2322
914100,93.8,0,100,100,78.8876,1.2676
914200,74.1,2,78,100,80.6517,1.2399
914300,76.5,0,70,100,79.2264,1.2622
914400,65.05,3,59,100,77.5662,1.2892
914500,61.1,2,50,100,81.0284,1.2341
914600,60.6,0,56,100,79.3575,1.2601
914700,65.2,0,56,100,81.0735,1.2335
914800,62.5,1,82,100,78.724,1.2703
914900,80.75,2,101,100,80.088,1.2486
915000,59.75,0,49,100,77.3394,1.293
915100,79.5,0,78,100,79.3678,1.26
915200,65.25,1,67,100,81.8856,1.2212
915300,81.65,0,87,100,81.624,1.2251
915400,67.9,1,78,100,78.5287,1.2734
915500,79.55,1,81,100,78.2045,1.2787
915600,61.95,2,69,100,80.3812,1.2441
915700,83.1,2,114,100,78.2359,1.2782
915800,69.6,0,68,100,78.2131,1.2786
915900,66.35,2,89,100,81.2725,1.2304
916000,73.8,1,76,100,78.1153,1.2802
916100,59.3,2,70,100,81.2784,1.2303
916200,65.1,4,70,100,78.2641,1.2777
916300,78.4,1,64,100,81.1585,1.2322
916400,73.95,2,85,100,77.5771,1.289
916500,68.95,1,101,100,76.8934,1.3005
916600,50.35,4,57,100,79.2891,1.2612
916700,76.25,2,91,100,80.5753,1.2411
916800,80.6,1,92,100,77.5984,1.2887
916900,62.2,1,64,100,78.4067,1.2754
917000,72.45,0,119,100,81.387,1.2287
917100,86.65,0,115,100,78.8398,1.2684
917200,69.0,3,72,100,81.0311,1.2341
917300,56.8,0,68,100,78.0961,1.2805
917400,69.9,0,66,100,81.196,1.2316
917500,81.75,1,109,100,78.0598,1.2811
917600,64.25,0,71,100,77.5427,1.2896
917700,80.6,3,148,100,77.9996,1.2821
917800,75.2,2,80,100,80.2886,1.2455
917900,59.75,1,65,100,79.336,1.2605
918000,66.15,0,61,100,80.7271,1.2387
918100,74.45,0,91,100,78.3372,1.2765
918200,66.05,0,67,100,81.4844,1.2272
918300,64.5,0,66,100,78.9096,1.2673
918400,75.55,0,65,100,81.1465,1.2323
918500,74.0,2,80,100,78.9585,1.2665
918600,73.35,1,77,100,81.8671,1.2215
918700,69.6,1,72,100,78.9475,1.2667
918800,74.55,3,133,100,81.1144,1.2328
918900,64.8,1,68,100,77.8801,1.284
919000,76.5,1,86,100,78.2401,1.2781
919100,46.55,1,33,100,81.0024,1.2345
919200,69.0,1,100,100,78.3319,1.2766
919300,52.05,2,43,100,77.96,1.2827
919400,64.25,1,63,100,80.4799,1.2426
919500,77.2,0,104,100,78.3415,1.2765
919600,65.3,1,66,100,81.2727,1.2304
919700,49.35,0,33,100,78.21,1.2786
919800,66.85,0,119,100,78.3446,1.2764
919900,70.95,0,69,100,81.307,1.2299
920000,65.3,0,94,100,0.0,0.2789
920100,82.8,0,72,100,77.7788,1.2857
920200,69.2,0,56,100,78.7268,1.2702
920300,71.55,2,73,100,80.4502,1.243
920400,58.5,1,50,100,78.5074,1.2738
920500,63.65,1,51,100,77.8121,1.2852
920600,71.7,0,106,100,81.1646,1.2321
920700,45.6,1,44,100,78.8501,1.2682
920800,67.2,0,56,100,77.6556,1.2877
920900,70.6,2,84,100,80.6933,1.2393
921000,61.1,1,62,100,78.642,1.2716
921100,50.7,0,50,100,81.5747,1.2259
921200,68.85,0,63,100,78.7947,1.2691
921300,56.6,1,44,100,81.4528,1.2277
921400,75.35,0,161,100,78.9345,1.2669
921500,63.8,0,56,100,81.3463,1.2293
921600,66.55,0,65,100,78.5244,1.2735
921700,55.35,0,61,100,81.4766,1.2273
921800,53.3,3,70,100,78.3195,1.2768
921900,77.35,0,73,100,80.4,1.2438
922000,71.55,0,81,100,78.9891,1.266
922100,78.1,2,94,100,81.3921,1.2286
922200,86.1,0,102,100,77.7012,1.287
922300,70.8,1,64,100,78.26,1.2778
922400,71.45,0,83,100,80.5263,1.2418
922500,74.2,1,92,100,77.7667,1.2859
922600,67.65,2,67,100,78.6212,1.2719
922700,66.45,3,103,100,77.5265,1.2899
922800,81.35,0,85,100,79.7445,1.254
922900,64.3,1,86,100,77.7193,1.2867
923000,73.9,0,90,100,78.7759,1.2694
923100,82.15,0,89,100,81.6458,1.2248
923200,83.85,0,75,100,78.9362,1.2668
923300,74.65,2,75,100,81.2502,1.2308
923400,84.25,0,111,100,78.468,1.2744
923500,60.15,2,69,100,81.4187,1.2282
923600,63.05,2,67,100,79.2173,1.2624
923700,66.85,1,75,100,81.215,1.2313
923800,66.55,1,61,100,78.1058,1.2803
923900,60.8,0,68,100,80.536,1.2417
924000,72.85,0,83,100,78.3363,1.2766
924100,67.3,0,78,100,77.9167,1.2834
924200,61.15,0,65,100,81.1925,1.2316
924300,65.8,0,68,100,78.0923,1.2805
924400,67.75,2,81,100,77.9776,1.2824
924500,61.6,1,56,100,81.4397,1.2279
924600,64.4,0,60,100,78.1939,1.2789
924700,75.6,1,104,100,77.8442,1.2846
924800,66.15,3,65,100,80.9063,1.236
924900,70.2,2,108,100,78.7872,1.2692
925000,65.0,0,72,100,80.7521,1.2384
925100,71.05,1,79,100,79.0893,1.2644
925200,72.5,2,70,100,81.456,1.2277
925300,69.8,1,80,100,79.0417,1.2652
925400,73.55,0,73,100,81.6668,1.2245
925500,66.7,0,58,100,82.1328,1.2175
925600,76.5,2,98,100,79.2016,1.2626
925700,64.45,1,71,100,81.2558,1.2307
925800,66.3,0,66,100,78.498,1.2739
925900,64.25,1,63,100,77.2214,1.295
926000,76.35,1,73,100,80.3283,1.2449
926100,73.85,3,139,100,76.8616,1.301
926200,65.8,0,68,100,78.7649,1.2696
926300,72.85,1,79,100,81.0083,1.2344
926400,72.4,2,92,100,77.8913,1.2838
926500,73.35,1,85,100,77.9518,1.2828
926600,75.55,2,73,100,81.5842,1.2257
926700,59.75,0,65,100,78.2485,1.278
926800,82.5,0,74,100,78.2006,1.2788
926900,68.55,0,73,100,80.9759,1.2349
927000,53.7,2,58,100,77.9868,1.2823
927100,71.85,1,83,100,81.8191,1.2222
927200,66.2,0,68,100,77.7452,1.2863
927300,63.35,1,53,100,78.4318,1.275
927400,61.4,2,56,100,80.1169,1.2482
927500,68.8,0,72,100,78.5136,1.2737
927600,69.55,2,133,100,78.1293,1.2799
927700,61.4,1,68,100,80.9245,1.2357
927800,69.95,1,69,100,77.8643,1.2843
927900,65.6,3,72,100,77.9939,1.2822
928000,79.3,2,94,100,80.756,1.2383
928100,66.75,0,65,100,78.6854,1.2709
928200,68.2,0,68,100,81.4834,1.2272
928300,72.85,0,83,100,78.7482,1.2699
928400,65.55,3,101,100,80.905,1.236
928500,60.15,1,65,100,78.8084,1.2689
928600,61.55,0,49,100,81.0466,1.2339
928700,63.45,1,67,100,78.9918,1.266
928800,59.8,1,52,100,80.8604,1.2367
928900,75.15,1,101,100,78.7738,1.2695
929000,50.7,1,78,100,78.4726,1.2743
929100,62.8,0,52,100,81.9225,1.2207
929200,59.55,1,53,100,81.507,1.2269
929300,62.15,0,61,100,78.8076,1.2689
929400,81.15,0,73,100,81.0136,1.2344
929500,74.6,0,92,100,78.7603,1.2697
929600,64.7,1,54,100,78.0204,1.2817
929700,68.0,0,60,100,80.7182,1.2389
929800,71.35,1,73,100,78.9632,1.2664
929900,73.45,0,59,100,81.024,1.2342
930000,58.4,0,56,100,0.0,0.2768
930100,62.8,0,52,100,78.7354,1.2701
930200,83.6,1,104,100,81.4127,1.2283
930300,83.55,1,121,100,78.5552,1.273
930400,63.0,1,68,100,81.3188,1.2297
930500,65.45,4,75,100,79.0694,1.2647
930600,64.9,0,50,100,81.0471,1.2339
930700,60.6,1,56,100,77.7709,1.2858
930800,55.3,2,46,100,78.3683,1.276
930900,82.35,2,125,100,81.178,1.2319
931000,71.7,0,66,100,77.5346,1.2898
931100,61.35,1,53,100,78.1893,1.279
931200,73.65,1,87,100,81.1344,1.2325
931300,76.65,0,87,100,79.0425,1.2651
931400,67.7,3,146,100,81.2724,1.2304
931500,72.8,1,72,100,78.9684,1.2663
931600,89.4,0,96,100,81.515,1.2268
931700,81.1,1,82,100,78.8597,1.2681
931800,69.1,1,66,100,80.7057,1.2391
931900,81.1,0,110,100,78.0158,1.2818
932000,71.05,1,79,100,81.2387,1.2309
932100,54.55,0,41,100,78.6564,1.2714
932200,70.5,0,86,100,77.7138,1.2868
932300,67.85,0,67,100,81.1228,1.2327
932400,54.8,0,48,100,78.1356,1.2798
932500,68.9,0,70,100,77.9413,1.283
932600,73.8,0,76,100,81.0381,1.234
932700,70.9,1,102,100,78.1253,1.28
932800,79.7,0,70,100,78.1941,1.2789
932900,87.65,1,99,100,81.3873,1.2287
933000,63.2,0,56,100,81.5118,1.2268
933100,61.05,0,51,100,78.8394,1.2684
933200,69.5,3,70,100,81.1891,1.2317
933300,66.35,1,93,100,78.8887,1.2676
933400,60.65,0,79,100,81.3091,1.2299
933500,77.65,0,79,100,78.7806,1.2694
933600,62.35,2,69,100,81.0649,1.2336
933700,60.25,0,55,100,77.4522,1.2911
933800,56.75,2,53,100,78.0463,1.2813
933900,76.9,0,374,100,77.885,1.2839
934000,77.35,1,77,100,80.6169,1.2404
934100,47.5,0,34,100,78.5054,1.2738
934200,81.6,0,84,100,77.7034,1.2869
934300,59.8,4,76,100,77.8761,1.2841
934400,75.8,1,92,100,62.2914,1.6054
934500,64.55,2,65,100,80.6746,1.2396
934600,66.95,0,257,100,77.3943,1.2921
934700,62.85,0,51,100,77.8362,1.2848
934800,87.0,1,124,100,81.0404,1.234
934900,69.3,0,70,100,78.7829,1.2693
935000,59.65,0,51,100,81.5592,1.2261
935100,74.8,1,80,100,78.328,1.2767
935200,64.7,0,58,100,77.9092,1.2835
935300,69.25,0,55,100,80.7366,1.2386
935400,71.1,1,94,100,77.343,1.2929
935500,69.8,1,72,100,77.0296,1.2982
935600,72.65,0,63,100,78.4316,1.275
935700,71.65,0,83,100,81.2561,1.2307
935800,70.5,0,118,100,78.0733,1.2809
935900,46.85,3,51,100,81.1338,1.2325
936000,60.1,1,58,100,78.8473,1.2683
936100,69.75,0,53,100,77.5134,1.2901
936200,72.8,2,68,100,80.8878,1.2363
936300,71.6,0,52,100,77.9362,1.2831
936400,70.8,1,80,100,77.9798,1.2824
936500,77.55,0,89,100,77.8995,1.2837
936600,60.8,2,80,100,80.9796,1.2349
936700,69.4,0,84,100,77.8759,1.2841
936800,69.75,0,81,100,77.4435,1.2913
936900,77.9,1,106,100,77.3217,1.2933
937000,71.7,1,62,100,80.6326,1.2402
937100,83.45,0,91,100,78.8605,1.2681
937200,63.4,0,56,100,80.9617,1.2352
937300,56.3,2,62,100,78.2511,1.2779
937400,61.7,1,62,100,78.4657,1.2744
937500,71.25,2,87,100,80.7486,1.2384
937600,50.0,1,48,100,78.4231,1.2751
937700,73.55,0,69,100,80.5481,1.2415
937800,56.4,1,76,100,78.3086,1.277
937900,69.6,1,72,100,78.4039,1.2755
938000,72.6,1,80,100,80.9714,1.235
