env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
33600,9547171734424126.0,110781522.72,112062535.04,-189819589.12,3.9697,19913443.32,15179022084072.3,11644409610240.0,6.659,0.4229
33700,1.0694109078277324e+16,112908632.32,114229870.4,-196172752.96,3.9697,20979820.36,15886683339936.598,11301877055488.0,15.3911,0.4606
33800,1.197545909869609e+16,115053401.92,116415556.48,-202773850.88,3.9697,22103302.4,16746468284498.598,11130552582144.0,6.5623,0.4345
33900,1.3406470282495918e+16,117217384.0,118620831.2,-209634573.76,3.9698,23286947.0,17580627508330.5,10862737620992.0,8.4955,0.44
34000,1.5003864827145748e+16,119401242.24,120846790.88,-216768024.96,3.9698,24533977.6,18598421569009.2,10606868365312.0,16.8337,0.4816
34100,1.6785858784164578e+16,121606771.04,123094349.44,-224187366.08,3.9698,25847787.24,19554350275052.0,10521992953856.0,7.0235,0.5282
34200,1.8769134987646076e+16,123845320.8,125376720.64,-231908342.4,3.9699,27231951.72,20819271882504.1,10023935737856.0,25.6899,0.5845
34300,2.0986670110589584e+16,126093967.84,127668604.48,-239945861.12,3.9699,28690238.92,21789939018184.9,9818733936640.0,18.9516,0.3695
34400,2.345771129731285e+16,128368590.72,129987582.72,-248314820.48,3.9699,30226618.52,22992604213324.4,9577069084672.0,18.1376,0.4589
34500,2.6209667826508104e+16,130672128.0,132335690.08,-257032879.68,3.97,31845272.04,24370904155525.2,9416460533760.0,7.5129,0.437
34600,2.9283497751850516e+16,132986178.88,134695017.44,-266117855.36,3.97,33550605.04,25775441495039.8,9265629691904.0,27.0907,0.5285
34700,3.2703414552766708e+16,135335235.36,137089265.28,-275588277.76,3.97,35347259.92,27209223402925.8,8982741319680.0,19.5544,0.5756
34800,3.652157768648884e+16,137693250.24,139494123.2,-285462949.12,3.97,37240127.12,29344977065217.996,8827356708864.0,43.4779,0.943
34900,4.076989124383342e+16,140085443.84,141933144.96,-295762082.56,3.97,39234358.48,30661826907740.8,8657632886784.0,5.6762,0.2703
35000,4.550459481506447e+16,142498673.6,144393752.32,-306509190.4,3.9701,41335381.44,32461193615811.0,8468382613504.0,10.455,0.3722
35100,5.077810409516302e+16,144934710.08,146877912.0,-317725618.56,3.9701,43548916.32,34619076152218.805,8277289730048.0,29.9273,0.4387
35200,5.665101789439984e+16,147396405.12,149387848.32,-329436544.64,3.9701,45880986.24,37217930135953.2,8137923362816.0,17.6368,0.3626
35300,6.318520667696267e+16,149889860.48,151930629.44,-341667552.64,3.9701,48337942.56,39098576473293.6,7899397554176.0,59.021,1.0923
35400,7.0469030031938024e+16,152395928.64,154486013.44,-354444937.6,3.9701,50926468.24,41306879222345.2,7731449692160.0,11.7558,0.3004
35500,7.858122742296478e+16,154923653.12,157063759.04,-367796476.8,3.9701,53653611.28,43758316049040.8,7453937106944.0,30.3995,0.5654
35600,8.760576116571243e+16,157482865.6,159673768.96,-381751163.52,3.9701,56526794.16,46999545399657.4,7318933536768.0,44.0051,0.7975
35700,9.764647283198002e+16,160070979.84,162312660.16,-396340988.16,3.9702,59553838.64,49305642584752.2,7186265047040.0,12.8971,0.3912
35800,1.088276666780536e+17,162677160.0,164970354.56,-411599226.24,3.9702,62742981.76,52477407667502.8,6970958315520.0,53.2971,0.8517
35900,1.2126978011526333e+17,165309187.84,167655165.12,-427559891.84,3.9702,66102905.92,55771362086731.2,6845529194496.0,29.4239,0.3933
36000,1.3511061991808042e+17,167968533.12,170367574.4,-444258674.56,3.9702,69642755.84,60094772408286.8,6633402040320.0,36.8677,0.6093
36100,1.505079495124163e+17,170656384.96,173108605.76,-461735329.28,3.9702,73372166.88,63050702251059.99,6498785099776.0,63.6739,0.8189
36200,1.6763111086881766e+17,173375709.44,175881972.8,-480030853.76,3.9702,77301290.72,67515865912703.6,6295003627520.0,80.5589,1.1907
36300,1.866968448733125e+17,176105734.72,178666094.08,-499186799.36,3.9702,81440821.6,71380901386946.8,6203794063360.0,49.8071,0.7219
36400,2.078917298874011e+17,178870905.92,181486572.48,-519246805.76,3.9702,85802027.52,76080059759002.4,6000660742144.0,26.0327,0.7201
36500,2.3148146564471456e+17,181649847.36,184321110.08,-540259545.6,3.9702,90396777.28,81317957331889.6,5777603461120.0,26.26,0.4841
36600,2.5770608755950486e+17,184461880.32,187188668.8,-562272975.36,3.9702,95237579.2,86002515564558.4,5690209959936.0,13.9628,0.2706
36700,2.868553392795209e+17,187308075.52,190092166.08,-585341327.36,3.9702,100337609.12,91652382671937.2,5530032406528.0,41.6294,0.999
36800,3.192819410425768e+17,190173123.84,193014176.32,-609519632.64,3.9702,105710748.48,97182146867516.8,5399991451648.0,133.7993,1.6473
36900,3.553491996654751e+17,193056119.36,195954493.12,-634865949.44,3.9702,111371622.56,104196966707748.8,5233692442624.0,206.2474,3.3879
37000,3.9540856029613914e+17,195988307.2,198945139.84,-661441012.48,3.9702,117335640.16,110908820175283.6,5024556613632.0,61.1826,0.8935
37100,4.3996078588471277e+17,198938701.44,201954693.44,-689311388.16,3.9702,123619033.44,117428132550108.42,4945605984256.0,94.3658,1.7695
37200,4.895014847333899e+17,201909334.4,204984340.48,-718543546.88,3.9703,130238905.92,124627935224088.02,4797997088768.0,34.5209,0.4597
37300,5.4458239040259885e+17,204900566.08,208035912.32,-749207653.12,3.9703,137213278.72,132332853214311.98,4614157074432.0,100.7507,1.149
37400,6.057586421900352e+17,207941750.08,211137596.16,-781380405.76,3.9703,144561133.12,141122729097580.0,4516468326400.0,73.4419,1.2526
37500,6.737769473043018e+17,210999947.52,214256792.64,-815142332.16,3.9703,152302467.2,150710818325700.0,4377143836672.0,32.6575,0.5088
37600,7.493661534491928e+17,214086822.08,217406052.48,-850576419.84,3.9703,160458354.56,159910212200337.6,4207479783424.0,114.6057,2.009
37700,8.33403095721653e+17,217190994.88,220572502.72,-887770076.16,3.9703,169050997.44,169885568717628.0,4094281220096.0,186.7538,2.7485
37800,9.26789178493145e+17,220324027.52,223767748.48,-926815818.24,3.9703,178103778.56,180816684392306.4,3990342369280.0,46.8241,0.9325
37900,1.030508762913057e+18,223503293.76,227010805.76,-967811873.28,3.9703,187641343.04,191996473519056.8,3922698600448.0,58.5553,0.7041
38000,1.1457803964867674e+18,226703096.96,230274743.68,-1010863613.44,3.9703,197689654.08,207091005786279.2,3743762874368.0,314.9954,4.4369
38100,1.273901112608424e+18,229920090.56,233557105.92,-1056077712.64,3.9703,208276051.2,219152386952823.2,3633082171392.0,117.8862,1.6368
38200,1.4161989783878684e+18,233182088.96,236883522.56,-1103568673.28,3.9703,219429360.64,232320843868562.38,3544826314752.0,65.0741,0.7488
38300,1.574330952350601e+18,236462794.24,240229869.76,-1153457789.44,3.9703,231179934.08,246434237083377.62,3450016923648.0,144.7069,2.8028
38400,1.7500064947023485e+18,239774882.24,243608370.88,-1205870850.56,3.9703,243559756.16,262635501412360.8,3336693317632.0,198.0404,3.0993
38500,1.9451691819109606e+18,243116867.2,247017502.72,-1260942277.12,3.9703,256602529.28,278373068738406.4,3236199956480.0,51.103,0.8525
38600,2.1619232730735706e+18,246501624.0,250469464.64,-1318814558.72,3.9703,270343748.8,296709342833424.0,3135847399424.0,127.1834,1.7664
38700,2.402857095527777e+18,249881307.52,253917866.88,-1379633830.4,3.9703,284820821.76,315715009359512.0,3037519872000.0,30.8892,0.6708
38800,2.6703564630620165e+18,253321066.88,257426773.12,-1443556925.44,3.9703,300073143.04,336456050171153.6,2945131773952.0,115.2962,1.7158
38900,2.9675644011325425e+18,256775304.32,260950460.48,-1510748817.92,3.9703,316142245.76,356448912755636.8,2840191008768.0,664.4705,8.6045
39000,3.2977077757060055e+18,260256306.24,264502093.12,-1581383434.24,3.9703,333071854.72,382300097980868.8,2763036884992.0,27.1706,0.2739
39100,3.664353715863725e+18,263778977.6,268094381.44,-1655642997.76,3.9703,350908054.4,406799647602081.6,2688768278528.0,253.8871,2.4477
39200,4.0716771387246223e+18,267313951.04,271700770.56,-1733720002.56,3.9703,369699389.44,428765539771883.2,2595652009984.0,104.797,1.6527
39300,4.523964385915977e+18,270898672.0,275357828.48,-1815818608.64,3.9703,389497006.08,457396005088614.4,2521914671104.0,277.5103,3.4769
39400,5.026287147235442e+18,274514945.92,279046798.72,-1902153740.8,3.9703,410354805.76,484054111166945.56,2453543387136.0,305.2306,4.2438
39500,5.584328363979896e+18,278138181.76,282742840.96,-1992948290.56,3.9703,432329553.28,518885584747084.8,2384307699712.0,105.4799,0.9342
39600,6.203942704669807e+18,281811542.4,286490216.96,-2088439365.12,3.9703,455481062.4,546642809317332.8,2263208214528.0,98.9025,1.1207
39700,6.892123459082015e+18,285507964.8,290260271.36,-2188880046.08,3.9703,479872350.08,580593145594033.6,2206677696512.0,28.4994,0.4458
39800,7.656271956753546e+18,289247639.68,294075976.96,-2294531189.76,3.9703,505569795.2,618698446683209.6,2218297229312.0,1985.9826,23.3962
39900,8.504947829735938e+18,293009046.4,297913652.48,-2405671782.4,3.9703,532643361.92,657651396139491.2,2107806203904.0,128.3152,1.1605
40000,9.447527702195749e+18,296786024.32,301766986.24,-2522591687.68,3.9703,561166748.16,700608149507302.4,2024146272256.0,41.543,0.2969
