env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
14900,2270134.6079,15545.7185,15544.3004,-18751.7674,2.7705,1151.828,194420.3459,160810.4375,1.0583,0.2435
15000,2776843.0647,16376.1698,16375.7117,-19751.9255,2.7707,1213.509,597823.0641,449824.9922,1.0434,0.3243
15100,2825142.2859,17287.9088,17286.4817,-20840.3832,2.7707,1278.4932,856980.4906,527303.25,1.8202,0.7447
15200,4403359.2849,18173.6002,18171.7621,-21922.6463,2.7699,1346.9573,748728.058,918843.7031,3.0131,0.6903
15300,5066597.9195,19166.648,19164.3398,-23113.8438,2.7711,1419.0876,835634.2464,957756.1719,1.9258,0.1084
15400,3698917.7765,20222.7422,20222.383,-24384.1671,2.7716,1495.0806,911821.3827,1063354.6875,1.6323,0.5684
15500,4027522.0432,21337.5034,21336.1446,-25716.8029,2.7717,1575.1431,1073068.5711,503235.2891,2.2437,1.1874
15600,5143779.9498,22480.7116,22478.7693,-27098.7115,2.7713,1659.493,997123.5814,1022706.0625,3.2989,0.6546
15700,8013225.9908,23673.9126,23670.4951,-28534.6381,2.7712,1748.3598,1382012.7194,478889.7695,2.8565,0.8652
15800,4990524.2387,24973.3357,24972.8877,-30103.5779,2.7711,1841.9855,193544.1988,168015.1367,2.212,0.103
15900,7958788.2958,26325.327,26322.21,-31719.6808,2.7711,1940.625,1163230.4052,588918.0859,4.2738,0.625
16000,10408823.3934,27684.891,27682.6913,-33376.2487,2.7705,2044.5468,2329265.453,2220245.1094,3.7281,0.3296
16100,7859351.0642,29266.8854,29265.9696,-35257.2752,2.771,2154.0541,2665248.7501,1465394.8594,1.9843,0.2405
16200,9836435.9362,30814.6322,30811.0469,-37128.1013,2.7715,2269.4091,2364367.4542,1551348.7344,3.5528,0.3191
16300,14715538.4919,32394.4062,32391.2172,-39049.842,2.7705,2390.9417,3782483.4338,2435052.6875,4.0679,0.7385
16400,10256299.3156,34233.9122,34230.8461,-41246.6174,2.7705,2519.0095,1810174.9314,2139040.5625,2.5526,1.1867
16500,14776598.3638,36042.8657,36040.4236,-43424.2406,2.7708,2653.943,3229253.3734,3777594.25,4.9489,2.0805
16600,12571875.0188,38055.4005,38051.7178,-45837.6649,2.7713,2796.0687,3544640.9404,2892293.625,4.0488,0.3815
16700,17754085.5625,40080.9359,40078.4309,-48265.9345,2.7717,2945.8003,4673550.4869,2143548.4062,6.3923,2.4267
16800,20352273.5081,42155.4845,42151.0422,-50794.293,2.771,3103.5507,5164501.9305,3663136.4375,4.6282,1.1222
16900,22507514.24,44486.0028,44480.7384,-53580.2527,2.7716,3269.7477,2637747.4028,2977080.4375,3.2752,0.8415
17000,19997081.9294,46942.8907,46937.7016,-56526.0161,2.7712,3444.8447,5289774.2373,4315283.0938,4.8797,0.7593
17100,24063273.2425,49446.3487,49442.721,-59539.0404,2.7712,3629.3182,5803436.8154,4672090.1875,3.7688,0.4188
17200,32435141.4669,52009.2063,52004.6768,-62652.8439,2.771,3823.6704,4939693.5787,1974326.5156,4.6473,0.3908
17300,25078654.0094,54909.7786,54904.162,-66116.0488,2.7713,4028.4302,6855260.8559,7536884.625,5.3291,0.334
17400,37102816.0088,57805.2566,57799.4402,-69621.332,2.7713,4244.155,5714847.2885,6271384.0625,3.357,0.3729
17500,35769934.4288,60975.6466,60969.3778,-73422.0927,2.7717,4471.4321,6476332.2892,2360578.1562,7.1291,2.091
17600,35509158.6875,64244.7177,64236.3151,-77355.0677,2.7717,4710.88,1962002.7217,1651023.4844,6.748,0.9808
