env_steps,critic_loss,q1
24000,2.6251,-12.9404
24100,2.6781,-12.9324
24200,2.2478,-12.9987
24300,2.9381,-12.9866
24400,2.6917,-12.9285
24500,2.6442,-12.9146
24600,2.6369,-12.9218
24700,2.4701,-12.9606
24800,2.6003,-13.0
24900,2.4487,-12.9694
25000,2.7275,-12.9815
25100,2.5762,-12.9532
25200,2.6364,-12.968
25300,2.3523,-13.001
25400,2.5994,-12.9621
25500,2.5473,-12.9973
25600,2.4347,-13.0343
25700,2.8401,-12.998
25800,2.3902,-13.0395
25900,3.0583,-13.0102
26000,2.5831,-13.0638
26100,2.5868,-13.0485
26200,2.5886,-13.0819
26300,2.6084,-13.0391
26400,2.7896,-13.0222
26500,2.6337,-13.0159
26600,2.7457,-13.0016
26700,2.2683,-13.0342
26800,2.8199,-13.0251
26900,2.9501,-12.9935
27000,2.8812,-12.9514
27100,2.8826,-12.9672
27200,2.5339,-12.9631
27300,2.6092,-12.993
27400,2.6165,-12.9656
27500,2.647,-12.9892
27600,2.3209,-13.0376
27700,2.4152,-13.0238
27800,2.335,-13.0743
27900,2.559,-13.0788
28000,2.7288,-13.0585
28100,2.2073,-13.0891
28200,2.5468,-13.0827
28300,2.3822,-13.1377
28400,2.7764,-13.0963
28500,2.3463,-13.1416
28600,2.4419,-13.1661
28700,2.7051,-13.1596
28800,2.598,-13.1285
28900,2.5554,-13.1635
29000,2.577,-13.1647
29100,2.5445,-13.1354
29200,2.5318,-13.1614
29300,2.3187,-13.2169
29400,2.606,-13.1914
29500,2.4719,-13.2202
29600,2.5737,-13.2155
29700,2.6598,-13.2192
29800,2.9015,-13.1736
29900,2.5018,-13.1829
30000,2.4775,-13.239
30100,2.4401,-13.2849
30200,2.8526,-13.227
30300,2.5172,-13.2675
30400,2.4883,-13.2948
30500,2.7847,-13.2202
30600,2.5481,-13.2506
30700,2.3345,-13.2987
30800,2.3905,-13.3347
30900,2.6552,-13.3015
31000,2.57,-13.2981
31100,2.9376,-13.3278
31200,2.9136,-13.321
31300,2.5319,-13.335
31400,2.7095,-13.3366
31500,2.3533,-13.358
31600,2.6245,-13.3583
31700,2.6353,-13.3763
31800,2.7197,-13.3941
31900,2.6685,-13.3695
32000,2.8206,-13.3352
32100,2.5485,-13.3712
32200,2.3903,-13.4074
32300,2.6455,-13.43
32400,2.6517,-13.4234
32500,2.9238,-13.4048
32600,2.3254,-13.4219
32700,2.7146,-13.4161
32800,3.1002,-13.3971
32900,2.7179,-13.4002
33000,2.6412,-13.4183
33100,2.7232,-13.372
33200,2.7731,-13.4095
33300,2.4366,-13.4175
33400,2.4349,-13.4143
33500,2.4752,-13.466
33600,2.9939,-13.3996
33700,2.8563,-13.3841
33800,2.6237,-13.3969
33900,2.7243,-13.4205
34000,2.4871,-13.4788
34100,2.4239,-13.5033
34200,2.6693,-13.4853
34300,2.9951,-13.4163
34400,2.8015,-13.4629
34500,2.9233,-13.4334
34600,2.701,-13.4664
34700,2.4066,-13.5004
34800,2.6434,-13.5055
34900,2.4821,-13.5484
35000,2.7072,-13.4999
35100,2.6912,-13.5239
35200,2.3451,-13.5807
35300,2.78,-13.5257
35400,2.8314,-13.5373
35500,2.6589,-13.5299
35600,2.9889,-13.535
35700,2.801,-13.5246
35800,2.803,-13.5246
35900,2.5693,-13.5413
36000,3.2689,-13.4737
36100,2.5876,-13.5187
36200,3.2855,-13.4828
36300,2.7561,-13.4709
36400,2.6122,-13.4874
36500,2.6444,-13.508
36600,2.5141,-13.5134
36700,2.5796,-13.5442
36800,2.5471,-13.5677
36900,2.717,-13.5705
37000,2.8895,-13.5678
37100,2.4061,-13.6108
37200,2.9502,-13.5473
37300,2.619,-13.5577
37400,2.6609,-13.6111
37500,2.6153,-13.5846
37600,2.847,-13.5503
37700,2.7688,-13.5981
37800,2.8453,-13.5955
37900,2.5459,-13.5922
38000,2.8931,-13.6119
38100,2.8295,-13.5857
38200,2.828,-13.6047
38300,2.6219,-13.6189
38400,2.7763,-13.619
38500,2.6402,-13.6334
38600,3.2263,-13.6129
38700,3.0195,-13.5929
38800,2.7287,-13.5829
38900,2.9738,-13.5684
39000,2.8218,-13.5516
39100,2.7047,-13.5685
39200,2.792,-13.5628
39300,2.6092,-13.5854
39400,2.7271,-13.5931
39500,2.5555,-13.622
39600,2.688,-13.6517
39700,2.7089,-13.6221
39800,2.872,-13.6381
39900,2.9148,-13.6197
40000,2.5232,-13.6721
40100,2.8768,-13.5943
40200,2.9337,-13.6011
40300,2.4351,-13.6454
40400,2.9715,-13.6012
40500,2.7542,-13.6137
40600,2.9033,-13.5807
40700,3.0761,-13.5673
40800,3.153,-13.5431
40900,2.8234,-13.5169
41000,2.606,-13.5404
41100,2.2969,-13.6115
41200,2.8217,-13.5634
41300,2.7574,-13.5468
41400,2.7351,-13.5775
41500,3.0196,-13.5293
41600,2.6997,-13.5593
41700,2.4607,-13.573
41800,2.7032,-13.6269
41900,2.668,-13.6309
42000,2.8079,-13.6102
42100,2.6683,-13.6256
42200,2.84,-13.6096
42300,2.8925,-13.5971
42400,2.7797,-13.6141
42500,2.3749,-13.6724
42600,3.0596,-13.608
42700,2.817,-13.6285
42800,2.5166,-13.6681
42900,2.8501,-13.6582
43000,2.7334,-13.6847
43100,2.9426,-13.6328
43200,3.3543,-13.5542
43300,2.8816,-13.5836
43400,2.2854,-13.6573
43500,3.2011,-13.5684
43600,2.7973,-13.5271
43700,2.7848,-13.5678
43800,2.9866,-13.5571
43900,2.6627,-13.5552
44000,2.703,-13.5902
44100,2.8767,-13.5512
44200,2.9421,-13.5475
44300,2.7312,-13.5835
44400,2.5193,-13.5807
44500,2.4604,-13.6245
44600,2.6088,-13.6152
44700,2.6401,-13.6258
44800,2.8278,-13.612
44900,2.7829,-13.6322
45000,2.6927,-13.6094
45100,2.3259,-13.6526
45200,2.7139,-13.6133
45300,2.6114,-13.6352
45400,2.8264,-13.6421
45500,3.0382,-13.5882
45600,2.6356,-13.5984
45700,2.6263,-13.6466
45800,2.7302,-13.6336
45900,2.5461,-13.6655
46000,2.6422,-13.67
46100,2.7085,-13.6815
46200,2.7507,-13.6404
46300,2.4808,-13.7245
46400,2.9597,-13.6894
46500,2.6022,-13.673
46600,2.5175,-13.7397
46700,2.9916,-13.6455
46800,3.0619,-13.6666
46900,2.4716,-13.692
47000,2.7467,-13.6811
47100,2.6873,-13.6847
47200,2.3256,-13.7499
47300,2.8652,-13.7113
47400,2.915,-13.6886
47500,2.6832,-13.6832
47600,2.7052,-13.7283
47700,2.4453,-13.7383
47800,2.8784,-13.7432
47900,3.2209,-13.6729
48000,3.113,-13.6822
48100,3.0152,-13.7007
48200,2.4305,-13.7472
48300,2.8928,-13.7098
48400,2.8958,-13.7216
48500,2.6179,-13.7401
48600,2.5467,-13.7901
48700,2.5602,-13.7969
48800,3.0615,-13.7794
48900,2.6785,-13.7654
49000,2.4936,-13.7905
49100,2.3334,-13.8446
49200,2.6263,-13.8491
49300,2.7703,-13.8178
49400,2.552,-13.8443
49500,2.8319,-13.8334
49600,2.5127,-13.8444
49700,3.0416,-13.7677
49800,2.7953,-13.8043
49900,2.6677,-13.8043
50000,2.6575,-13.818
50100,3.1426,-13.7785
50200,2.8207,-13.8061
50300,2.4244,-13.8633
50400,2.8056,-13.8544
50500,3.0216,-13.7825
50600,2.6898,-13.8269
50700,2.9685,-13.7996
50800,2.792,-13.8229
50900,2.8565,-13.8098
51000,2.9279,-13.7828
51100,2.6784,-13.7788
51200,3.0955,-13.7417
51300,2.7598,-13.7578
51400,2.8561,-13.744
51500,2.8604,-13.7837
51600,2.5196,-13.7791
51700,2.8657,-13.7774
51800,2.4615,-13.8493
51900,2.515,-13.8457
52000,2.9956,-13.8043
52100,2.5174,-13.9001
52200,3.1711,-13.8002
52300,2.8402,-13.83
52400,3.197,-13.7916
52500,2.5944,-13.832
52600,2.9315,-13.7719
52700,2.7498,-13.8107
52800,2.9357,-13.7797
52900,2.7807,-13.8313
53000,2.8495,-13.7926
53100,2.6742,-13.8289
53200,3.2085,-13.7617
53300,2.9221,-13.7631
53400,2.5798,-13.7641
53500,2.7743,-13.7528
53600,2.8545,-13.7551
53700,2.826,-13.7643
53800,2.6473,-13.7539
53900,2.7838,-13.7577
54000,2.7375,-13.7646
54100,2.7726,-13.8029
54200,3.143,-13.79
54300,2.9246,-13.7471
54400,2.7338,-13.7683
54500,3.1237,-13.7066
54600,2.8315,-13.7129
54700,2.742,-13.7121
54800,3.0607,-13.6523
54900,2.8304,-13.6608
55000,2.7589,-13.7126
55100,2.9205,-13.699
55200,2.6554,-13.7232
55300,2.5676,-13.7458
55400,3.2193,-13.668
55500,2.6213,-13.7236
55600,2.9405,-13.7246
55700,2.3684,-13.7634
55800,2.8722,-13.7433
55900,2.997,-13.7376
56000,2.9829,-13.7291
56100,2.4953,-13.7692
56200,2.5691,-13.7611
56300,2.5383,-13.7808
56400,2.4325,-13.8333
56500,2.3861,-13.8759
56600,2.796,-13.836
56700,2.7598,-13.7985
56800,2.9123,-13.7764
56900,2.4649,-13.8133
57000,2.599,-13.8389
57100,2.5333,-13.8428
57200,2.7986,-13.8504
57300,2.6366,-13.8504
57400,2.3881,-13.8833
