env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,19.8688,0.6287,0.6558,-4.6571,3.9447,1.0155,2.9764,4.2284,0.0016,0.0002
200,87.903,1.2353,1.264,-5.3308,3.87,1.0468,0.6396,0.3202,0.0001,0.0
300,84.4955,0.3342,0.3368,-4.6725,3.8584,1.0796,0.8029,0.4633,0.0004,0.0002
400,65.6767,0.3123,0.3157,-5.0928,3.592,1.114,1.4593,1.7312,0.0053,0.0036
500,73.0986,0.3622,0.3674,-5.1436,3.5525,1.1507,1.4422,2.1843,0.0029,0.0024
600,67.768,0.061,0.0711,-5.1334,3.4382,1.1889,1.4015,2.4124,0.0028,0.0027
700,60.5074,-0.3377,-0.311,-5.5844,3.284,1.2292,1.0104,1.4917,0.0045,0.0063
800,63.0299,-0.7242,-0.6901,-6.03,3.3405,1.2716,7.3443,19.0358,0.553,0.8074
900,62.2271,-1.1525,-1.1355,-6.112,3.0379,1.3158,6.7979,14.5034,0.266,0.4952
1000,39.787,-2.0248,-2.162,-5.1751,2.7963,1.3636,4.8502,8.7548,1.1246,2.1749
1100,27.3429,-2.4212,-2.6346,-3.6516,2.5593,1.4139,16.5072,44.3335,0.1095,0.1631
1200,19.9814,-1.487,-1.7298,-4.3881,2.6783,1.4669,13.5222,31.4095,0.2836,0.5561
1300,19.4133,-0.4663,-0.6302,-5.4624,2.9965,1.5214,4.6136,8.6916,0.5248,1.0279
1400,15.4761,0.0294,-0.0661,-5.9901,3.0781,1.5776,3.628,6.5735,0.208,0.2491
1500,14.0556,0.3169,0.2775,-6.44,3.2142,1.6359,35.5052,96.9699,0.0833,0.1507
1600,11.973,1.3439,1.3142,-7.6931,3.3489,1.6967,13.8589,38.7543,0.0489,0.075
1700,12.7646,1.6713,1.6444,-8.2574,3.4107,1.76,21.5121,56.7128,0.0728,0.1254
1800,12.7126,2.4036,2.3812,-9.1314,3.5216,1.8261,9.7614,26.5022,0.0784,0.121
1900,11.5195,3.2974,3.2788,-10.2968,3.5963,1.8951,16.109,43.451,0.1088,0.1908
2000,12.3422,3.6507,3.6302,-10.8866,3.6609,1.9673,41.3129,118.1176,0.1896,0.3318
2100,12.4173,4.49,4.4728,-12.0229,3.7186,2.0429,10.3391,31.9796,0.0533,0.0949
2200,10.4935,6.2033,6.1876,-14.1129,3.7659,2.1222,23.4535,71.0622,0.0703,0.1282
2300,10.3452,6.4936,6.4794,-14.7382,3.7567,2.2055,30.6431,91.2749,0.113,0.2078
2400,10.0983,7.3141,7.3035,-15.9459,3.7227,2.2933,43.9453,123.7697,0.0864,0.153
2500,10.9802,9.2879,9.2791,-18.3331,3.6885,2.3861,34.4767,109.985,0.5223,1.0624
2600,10.5049,10.2216,10.2128,-19.6985,3.6326,2.4841,57.3905,165.7728,0.7803,1.569
2700,11.3666,11.1369,11.1301,-20.9882,3.6052,2.5876,48.7933,140.7522,0.7165,1.4706
2800,12.2813,13.8952,13.8878,-24.2325,3.5831,2.6969,44.7499,126.543,0.13,0.2501
2900,13.6621,15.3027,15.2967,-26.0584,3.5593,2.812,41.2657,149.764,0.2429,0.5201
3000,14.5331,16.7845,16.7786,-28.0396,3.5202,2.9335,83.5072,275.6376,0.1414,0.2725
3100,16.3151,19.1502,19.145,-30.9313,3.5084,3.0617,83.9983,275.5935,0.6006,1.189
3200,18.4317,20.62,20.6141,-32.8417,3.4816,3.1969,24.4781,73.4001,0.1722,0.3486
3300,19.8439,22.6286,22.622,-35.4454,3.4765,3.3392,50.9283,155.3973,0.2793,0.5878
3400,22.4997,26.2569,26.2518,-39.6882,3.4905,3.4892,73.991,253.3177,0.1785,0.3604
3500,30.9474,28.1398,28.1338,-42.0687,3.483,3.6469,105.1348,340.8965,0.4126,0.7783
3600,27.9021,30.8076,30.8003,-45.3969,3.4961,3.8129,24.654,72.109,0.0894,0.1783
3700,31.387,34.4061,34.4004,-49.8343,3.4881,3.9877,26.9441,77.8705,0.2621,0.5309
3800,33.1864,37.152,37.1459,-53.1441,3.5242,4.1715,23.9243,70.1103,0.4635,0.9376
