env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,20.4657,0.6367,0.6228,-4.6558,3.948,1.0155,3.329,4.6415,0.0013,0.0001
200,85.212,1.2873,1.2736,-5.3672,3.8701,1.0468,0.7428,0.2538,0.0001,0.0
300,75.8862,0.452,0.4507,-4.7737,3.8639,1.0796,0.517,0.2532,0.0001,0.0001
400,58.1682,0.6071,0.6156,-5.3253,3.58,1.114,0.8295,0.9768,0.0065,0.0046
500,70.664,0.6201,0.6262,-5.268,3.6525,1.1507,0.8283,0.9755,0.0005,0.0004
600,69.6666,0.4277,0.4823,-5.1418,3.7349,1.1883,2.0537,2.8821,0.0147,0.0166
700,48.0461,1.1254,1.416,-6.1058,3.4961,1.2281,6.4781,10.5745,0.0533,0.0608
800,33.0292,-1.2956,0.1724,-6.2095,2.4784,1.2707,5.2812,7.6885,0.0465,0.0683
900,18.0145,-1.3903,-1.3797,-6.0285,1.9254,1.3188,3.0562,2.5591,0.0053,0.0062
1000,13.2947,-0.8259,-0.7135,-5.5352,2.1272,1.369,3.7643,4.6645,0.0043,0.0053
1100,11.1204,-0.1837,-0.1377,-5.4796,2.3559,1.4206,3.6314,5.5518,0.0237,0.0241
1200,10.4603,0.5879,0.5923,-6.1095,2.6791,1.4731,2.462,3.1441,0.019,0.0107
1300,8.4667,1.5565,1.5739,-7.273,2.925,1.5269,3.4039,5.4848,0.1068,0.0339
1400,8.0161,1.6888,1.7045,-7.4071,3.0258,1.5826,7.7446,18.3603,0.1322,0.1796
1500,7.6133,2.0684,2.0867,-8.0652,3.2221,1.6404,4.6359,9.1506,0.1272,0.2278
1600,6.7599,3.2094,3.2211,-9.5444,3.4361,1.7003,5.2173,10.6918,0.0186,0.0344
1700,7.4006,3.5568,3.564,-10.2035,3.5378,1.7624,6.6278,14.0037,0.0226,0.0264
1800,7.2789,4.1494,4.1581,-11.1703,3.5749,1.8273,11.025,24.8307,0.1007,0.1612
1900,6.9152,5.4223,5.4306,-12.7968,3.5664,1.8956,11.065,37.2503,0.0236,0.0348
2000,7.6885,5.4854,5.4928,-13.1678,3.5269,1.9676,10.019,30.9654,0.1159,0.2054
2100,7.6819,6.226,6.2328,-14.202,3.5034,2.0436,50.8456,134.6672,0.3801,0.6721
2200,7.5169,7.8857,7.8897,-16.2331,3.5216,2.1236,10.3914,24.867,0.2641,0.4931
2300,10.0696,8.6189,8.6212,-17.1502,3.5343,2.2078,5.9439,16.3063,0.0548,0.091
2400,9.3302,9.0708,9.0713,-17.9144,3.5284,2.2963,10.9257,37.245,0.1199,0.2228
2500,10.2142,12.2338,12.2329,-21.4211,3.5737,2.3894,75.2111,220.6405,0.0277,0.0417
2600,11.0053,12.3673,12.3681,-21.8532,3.5595,2.4873,6.4181,16.7421,0.0372,0.046
2700,11.0235,13.7543,13.7553,-23.5503,3.5385,2.5904,67.0817,206.0918,0.5817,0.9577
