#{"t_start": 1737121099.5422232, "env_id": "None"}
r,l,t,invalid_share
-18.0,100,0.652133,0.13
-20.0,100,0.733108,0.08
-24.0,100,0.813939,0.08
-24.0,100,0.874564,0.06
-23.0,100,0.931265,0.1
-22.0,100,0.981225,0.11
-19.0,100,1.030727,0.13
-28.0,100,1.079856,0.11
-18.0,100,1.129444,0.11
-24.0,100,1.178825,0.06
-25.0,100,1.228476,0.15
-22.0,100,1.277561,0.14
-32.0,100,1.32772,0.08
-24.0,100,1.37656,0.08
-20.0,100,1.428624,0.13
-16.0,100,1.478794,0.13
-20.0,100,1.527889,0.15
-23.0,100,1.576155,0.13
-25.0,100,1.625514,0.12
-31.0,100,1.674439,0.16
-19.0,100,2.301082,0.12
-17.0,100,2.360708,0.12
-11.0,100,2.413502,0.14
-18.0,100,2.465211,0.09
-20.0,100,2.51503,0.13
-15.0,100,2.564226,0.08
-17.0,100,2.614151,0.09
-16.0,100,2.663793,0.15
-17.0,100,2.712479,0.12
-20.0,100,2.761587,0.1
-17.0,100,2.810992,0.09
-21.0,100,2.866627,0.08
-19.0,100,2.92298,0.12
-22.0,100,2.978024,0.07
-17.0,100,3.0336,0.14
-21.0,100,3.086711,0.17
-23.0,100,3.13932,0.07
-11.0,100,3.19019,0.12
-17.0,100,3.243013,0.08
-12.0,100,3.294265,0.1
-17.0,100,4.093549,0.12
-11.0,100,4.151118,0.13
-19.0,100,4.207612,0.13
-13.0,100,4.263752,0.1
-15.0,100,4.321687,0.08
-15.0,100,4.375417,0.04
-7.0,100,4.430476,0.15
-15.0,100,4.483063,0.14
-19.0,100,4.533449,0.1
-14.0,100,4.582851,0.11
-15.0,100,4.63225,0.09
-12.0,100,4.681259,0.09
-19.0,100,4.731948,0.12
-8.0,100,4.782316,0.09
-15.0,100,4.833623,0.06
-6.0,100,4.885494,0.09
-15.0,100,4.940692,0.15
-13.0,100,4.994625,0.06
-14.0,100,5.046265,0.09
-6.0,100,5.099453,0.12
-10.0,100,5.154661,0.11
-14.0,100,5.844034,0.15
-11.0,100,5.89616,0.12
-8.0,100,5.948751,0.14
-6.0,100,6.000217,0.13
-11.0,100,6.049598,0.14
-15.0,100,6.098864,0.14
-5.0,100,6.148465,0.03
-11.0,100,6.197249,0.13
-9.0,100,6.247441,0.15
-9.0,100,6.299654,0.2
-11.0,100,6.352359,0.18
-13.0,100,6.405854,0.11
-9.0,100,6.459738,0.14
