#{"t_start": 1737121371.772966, "env_id": "None"}
r,l,t,invalid_share
-23.0,100,0.454903,0.12
-22.0,100,0.531356,0.07
-17.0,100,0.637592,0.07
-25.0,100,0.690431,0.07
-22.0,100,0.738493,0.15
-21.0,100,0.785562,0.11
-22.0,100,0.832294,0.1
-25.0,100,0.878632,0.07
-16.0,100,0.928459,0.13
-25.0,100,0.97709,0.04
-21.0,100,1.02327,0.15
-18.0,100,1.069327,0.19
-22.0,100,1.116283,0.1
-20.0,100,1.165076,0.1
-28.0,100,1.21292,0.1
-21.0,100,1.260201,0.12
-20.0,100,1.30652,0.1
-22.0,100,1.353488,0.08
-28.0,100,1.399689,0.11
-27.0,100,1.447091,0.11
