#{"t_start": 1737121517.4763908, "env_id": "None"}
r,l,t,invalid_share
-1014.7,100,0.641796,0.13
-812.5,100,0.714245,0.12
-1018.2,100,0.796438,0.07
-1013.7,100,0.860136,0.16
-1035.4,100,0.91594,0.09
-1078.8,100,0.971078,0.18
-899.2,100,1.028068,0.11
-1052.1,100,1.083168,0.17
-1140.6,100,1.137007,0.11
-1146.6,100,1.194713,0.08
-1034.7,100,1.250035,0.14
-988.3,100,1.308094,0.13
-1136.7,100,1.362441,0.16
-1087.6,100,1.418975,0.13
-997.6,100,1.475755,0.08
-981.6,100,1.531696,0.05
-1025.7,100,1.586363,0.12
-1040.8,100,1.641193,0.16
-1031.5,100,1.696469,0.12
-947.3,100,1.752081,0.12
-1090.6,100,2.327181,0.11
-923.4,100,2.385092,0.17
-1031.6,100,2.442299,0.14
-970.1,100,2.500811,0.11
-1079.6,100,2.556769,0.09
-1094.7,100,2.612513,0.1
-1036.7,100,2.668798,0.08
-1007.3,100,2.724099,0.22
-1035.4,100,2.782289,0.06
-1068.4,100,2.847963,0.13
-1147.5,100,2.902877,0.14
-937.0,100,2.958814,0.1
-1100.3,100,3.015012,0.14
-787.0,100,3.073337,0.13
-1102.5,100,3.129627,0.1
-857.2,100,3.185349,0.14
-1096.6,100,3.24115,0.14
-1106.8,100,3.298528,0.09
-901.3,100,3.355194,0.1
-1013.7,100,3.410953,0.08
-918.8,100,4.056855,0.08
-753.4,100,4.117111,0.09
-947.2,100,4.17536,0.03
-996.3,100,4.234282,0.1
-951.4,100,4.294231,0.1
-757.7,100,4.351763,0.1
-1076.5,100,4.408625,0.09
-760.2,100,4.464899,0.11
-904.7,100,4.522821,0.13
-1054.4,100,4.580668,0.14
-959.6,100,4.636776,0.1
-954.5,100,4.692993,0.11
-839.6,100,4.749242,0.11
-926.8,100,4.809148,0.14
-830.2,100,4.867665,0.12
-958.7,100,4.925921,0.08
-507.7,100,4.983978,0.1
-985.2,100,5.041471,0.13
-1056.4,100,5.096902,0.06
-906.4,100,5.153167,0.07
-872.3,100,5.210574,0.07
-803.5,100,5.767218,0.2
-1067.1,100,5.826466,0.09
-979.7,100,5.886398,0.15
-800.9,100,5.946067,0.1
-1033.4,100,6.001964,0.1
-990.2,100,6.060943,0.13
-1004.0,100,6.11594,0.07
-668.3,100,6.173937,0.02
-1028.7,100,6.23007,0.06
-1077.6,100,6.287629,0.14
-830.9,100,6.345709,0.14
-637.9,100,6.404607,0.09
-1050.9,100,6.461691,0.09
-939.4,100,6.518683,0.14
-989.5,100,6.576077,0.15
-1076.4,100,6.630603,0.18
-948.3,100,6.686497,0.08
-1032.1,100,6.742945,0.13
-994.9,100,6.802103,0.14
-960.5,100,6.858788,0.14
-635.1,100,7.420829,0.12
-965.7,100,7.481114,0.06
-803.2,100,7.540823,0.12
-747.8,100,7.60129,0.1
-883.3,100,7.657789,0.17
-855.3,100,7.714652,0.17
-740.1,100,7.772503,0.11
-935.0,100,7.831762,0.14
-808.1,100,7.890156,0.11
-796.0,100,7.946611,0.14
-955.8,100,8.004852,0.1
-735.0,100,8.064076,0.07
-817.2,100,8.122011,0.09
-635.0,100,8.180948,0.09
-568.9,100,8.238587,0.13
-583.0,100,8.298951,0.06
-972.3,100,8.356596,0.11
-955.5,100,8.412976,0.09
-935.2,100,8.469673,0.15
-1017.5,100,8.526341,0.14
-1062.1,100,8.583611,0.19
-863.8,100,9.191852,0.15
-643.3,100,9.252416,0.11
-760.0,100,9.315428,0.08
-263.9,100,9.377068,0.12
-1076.6,100,9.433148,0.08
-969.7,100,9.489643,0.06
-711.0,100,9.546979,0.09
-1024.1,100,9.60535,0.12
-937.2,100,9.662293,0.05
-991.7,100,9.719567,0.08
-998.3,100,9.780587,0.07
-996.3,100,9.840962,0.09
-991.7,100,9.898244,0.17
-902.6,100,9.953401,0.17
-732.5,100,10.010819,0.07
-899.6,100,10.068802,0.13
-930.5,100,10.133627,0.12
-912.0,100,10.190851,0.1
-942.1,100,10.250121,0.07
-998.4,100,10.308322,0.19
-983.0,100,10.874558,0.13
-779.7,100,10.934625,0.12
-756.6,100,10.995007,0.06
-701.4,100,11.057578,0.11
-870.1,100,11.116017,0.14
-891.3,100,11.174359,0.14
-655.8,100,11.233343,0.09
-579.5,100,11.293269,0.11
-777.2,100,11.351622,0.13
-723.7,100,11.409216,0.08
-763.0,100,11.470149,0.13
-886.4,100,11.530043,0.11
-815.3,100,11.589765,0.08
-870.4,100,11.645933,0.14
-806.9,100,11.70235,0.15
-713.6,100,11.76134,0.08
-655.4,100,11.821677,0.12
-837.0,100,11.879004,0.12
-975.8,100,11.936961,0.09
-710.1,100,11.99503,0.13
-774.4,100,12.052133,0.15
-832.3,100,12.613954,0.1
-979.2,100,12.673548,0.11
-718.5,100,12.732965,0.11
-909.4,100,12.792239,0.15
-643.4,100,12.853806,0.12
-869.4,100,12.911233,0.07
-711.6,100,12.968279,0.12
-513.3,100,13.025747,0.11
-843.0,100,13.085359,0.13
-583.8,100,13.146541,0.11
-407.2,100,13.209093,0.08
-642.9,100,13.268504,0.1
-594.8,100,13.329921,0.14
-934.5,100,13.387412,0.14
-305.7,100,13.446199,0.11
-783.9,100,13.50356,0.1
-770.1,100,13.561187,0.15
-594.8,100,13.621498,0.11
-699.6,100,13.679007,0.17
-840.8,100,13.735437,0.15
-722.0,100,14.267153,0.05
-782.0,100,14.329137,0.1
-618.4,100,14.390267,0.09
-813.3,100,14.450721,0.09
-658.4,100,14.510156,0.07
-771.7,100,14.568369,0.1
-781.8,100,14.628451,0.09
-705.0,100,14.686185,0.14
-417.9,100,14.744975,0.13
-427.2,100,14.806805,0.04
-579.4,100,14.869188,0.08
-962.2,100,14.926828,0.09
-836.9,100,14.983683,0.08
-577.0,100,15.041774,0.07
-856.2,100,15.098783,0.16
-630.3,100,15.15788,0.09
-685.5,100,15.215394,0.1
-1017.2,100,15.271201,0.1
-729.4,100,15.341478,0.18
-594.3,100,15.399434,0.08
-776.5,100,15.457237,0.1
-631.7,100,16.012205,0.06
-257.2,100,16.07538,0.1
-674.9,100,16.136945,0.03
-187.0,100,16.19731,0.13
-615.7,100,16.255695,0.06
-788.7,100,16.316079,0.08
-342.7,100,16.382315,0.09
-836.2,100,16.43972,0.16
-748.8,100,16.501442,0.14
-683.0,100,16.563584,0.08
-215.9,100,16.62495,0.09
-696.4,100,16.681994,0.08
-442.5,100,16.740695,0.08
-585.0,100,16.800152,0.09
-531.2,100,16.862122,0.1
-579.8,100,16.920512,0.14
-572.8,100,16.980256,0.03
-649.8,100,17.038102,0.16
-650.3,100,17.095993,0.13
-511.1,100,17.156972,0.11
-406.2,100,17.708972,0.07
-417.5,100,17.771687,0.07
