#{"t_start": 1737120020.8714721, "env_id": "None"}
r,l,t,invalid_share
-806.4,100,0.652117,0.13
-870.4,100,0.747753,0.09
-906.6,100,0.818402,0.1
-723.3,100,0.879817,0.11
-713.9,100,0.937478,0.14
-656.3,100,0.994869,0.09
-710.9,100,1.051523,0.12
-658.2,100,1.112498,0.09
-716.9,100,1.169328,0.09
-813.5,100,1.228839,0.02
-707.5,100,1.288343,0.08
-646.6,100,1.345808,0.08
-367.6,100,1.405104,0.12
-814.5,100,1.463214,0.08
-525.2,100,1.522949,0.11
-884.2,100,1.594417,0.16
-786.5,100,1.650693,0.11
-658.9,100,1.709258,0.1
-719.6,100,1.770002,0.11
-837.2,100,1.827348,0.12
-790.1,100,2.488169,0.1
-726.0,100,2.548066,0.09
-831.5,100,2.606572,0.12
-594.2,100,2.666451,0.15
-566.0,100,2.727722,0.11
-757.0,100,2.788408,0.14
-880.3,100,2.845498,0.13
-756.0,100,2.903014,0.07
-817.4,100,2.959727,0.08
-878.7,100,3.015374,0.15
-641.0,100,3.072813,0.1
-719.4,100,3.132325,0.15
-793.5,100,3.192652,0.15
-1000.5,100,3.251653,0.14
-547.4,100,3.31216,0.07
-658.0,100,3.370847,0.07
-655.9,100,3.428124,0.11
-682.9,100,3.485809,0.11
-909.1,100,3.541603,0.14
-669.6,100,3.600109,0.08
-707.5,100,4.260865,0.14
-581.6,100,4.324026,0.1
-870.8,100,4.382578,0.15
-729.2,100,4.442006,0.17
-680.7,100,4.500238,0.12
-603.7,100,4.557832,0.12
-678.0,100,4.615916,0.08
-786.6,100,4.672824,0.16
-999.7,100,4.731204,0.09
-847.3,100,4.790802,0.14
-330.6,100,4.850655,0.14
-882.8,100,4.906322,0.19
-784.5,100,4.976043,0.11
-826.6,100,5.037306,0.12
-638.2,100,5.095971,0.1
-617.3,100,5.154131,0.08
-752.0,100,5.211366,0.16
-484.5,100,5.273988,0.19
-605.9,100,5.332511,0.14
-876.7,100,5.389581,0.08
-982.8,100,5.445869,0.13
-737.6,100,6.074399,0.09
-506.9,100,6.135943,0.18
-667.7,100,6.195998,0.16
-740.5,100,6.257193,0.14
-909.5,100,6.315255,0.15
-724.1,100,6.372416,0.11
-587.0,100,6.430244,0.13
-373.6,100,6.489277,0.09
-729.9,100,6.546318,0.11
-896.8,100,6.603431,0.16
-816.3,100,6.660006,0.14
-601.3,100,6.718573,0.06
-637.4,100,6.78305,0.13
-667.4,100,6.84125,0.13
-929.4,100,6.897086,0.15
-836.7,100,6.954065,0.15
-898.2,100,7.010252,0.11
-675.1,100,7.067275,0.1
-709.8,100,7.123448,0.23
-620.1,100,7.18112,0.1
-714.4,100,7.819472,0.12
-456.3,100,7.881964,0.09
-725.6,100,7.941715,0.07
-827.8,100,8.000236,0.19
-688.8,100,8.058147,0.12
-771.5,100,8.11513,0.16
-686.6,100,8.172783,0.06
-340.9,100,8.233522,0.1
-763.7,100,8.294478,0.07
-716.2,100,8.352337,0.11
-650.7,100,8.410148,0.17
-515.6,100,8.468956,0.11
-688.8,100,8.53007,0.11
-735.4,100,8.588108,0.13
-479.4,100,8.646419,0.1
-685.0,100,8.703894,0.11
-588.9,100,8.764242,0.1
-727.6,100,8.824613,0.08
-760.6,100,8.881899,0.14
-742.6,100,8.938124,0.16
-679.1,100,8.995623,0.15
-502.3,100,9.635404,0.06
-670.5,100,9.696462,0.08
-495.9,100,9.761059,0.06
-565.7,100,9.822477,0.09
-662.8,100,9.887947,0.09
-591.8,100,9.946608,0.09
-488.1,100,10.006641,0.04
-664.7,100,10.065095,0.09
-705.8,100,10.12316,0.11
-400.9,100,10.182639,0.1
-554.0,100,10.244119,0.08
-673.3,100,10.305621,0.07
-476.0,100,10.364917,0.16
-665.5,100,10.422869,0.14
-678.1,100,10.483043,0.05
-754.6,100,10.547628,0.06
-654.1,100,10.61085,0.14
-823.6,100,10.674585,0.09
-594.0,100,10.734615,0.06
-714.6,100,10.795609,0.12
-613.9,100,11.555212,0.1
-133.8,100,11.621578,0.13
-434.1,100,11.686354,0.08
-240.2,100,11.749489,0.07
-522.9,100,11.813363,0.13
-539.6,100,11.874085,0.1
-687.8,100,11.936504,0.05
-542.2,100,11.998986,0.08
-792.0,100,12.057415,0.09
-777.5,100,12.115728,0.09
-680.4,100,12.173484,0.08
-804.7,100,12.231392,0.1
-531.9,100,12.294772,0.06
-411.7,100,12.355407,0.14
-483.0,100,12.414651,0.08
-592.8,100,12.472721,0.1
-582.0,100,12.530687,0.08
-608.7,100,12.589166,0.06
-746.4,100,12.646856,0.07
-773.4,100,12.703806,0.14
-767.3,100,12.761493,0.19
-502.3,100,13.409496,0.03
-497.4,100,13.470989,0.17
-538.7,100,13.531164,0.1
-787.6,100,13.589786,0.1
-523.1,100,13.649258,0.15
-424.9,100,13.708583,0.04
-762.4,100,13.767208,0.08
-556.1,100,13.829074,0.11
-738.8,100,13.887218,0.1
-463.1,100,13.946703,0.07
-776.7,100,14.006679,0.09
-594.8,100,14.066315,0.12
-527.4,100,14.125907,0.06
-624.9,100,14.187636,0.09
-741.7,100,14.251328,0.13
-571.9,100,14.316477,0.04
-822.8,100,14.37775,0.11
-580.8,100,14.441967,0.07
-588.7,100,14.505569,0.1
-674.6,100,14.568405,0.08
-570.8,100,15.284467,0.09
-578.4,100,15.346914,0.11
-580.6,100,15.407926,0.05
-593.8,100,15.468923,0.09
-509.7,100,15.529427,0.06
-488.4,100,15.589051,0.1
-462.4,100,15.654088,0.12
-766.4,100,15.717135,0.13
-452.1,100,15.781891,0.1
-569.7,100,15.846077,0.09
-557.5,100,15.909299,0.04
-665.1,100,15.969422,0.08
-638.4,100,16.027966,0.08
-571.4,100,16.087456,0.06
-490.8,100,16.147724,0.05
-685.2,100,16.205283,0.12
-317.7,100,16.265904,0.1
-758.6,100,16.326838,0.08
-666.5,100,16.385903,0.09
-577.5,100,16.444328,0.07
-550.6,100,16.505089,0.11
-371.7,100,17.131264,0.05
-422.4,100,17.194033,0.09
-519.1,100,17.254832,0.04
-536.9,100,17.318618,0.04
-314.0,100,17.379146,0.1
-538.6,100,17.438093,0.09
-587.5,100,17.497386,0.06
-599.9,100,17.555259,0.1
-359.2,100,17.615079,0.06
-764.1,100,17.67409,0.09
-553.9,100,17.733656,0.09
-416.3,100,17.794979,0.11
-515.1,100,17.85603,0.05
-440.6,100,17.915984,0.09
-439.6,100,17.974545,0.15
-414.5,100,18.034373,0.08
-247.4,100,18.094787,0.05
-593.4,100,18.153353,0.07
-540.6,100,18.212178,0.08
-580.7,100,18.272572,0.05
-641.1,100,19.048046,0.12
-434.3,100,19.113711,0.05
-472.0,100,19.177732,0.1
-477.4,100,19.242254,0.06
-606.3,100,19.306435,0.07
-461.8,100,19.369516,0.11
-326.0,100,19.432425,0.12
-496.5,100,19.492918,0.09
-379.6,100,19.553216,0.12
-200.7,100,19.616927,0.08
-439.1,100,19.677584,0.09
-277.7,100,19.740312,0.09
-321.8,100,19.803484,0.11
-505.4,100,19.865807,0.04
-618.1,100,19.925949,0.08
-556.7,100,19.986959,0.12
-593.5,100,20.047631,0.06
-484.2,100,20.108243,0.06
-396.7,100,20.168051,0.05
-540.7,100,20.230288,0.1
-551.7,100,20.291998,0.05
-475.0,100,21.050434,0.12
-587.7,100,21.112093,0.09
-322.2,100,21.175225,0.1
-559.4,100,21.235688,0.07
-348.9,100,21.297902,0.12
-460.4,100,21.362405,0.09
-342.3,100,21.423197,0.06
-394.9,100,21.484575,0.1
-470.0,100,21.549897,0.09
-487.7,100,21.615199,0.14
-614.3,100,21.679266,0.07
-558.7,100,21.738442,0.13
-320.8,100,21.801039,0.05
-477.3,100,21.861944,0.09
-661.7,100,21.920673,0.07
-400.4,100,21.980287,0.07
-625.5,100,22.038812,0.07
-452.9,100,22.098084,0.08
-339.6,100,22.160109,0.07
-660.2,100,22.221163,0.05
-480.0,100,22.876273,0.08
-358.0,100,22.939107,0.06
-557.7,100,23.000588,0.11
-306.1,100,23.0633,0.03
-307.9,100,23.123733,0.11
-486.8,100,23.182558,0.08
-393.0,100,23.242315,0.07
-287.3,100,23.305147,0.06
-378.1,100,23.369708,0.05
-309.7,100,23.431316,0.09
-377.1,100,23.49125,0.09
-445.2,100,23.550768,0.07
-422.0,100,23.610374,0.05
-362.1,100,23.671043,0.0
-430.7,100,23.730799,0.09
-391.3,100,23.793559,0.1
-233.9,100,23.861166,0.08
-434.1,100,23.925167,0.03
-596.8,100,23.989687,0.08
-598.5,100,24.053315,0.1
-425.5,100,24.114944,0.05
-331.8,100,24.889322,0.07
-440.8,100,24.953644,0.11
-451.3,100,25.020345,0.13
-352.7,100,25.088698,0.07
-422.4,100,25.158106,0.07
-528.1,100,25.225869,0.06
-608.8,100,25.288862,0.1
-496.4,100,25.354,0.09
-511.5,100,25.418422,0.12
-432.5,100,25.479517,0.07
-410.9,100,25.539466,0.14
-545.9,100,25.598623,0.04
-336.6,100,25.65852,0.07
-326.1,100,25.719719,0.09
-367.1,100,25.78024,0.11
-253.1,100,25.845371,0.05
-413.2,100,25.906578,0.03
-471.5,100,25.968348,0.08
-239.0,100,26.034553,0.06
-360.4,100,26.098534,0.08
-342.8,100,27.102091,0.06
-348.6,100,27.16836,0.06
-247.9,100,27.233746,0.03
-384.4,100,27.300766,0.06
-601.8,100,27.368174,0.06
-436.9,100,27.434181,0.1
-436.1,100,27.499004,0.07
-420.1,100,27.561257,0.08
-377.9,100,27.622289,0.11
-492.7,100,27.684194,0.08
-362.0,100,27.745283,0.06
-287.6,100,27.807214,0.14
-195.0,100,27.872353,0.07
-428.2,100,27.933885,0.07
-279.3,100,28.00025,0.12
-377.8,100,28.068858,0.09
-426.9,100,28.136858,0.1
-375.4,100,28.20445,0.03
-410.1,100,28.274063,0.06
-388.4,100,28.342242,0.05
-488.5,100,28.409545,0.11
-266.8,100,29.222975,0.05
-333.0,100,29.289919,0.11
-387.5,100,29.356815,0.09
-375.8,100,29.422889,0.06
-553.8,100,29.486314,0.06
-300.9,100,29.561666,0.07
-531.4,100,29.626142,0.05
-276.6,100,29.69041,0.04
-301.7,100,29.753918,0.09
-285.1,100,29.818829,0.07
-259.5,100,29.887007,0.09
-437.7,100,29.953051,0.07
-286.8,100,30.017818,0.05
-474.8,100,30.078297,0.06
-336.8,100,30.140369,0.06
-233.7,100,30.203313,0.03
-233.8,100,30.267876,0.1
-222.3,100,30.333879,0.08
-194.8,100,30.399862,0.06
-258.4,100,30.466353,0.05
-355.2,100,31.250101,0.06
-290.9,100,31.316818,0.14
-356.7,100,31.384716,0.04
-418.3,100,31.451499,0.07
-346.0,100,31.5197,0.02
-459.7,100,31.585648,0.1
-259.0,100,31.65047,0.06
-333.5,100,31.712218,0.04
-344.4,100,31.774343,0.09
-361.6,100,31.837513,0.04
-209.6,100,31.902053,0.11
-331.9,100,31.964828,0.04
-304.2,100,32.025568,0.07
-312.1,100,32.086502,0.05
-327.1,100,32.150169,0.07
-323.0,100,32.21079,0.08
-404.2,100,32.272142,0.05
-397.9,100,32.333494,0.1
-237.3,100,32.398059,0.06
-395.8,100,32.458922,0.07
-421.6,100,32.519413,0.07
-268.3,100,33.128589,0.05
-316.4,100,33.192828,0.04
-226.5,100,33.256133,0.08
-275.9,100,33.319615,0.06
-177.6,100,33.383321,0.05
-299.8,100,33.44571,0.1
-262.1,100,33.507296,0.06
-448.5,100,33.571039,0.05
-355.7,100,33.638609,0.11
-331.3,100,33.707203,0.09
-237.7,100,33.770892,0.09
-261.5,100,33.835626,0.04
-493.6,100,33.898736,0.05
-439.3,100,33.960435,0.06
-201.9,100,34.023123,0.04
-259.8,100,34.086097,0.07
-375.8,100,34.147908,0.08
-306.8,100,34.20882,0.06
-372.4,100,34.272708,0.1
-319.6,100,34.336246,0.07
-242.1,100,35.206611,0.07
-384.7,100,35.275149,0.04
-184.9,100,35.342234,0.06
-347.8,100,35.407036,0.03
-367.5,100,35.468668,0.1
-195.2,100,35.530702,0.04
-354.8,100,35.59176,0.09
-369.4,100,35.653603,0.07
-256.9,100,35.719125,0.05
-288.3,100,35.788647,0.05
-363.6,100,35.858578,0.1
-343.5,100,35.925614,0.04
-334.2,100,35.988516,0.07
-312.5,100,36.050131,0.07
-285.3,100,36.11301,0.06
-156.5,100,36.177714,0.05
-324.4,100,36.241643,0.06
-212.0,100,36.306315,0.08
-302.8,100,36.372806,0.07
-192.9,100,36.440016,0.05
-226.1,100,36.504479,0.07
-275.9,100,37.232944,0.04
-292.8,100,37.296894,0.03
-183.2,100,37.365343,0.07
-266.4,100,37.431413,0.04
-388.6,100,37.495085,0.02
-110.5,100,37.561507,0.12
-306.8,100,37.626796,0.05
-374.2,100,37.690477,0.04
-334.5,100,37.755897,0.09
-295.7,100,37.837399,0.08
-302.2,100,37.905272,0.08
-275.9,100,37.973167,0.01
-403.9,100,38.036265,0.1
-227.8,100,38.101812,0.04
-268.8,100,38.165698,0.1
-282.7,100,38.231034,0.1
-334.6,100,38.295276,0.08
-318.6,100,38.36283,0.06
-258.5,100,38.43066,0.08
-411.4,100,38.495325,0.07
-332.0,100,39.205592,0.02
-282.0,100,39.270805,0.1
-271.6,100,39.33701,0.06
-169.1,100,39.405601,0.07
-246.2,100,39.472147,0.08
-308.3,100,39.533803,0.04
-312.9,100,39.595891,0.09
-354.3,100,39.657864,0.07
-303.3,100,39.719045,0.03
-287.6,100,39.780827,0.06
-273.0,100,39.845131,0.08
-229.4,100,39.9123,0.07
-286.8,100,39.976936,0.05
-295.3,100,40.04133,0.12
-138.2,100,40.106718,0.07
-249.5,100,40.171975,0.04
-274.0,100,40.237602,0.08
-341.3,100,40.300713,0.04
-171.3,100,40.365172,0.04
-319.7,100,40.429297,0.08
-450.6,100,40.492059,0.1
-283.7,100,41.148664,0.12
-372.1,100,41.216925,0.09
-221.5,100,41.285823,0.12
-313.7,100,41.352483,0.09
-296.5,100,41.424211,0.04
-243.0,100,41.495637,0.09
-337.6,100,41.562872,0.04
-504.2,100,41.631211,0.09
-311.5,100,41.699952,0.06
-348.7,100,41.772717,0.07
-204.0,100,41.84426,0.11
-284.7,100,41.915127,0.07
-333.7,100,41.984265,0.09
-318.7,100,42.055526,0.06
-261.3,100,42.124133,0.12
-225.1,100,42.191336,0.07
-279.3,100,42.257303,0.05
-369.3,100,42.322774,0.09
-306.9,100,42.391996,0.09
-396.1,100,42.457383,0.05
-362.1,100,43.137287,0.08
-299.7,100,43.201323,0.04
-290.1,100,43.264494,0.07
-175.9,100,43.326963,0.06
-283.1,100,43.391567,0.02
-311.6,100,43.452646,0.09
-347.0,100,43.513586,0.05
-218.4,100,43.576838,0.07
-323.2,100,43.637633,0.03
-331.0,100,43.698343,0.06
-430.0,100,43.758848,0.06
-299.7,100,43.819317,0.05
-309.6,100,43.883338,0.06
-309.6,100,43.945464,0.02
-418.7,100,44.005842,0.07
-254.1,100,44.068985,0.06
-396.9,100,44.129962,0.11
-301.6,100,44.192129,0.05
-460.7,100,44.252306,0.09
-200.0,100,44.313403,0.07
-343.0,100,44.376008,0.09
-119.8,100,45.000277,0.09
-225.5,100,45.065248,0.06
-255.3,100,45.130913,0.11
-235.9,100,45.192539,0.09
-216.4,100,45.254012,0.05
-271.4,100,45.314115,0.08
-214.3,100,45.37911,0.07
-311.8,100,45.440397,0.06
-306.7,100,45.5006,0.06
-259.0,100,45.561048,0.09
-163.4,100,45.623844,0.07
-396.7,100,45.684284,0.09
-233.2,100,45.745357,0.09
-268.1,100,45.806097,0.07
-232.5,100,45.868783,0.05
-306.6,100,45.931952,0.03
-192.0,100,45.993829,0.07
-279.6,100,46.05532,0.08
-360.3,100,46.117834,0.05
-262.2,100,46.179394,0.04
-299.0,100,46.796043,0.08
-217.7,100,46.861534,0.1
-279.7,100,46.926624,0.08
-415.3,100,46.988475,0.06
-292.3,100,47.05065,0.04
-493.2,100,47.113101,0.05
-285.3,100,47.174269,0.08
-315.5,100,47.234444,0.06
-273.5,100,47.295336,0.07
-228.5,100,47.357087,0.07
-299.9,100,47.419888,0.04
-313.1,100,47.481335,0.03
-391.6,100,47.542355,0.05
-340.6,100,47.609119,0.06
-258.4,100,47.67383,0.11
-358.0,100,47.738513,0.06
-381.9,100,47.8034,0.07
-237.5,100,47.869146,0.1
-267.1,100,47.934719,0.14
-374.4,100,47.998914,0.07
-195.2,100,48.065135,0.05
-265.3,100,48.722946,0.08
-257.4,100,48.786641,0.07
-227.1,100,48.854063,0.09
-198.7,100,48.92408,0.03
-228.4,100,48.988525,0.06
-212.6,100,49.054355,0.06
-271.9,100,49.119583,0.1
-378.4,100,49.184567,0.06
-266.5,100,49.246891,0.05
-301.6,100,49.307659,0.08
-239.5,100,49.370509,0.06
-217.3,100,49.433873,0.07
-299.9,100,49.494682,0.1
-243.5,100,49.556726,0.03
-332.1,100,49.619239,0.04
-299.9,100,49.68182,0.07
-356.4,100,49.743334,0.08
-293.9,100,49.810385,0.08
-446.3,100,49.875431,0.07
-282.7,100,49.941938,0.08
-163.8,100,50.605244,0.06
-279.1,100,50.673752,0.06
-189.9,100,50.741067,0.02
-332.6,100,50.803454,0.09
-354.5,100,50.865778,0.05
-334.7,100,50.929388,0.11
-226.2,100,50.992094,0.07
-231.3,100,51.054833,0.07
-254.8,100,51.117539,0.06
-290.9,100,51.18411,0.06
-331.2,100,51.255156,0.04
-351.9,100,51.320755,0.14
-353.8,100,51.386048,0.1
-366.9,100,51.448983,0.1
-338.9,100,51.51315,0.11
-312.2,100,51.577666,0.07
-299.6,100,51.644481,0.08
-221.5,100,51.709113,0.11
-256.0,100,51.773596,0.06
-304.5,100,51.83946,0.1
-353.1,100,52.541266,0.09
-252.7,100,52.607869,0.09
-401.1,100,52.671596,0.09
-289.5,100,52.734883,0.06
-220.8,100,52.796829,0.06
-317.3,100,52.862547,0.05
-341.4,100,52.928527,0.07
-202.2,100,52.996053,0.06
-315.3,100,53.059339,0.07
-266.1,100,53.124025,0.05
-276.4,100,53.188207,0.09
-339.5,100,53.249489,0.13
-361.1,100,53.313707,0.07
-244.1,100,53.376874,0.04
-276.1,100,53.44094,0.08
-348.1,100,53.502953,0.0
-294.9,100,53.569782,0.09
-321.3,100,53.636719,0.08
-233.7,100,53.702647,0.06
-355.7,100,53.7664,0.06
-397.9,100,53.829686,0.05
-232.1,100,54.515497,0.06
-409.9,100,54.579675,0.06
-395.6,100,54.645367,0.04
-231.1,100,54.709161,0.03
-301.1,100,54.773326,0.04
-263.8,100,54.836552,0.09
-302.0,100,54.898423,0.08
-207.9,100,54.974422,0.07
-313.5,100,55.040415,0.09
-236.7,100,55.105996,0.06
-246.2,100,55.173427,0.06
-302.9,100,55.235522,0.1
-440.2,100,55.296534,0.04
-293.8,100,55.359161,0.04
-394.0,100,55.428699,0.01
-428.1,100,55.507882,0.14
-373.7,100,55.571968,0.06
-295.5,100,55.635779,0.11
-256.1,100,55.699606,0.04
-278.5,100,55.765679,0.07
-253.7,100,56.456232,0.06
-371.5,100,56.523568,0.06
-244.5,100,56.589592,0.08
-256.1,100,56.654744,0.12
-241.9,100,56.718032,0.03
-328.3,100,56.783848,0.11
-218.8,100,56.847361,0.05
-293.0,100,56.912341,0.04
-302.4,100,56.9752,0.04
-221.4,100,57.037897,0.09
-294.0,100,57.100563,0.09
-291.3,100,57.163535,0.06
-256.0,100,57.23371,0.07
-351.5,100,57.302202,0.05
-251.9,100,57.367229,0.09
-229.7,100,57.43353,0.08
-278.8,100,57.509689,0.03
-285.0,100,57.573968,0.05
-341.2,100,57.637245,0.07
-306.0,100,57.699977,0.08
-294.7,100,57.764233,0.08
-179.3,100,58.463588,0.09
