#{"t_start": 1737119824.911689, "env_id": "None"}
r,l,t,invalid_share
-902.5,100,0.618047,0.11
-719.8,100,0.710927,0.12
-723.6,100,0.792319,0.14
-441.5,100,0.855808,0.09
-855.3,100,0.912086,0.15
-860.6,100,0.968123,0.13
-393.0,100,1.026875,0.07
-767.8,100,1.084235,0.14
-802.4,100,1.146475,0.14
-700.0,100,1.206324,0.14
-814.4,100,1.262683,0.15
-598.0,100,1.337065,0.04
-687.2,100,1.394857,0.15
-730.7,100,1.451449,0.08
-733.6,100,1.50829,0.11
-466.8,100,1.568813,0.1
-895.4,100,1.627876,0.09
-832.6,100,1.688485,0.11
-289.2,100,1.749047,0.1
-749.8,100,1.808111,0.14
