#{"t_start": 1737119876.4553668, "env_id": "None"}
r,l,t,invalid_share
-555.0,100,18.006845,0.1
-537.4,100,18.065241,0.06
-476.4,100,18.123726,0.06
-562.3,100,18.184048,0.07
-507.9,100,18.244803,0.08
-384.7,100,18.306566,0.09
-473.7,100,18.366234,0.07
-667.9,100,19.016672,0.07
-534.8,100,19.079381,0.04
-352.6,100,19.141826,0.05
-475.3,100,19.203039,0.04
-495.4,100,19.265601,0.06
-191.2,100,19.329666,0.07
-553.5,100,19.388724,0.04
-339.2,100,19.4506,0.06
-365.3,100,19.513058,0.1
-530.9,100,19.574195,0.04
-509.6,100,19.632773,0.1
-518.1,100,19.691611,0.05
-338.2,100,19.754114,0.07
-687.5,100,19.816122,0.05
-455.8,100,19.876076,0.05
-585.9,100,19.935397,0.1
-439.1,100,19.998706,0.04
-574.2,100,20.059568,0.06
-499.3,100,20.118138,0.07
-360.7,100,20.177319,0.06
-295.1,100,20.240446,0.06
-414.9,100,20.907815,0.02
-391.9,100,20.970722,0.07
-331.7,100,21.033045,0.05
-414.0,100,21.094209,0.08
-601.1,100,21.156568,0.05
-374.0,100,21.217956,0.01
-314.1,100,21.27846,0.06
-459.9,100,21.341925,0.06
-238.7,100,21.406996,0.04
-392.1,100,21.468832,0.06
-446.3,100,21.528308,0.08
-498.6,100,21.586936,0.07
-475.4,100,21.647455,0.06
-376.7,100,21.709251,0.03
-440.6,100,21.768734,0.1
-392.8,100,21.831959,0.03
-536.4,100,21.895604,0.08
-538.8,100,21.956929,0.07
-395.2,100,22.01725,0.03
-481.1,100,22.075874,0.06
-493.6,100,22.732082,0.02
-314.4,100,22.797116,0.08
-424.6,100,22.86016,0.06
-426.6,100,22.921203,0.1
-341.7,100,22.985395,0.06
-457.3,100,23.046799,0.08
-328.1,100,23.106888,0.03
-368.3,100,23.166268,0.06
-325.1,100,23.229684,0.04
-462.8,100,23.291321,0.01
-379.3,100,23.35374,0.05
-420.3,100,23.413538,0.07
-186.1,100,23.479725,0.04
-352.5,100,23.540916,0.07
-460.2,100,23.60076,0.05
-364.7,100,23.660636,0.06
-477.3,100,23.721952,0.06
-339.4,100,23.784571,0.04
-483.4,100,23.862754,0.09
-423.7,100,23.922631,0.02
-475.3,100,23.986276,0.02
-391.5,100,24.622671,0.05
-262.9,100,24.686403,0.08
-544.9,100,24.747678,0.06
-294.8,100,24.810865,0.06
-399.4,100,24.875799,0.05
-370.8,100,24.937313,0.03
-554.0,100,24.998493,0.03
-311.3,100,25.058758,0.06
-379.8,100,25.122671,0.06
-460.6,100,25.183219,0.06
-340.2,100,25.243462,0.08
-569.6,100,25.303478,0.06
-492.0,100,25.367856,0.1
-413.2,100,25.428783,0.06
-393.1,100,25.490302,0.1
-288.1,100,25.550581,0.05
-419.5,100,25.614492,0.04
-441.2,100,25.675854,0.06
-335.6,100,25.735709,0.07
-430.2,100,25.794981,0.07
-453.5,100,26.454917,0.08
-372.8,100,26.519535,0.0
-356.9,100,26.581995,0.06
-380.0,100,26.644024,0.07
-431.8,100,26.708652,0.04
-298.1,100,26.770739,0.11
-329.4,100,26.832883,0.07
-529.9,100,26.893699,0.06
-198.3,100,26.966215,0.09
-299.2,100,27.028009,0.05
-420.0,100,27.087309,0.05
-324.9,100,27.147981,0.06
-364.8,100,27.210579,0.06
-276.0,100,27.272833,0.05
-490.4,100,27.334449,0.08
-232.9,100,27.396615,0.04
-467.2,100,27.458419,0.07
-502.9,100,27.518077,0.11
-199.4,100,27.57986,0.02
-303.0,100,27.640496,0.02
-367.7,100,27.7041,0.06
-365.9,100,28.34936,0.04
-294.0,100,28.412415,0.06
-438.5,100,28.474447,0.08
-193.8,100,28.537818,0.04
-343.9,100,28.601343,0.07
-328.1,100,28.663668,0.07
-398.0,100,28.722999,0.05
-385.6,100,28.782315,0.07
-420.7,100,28.846152,0.06
-426.3,100,28.906652,0.06
-447.8,100,28.968052,0.1
-363.7,100,29.038503,0.03
-357.9,100,29.103048,0.04
-358.9,100,29.163506,0.07
-259.6,100,29.224172,0.07
-278.7,100,29.284515,0.05
-366.8,100,29.348706,0.07
-448.9,100,29.409654,0.11
