#{"t_start": 1737885709.854961, "env_id": "None"}
r,l,t,invalid_share
-972.8,100,0.778268,0.1
-1112.6,100,0.849479,0.16
-959.6,100,0.920525,0.07
-760.3,100,0.993574,0.12
-1139.5,100,1.054389,0.15
-990.4,100,1.112401,0.15
-970.5,100,1.169097,0.17
-1088.3,100,1.227111,0.08
-1044.1,100,1.286008,0.14
-1073.5,100,1.344005,0.1
-943.1,100,1.401037,0.13
-1024.8,100,1.458008,0.1
-827.6,100,1.516037,0.1
-617.0,100,1.578477,0.12
-1003.5,100,1.637251,0.08
-1009.6,100,1.695478,0.09
-1064.4,100,1.751788,0.14
-1081.6,100,1.812008,0.13
-1061.7,100,1.868939,0.15
-1106.3,100,1.926777,0.11
-1130.7,100,2.512331,0.13
-702.0,100,2.577703,0.14
-962.3,100,2.638616,0.13
-1091.4,100,2.697287,0.14
-931.3,100,2.756357,0.07
-903.6,100,2.81768,0.1
-962.7,100,2.876968,0.08
-937.4,100,2.936061,0.08
-836.3,100,2.995113,0.11
-1064.5,100,3.055262,0.11
-770.3,100,3.115198,0.12
-738.4,100,3.174275,0.11
-1027.7,100,3.231106,0.16
-1004.8,100,3.29066,0.11
-961.3,100,3.35156,0.11
-960.4,100,3.41072,0.15
-912.7,100,3.468114,0.12
-815.4,100,3.528404,0.11
-958.4,100,3.58897,0.07
-1084.8,100,3.646111,0.09
