#{"t_start": 1737036359.162173, "env_id": "None"}
r,l,t
-1.0,5,0.603636
-1.0,5,0.607376
-1.0,5,0.612712
-1.0,5,0.63393
-1.0,5,0.637052
0.0,5,0.640167
-1.0,5,0.643394
0.0,5,0.659089
-1.0,5,0.663663
-1.0,5,0.666969
-2.0,5,0.670116
-4.0,5,0.6733
-1.0,5,0.685864
0.0,5,0.689809
-1.0,5,0.692993
0.0,5,0.696199
-1.0,5,0.699294
0.0,5,0.702324
-3.0,5,0.70546
-1.0,5,0.708507
-1.0,5,0.711525
0.0,5,0.714509
-2.0,5,0.724665
-1.0,5,0.729568
-1.0,5,0.732707
-1.0,5,0.735817
-1.0,5,0.742375
0.0,5,0.745453
-2.0,5,0.748542
-2.0,5,0.760285
-2.0,5,0.763901
0.0,5,0.766991
-1.0,5,0.770911
-3.0,5,0.774121
0.0,5,0.777152
-1.0,5,0.780403
-1.0,5,0.783626
0.0,5,0.78678
-1.0,5,0.789878
0.0,5,0.795406
-2.0,5,0.807728
-1.0,5,0.811083
-2.0,5,0.814181
-3.0,5,0.817299
0.0,5,0.820229
-2.0,5,0.823212
0.0,5,0.826192
0.0,5,0.830695
0.0,5,0.840346
0.0,5,0.84338
-2.0,5,0.846416
-2.0,5,0.849471
0.0,5,0.852479
0.0,5,0.855394
-1.0,5,0.858421
0.0,5,0.86139
0.0,5,0.864372
0.0,5,0.867363
-1.0,5,0.870279
-1.0,5,0.873244
-2.0,5,0.881269
0.0,5,0.884342
-1.0,5,0.887484
-1.0,5,0.890535
-2.0,5,0.893473
-1.0,5,0.89664
-1.0,5,0.899531
0.0,5,0.9024
-1.0,5,0.905298
0.0,5,0.90811
-2.0,5,0.911043
-2.0,5,0.913957
-2.0,5,0.916982
-1.0,5,0.920014
-2.0,5,0.923027
0.0,5,0.925821
-1.0,5,0.928624
0.0,5,0.931541
-1.0,5,0.934366
-1.0,5,0.937298
-1.0,5,0.940356
0.0,5,0.943766
-2.0,5,0.946738
-3.0,5,0.94967
-1.0,5,0.952997
-2.0,5,0.956135
-1.0,5,0.959047
-1.0,5,0.962247
-2.0,5,0.965206
0.0,5,0.968038
-2.0,5,0.970959
-1.0,5,0.97378
-3.0,5,0.976691
-1.0,5,0.979608
0.0,5,0.982691
-1.0,5,0.985594
0.0,5,0.988742
-1.0,5,0.991642
0.0,5,0.994474
-2.0,5,0.997511
-2.0,5,1.000493
-1.0,5,1.003495
-2.0,5,1.006259
0.0,5,1.009107
-1.0,5,1.0119
-1.0,5,1.014692
-2.0,5,1.017488
-2.0,5,1.020342
-3.0,5,1.023297
-2.0,5,1.026247
0.0,5,1.029073
-1.0,5,1.031884
-1.0,5,1.034778
-2.0,5,1.037656
-1.0,5,1.04055
-3.0,5,1.043486
-1.0,5,1.046264
0.0,5,1.048998
-1.0,5,1.051777
-2.0,5,1.054649
-1.0,5,1.05758
-2.0,5,1.06044
-1.0,5,1.063195
-1.0,5,1.066034
-1.0,5,1.068915
-2.0,5,1.07176
-2.0,5,1.074664
-1.0,5,1.077514
-4.0,5,1.080453
-2.0,5,1.083264
0.0,5,1.086117
-2.0,5,1.088907
-3.0,5,1.091777
-1.0,5,1.094553
-1.0,5,1.097385
-3.0,5,1.100645
-2.0,5,1.103626
-2.0,5,1.106456
-2.0,5,1.109317
-2.0,5,1.112193
-1.0,5,1.114977
0.0,5,1.117737
-2.0,5,1.120597
0.0,5,1.123328
-1.0,5,1.126165
-4.0,5,1.129118
-2.0,5,1.131965
0.0,5,1.134847
-1.0,5,1.137648
-1.0,5,1.140434
-2.0,5,1.143356
-4.0,5,1.14634
-2.0,5,1.149168
-1.0,5,1.151955
-1.0,5,1.15471
-2.0,5,1.157519
-1.0,5,1.160288
-1.0,5,1.163112
-4.0,5,1.166061
-2.0,5,1.168905
0.0,5,1.171672
-2.0,5,1.174489
-2.0,5,1.177306
-2.0,5,1.180153
-1.0,5,1.182969
-1.0,5,1.185999
-1.0,5,1.188941
-1.0,5,1.191845
-1.0,5,1.194708
0.0,5,1.197817
-2.0,5,1.200707
0.0,5,1.203551
-3.0,5,1.206653
-2.0,5,1.209573
0.0,5,1.212356
-1.0,5,1.215132
0.0,5,1.217862
-1.0,5,1.220621
-1.0,5,1.223423
-2.0,5,1.226293
-3.0,5,1.229169
-1.0,5,1.232084
-1.0,5,1.234897
-1.0,5,1.23767
-2.0,5,1.240553
-1.0,5,1.243423
0.0,5,1.246241
-2.0,5,1.249033
0.0,5,1.251774
-1.0,5,1.254489
-1.0,5,1.257621
-4.0,5,1.261308
0.0,5,1.264321
0.0,5,1.267391
0.0,5,1.27071
0.0,5,1.273742
-3.0,5,1.27684
-1.0,5,1.279988
-2.0,5,1.282927
-2.0,5,1.285859
-1.0,5,1.28899
-2.0,5,1.291887
0.0,5,1.294843
-2.0,5,1.298281
-2.0,5,1.301197
-1.0,5,1.304413
-1.0,5,1.307595
0.0,5,1.310753
-2.0,5,1.313701
-3.0,5,1.316604
0.0,5,1.319392
-1.0,5,1.322244
-1.0,5,1.325104
-1.0,5,1.32801
-2.0,5,1.330949
0.0,5,1.333835
-2.0,5,1.336623
-1.0,5,1.339442
0.0,5,1.342217
-3.0,5,1.345029
0.0,5,1.347812
0.0,5,1.350607
-3.0,5,1.35349
0.0,5,1.356372
0.0,5,1.359189
-1.0,5,1.361969
-3.0,5,1.364781
0.0,5,1.367512
-2.0,5,1.370332
-1.0,5,1.373137
-2.0,5,1.376217
-1.0,5,1.379152
-2.0,5,1.382098
-1.0,5,1.385013
0.0,5,1.388059
0.0,5,1.390927
-3.0,5,1.393857
0.0,5,1.396636
0.0,5,1.399339
-1.0,5,1.402212
-1.0,5,1.405076
-4.0,5,1.407921
-1.0,5,1.410694
-2.0,5,1.413556
0.0,5,1.416519
-4.0,5,1.419406
-2.0,5,1.422316
0.0,5,1.425117
-2.0,5,1.427956
-2.0,5,1.430728
0.0,5,1.433568
-1.0,5,1.43641
-1.0,5,1.439239
-3.0,5,1.442144
-2.0,5,1.444878
0.0,5,1.44801
-3.0,5,1.450912
-4.0,5,1.454118
-1.0,5,1.457277
-3.0,5,1.460181
0.0,5,1.463254
0.0,5,1.466326
-1.0,5,1.469232
-2.0,5,1.472316
0.0,5,1.475107
-1.0,5,1.477919
0.0,5,1.480906
0.0,5,1.483833
0.0,5,1.486808
-2.0,5,1.489977
-1.0,5,1.49275
0.0,5,1.495615
-2.0,5,1.498476
0.0,5,1.50129
-2.0,5,1.504102
0.0,5,1.506956
0.0,5,1.509736
-3.0,5,1.512634
0.0,5,1.515443
-2.0,5,1.518415
-1.0,5,1.521236
-1.0,5,1.524091
0.0,5,1.526807
-2.0,5,1.52959
-3.0,5,1.532429
-3.0,5,1.53528
-2.0,5,1.538092
0.0,5,1.540941
0.0,5,1.543667
0.0,5,1.546457
-2.0,5,1.54924
-3.0,5,1.552184
0.0,5,1.55506
0.0,5,1.557785
0.0,5,1.560605
-1.0,5,1.563414
0.0,5,1.566276
-1.0,5,1.569092
-1.0,5,1.571925
0.0,5,1.574756
-1.0,5,1.577537
-2.0,5,1.580388
-2.0,5,1.583214
-2.0,5,1.586062
-1.0,5,1.588906
-2.0,5,1.591691
-2.0,5,1.594555
-1.0,5,1.597312
-1.0,5,1.6001
0.0,5,1.602933
-2.0,5,1.605771
0.0,5,1.608571
0.0,5,1.61135
-1.0,5,1.614125
0.0,5,1.616898
-2.0,5,1.620016
-2.0,5,1.62283
-2.0,5,1.625626
-2.0,5,1.628433
0.0,5,1.631116
-3.0,5,1.633918
0.0,5,1.63671
-2.0,5,1.639581
-1.0,5,1.642291
-1.0,5,1.645015
0.0,5,1.647845
-3.0,5,1.650695
-1.0,5,1.653491
0.0,5,1.65617
-1.0,5,1.659004
-1.0,5,1.661825
-1.0,5,1.664678
-1.0,5,1.667534
-2.0,5,1.670432
-1.0,5,1.673314
-2.0,5,1.676204
-2.0,5,1.678969
-1.0,5,1.681803
-1.0,5,1.684572
-1.0,5,1.687363
-2.0,5,1.690172
0.0,5,1.693413
-2.0,5,1.712198
0.0,5,1.715118
0.0,5,1.717965
-1.0,5,1.72093
0.0,5,1.723738
-1.0,5,1.726795
-1.0,5,1.729682
0.0,5,1.732508
-1.0,5,1.735332
-2.0,5,1.738192
-1.0,5,1.741028
-2.0,5,1.744476
0.0,5,1.747224
0.0,5,1.750084
-1.0,5,1.752894
-1.0,5,1.755818
-1.0,5,1.75916
-2.0,5,1.762483
-2.0,5,1.765875
-1.0,5,1.768962
-2.0,5,1.77219
0.0,5,1.774906
-1.0,5,1.778086
0.0,5,1.781014
0.0,5,1.783857
-1.0,5,1.787052
-1.0,5,1.789945
0.0,5,1.792726
-2.0,5,1.795791
0.0,5,1.798965
-1.0,5,1.801882
-2.0,5,1.805019
-2.0,5,1.808157
-1.0,5,1.811079
-1.0,5,1.813958
0.0,5,1.817053
-3.0,5,1.820053
-1.0,5,1.82291
-1.0,5,1.825859
-1.0,5,1.828676
-1.0,5,1.831481
-1.0,5,1.83418
-2.0,5,1.836978
-1.0,5,1.839784
-2.0,5,1.842651
-2.0,5,1.845508
-1.0,5,1.848317
-1.0,5,1.851139
-1.0,5,1.853936
-1.0,5,1.856789
-2.0,5,1.859672
-2.0,5,1.862498
-1.0,5,1.865316
-1.0,5,1.868187
-2.0,5,1.871046
0.0,5,1.873833
0.0,5,1.876608
0.0,5,1.879381
-1.0,5,1.88214
-3.0,5,1.885031
-1.0,5,1.88781
-1.0,5,1.890616
0.0,5,1.893441
-1.0,5,1.896216
-2.0,5,1.899004
-1.0,5,1.901796
0.0,5,1.904671
