#{"t_start": 1737121379.3992782, "env_id": "None"}
r,l,t,invalid_share
-20.0,100,0.428699,0.17
-18.0,100,0.517661,0.11
-29.0,100,0.592095,0.06
-23.0,100,0.66073,0.11
-26.0,100,0.71223,0.08
-25.0,100,0.76222,0.1
-24.0,100,0.811516,0.1
-29.0,100,0.860557,0.12
-25.0,100,0.91038,0.09
-20.0,100,0.964238,0.11
-22.0,100,1.013832,0.14
-22.0,100,1.06582,0.14
-19.0,100,1.115267,0.08
-20.0,100,1.172444,0.11
-31.0,100,1.223945,0.12
-21.0,100,1.273194,0.09
-28.0,100,1.322562,0.08
-19.0,100,1.371894,0.12
-23.0,100,1.422171,0.14
-26.0,100,1.472288,0.1
-21.0,100,2.128105,0.06
-16.0,100,2.180035,0.16
-18.0,100,2.231932,0.09
-19.0,100,2.283101,0.17
-20.0,100,2.33346,0.08
-17.0,100,2.382313,0.17
-16.0,100,2.432928,0.14
-13.0,100,2.482228,0.13
-15.0,100,2.5325,0.14
-14.0,100,2.584451,0.08
-17.0,100,2.634606,0.07
-13.0,100,2.683681,0.09
-19.0,100,2.732812,0.09
-17.0,100,2.781675,0.1
-25.0,100,2.833078,0.11
-17.0,100,2.882623,0.17
-18.0,100,2.933015,0.13
-18.0,100,2.983028,0.09
-18.0,100,3.033174,0.12
-21.0,100,3.085747,0.05
-20.0,100,3.680734,0.07
-11.0,100,3.733047,0.11
-17.0,100,3.785461,0.13
-9.0,100,3.836453,0.12
-8.0,100,3.887561,0.15
-11.0,100,3.938609,0.21
-18.0,100,3.988755,0.12
-10.0,100,4.03954,0.15
-21.0,100,4.092543,0.11
-11.0,100,4.141982,0.15
-10.0,100,4.191018,0.18
-16.0,100,4.240381,0.1
-8.0,100,4.293505,0.14
-13.0,100,4.343202,0.13
-14.0,100,4.395529,0.16
-18.0,100,4.447363,0.09
-15.0,100,4.497274,0.15
-13.0,100,4.548036,0.14
-5.0,100,4.599299,0.12
-11.0,100,4.648593,0.21
-10.0,100,4.698125,0.17
-11.0,100,5.314988,0.17
-16.0,100,5.366342,0.12
-22.0,100,5.418761,0.04
-16.0,100,5.471302,0.11
-10.0,100,5.521483,0.1
-18.0,100,5.573719,0.11
-10.0,100,5.624121,0.11
-14.0,100,5.674203,0.12
-11.0,100,5.72356,0.15
-14.0,100,5.774463,0.1
-13.0,100,5.825132,0.13
-15.0,100,5.87505,0.11
-13.0,100,5.92453,0.15
-11.0,100,5.975407,0.12
-12.0,100,6.026193,0.06
-10.0,100,6.078054,0.14
-8.0,100,6.128136,0.16
-10.0,100,6.177734,0.13
-13.0,100,6.227247,0.14
-7.0,100,6.276768,0.13
-14.0,100,6.885684,0.11
-14.0,100,6.938294,0.13
-7.0,100,6.991198,0.14
-4.0,100,7.043909,0.14
-6.0,100,7.096205,0.14
-11.0,100,7.146397,0.09
-9.0,100,7.195952,0.13
-9.0,100,7.24499,0.2
-12.0,100,7.294884,0.14
-8.0,100,7.34456,0.13
-13.0,100,7.412699,0.12
-9.0,100,7.463476,0.15
-11.0,100,7.514534,0.09
-4.0,100,7.566784,0.16
-8.0,100,7.618098,0.14
-5.0,100,7.66804,0.13
-8.0,100,7.717552,0.17
-9.0,100,7.766482,0.19
-15.0,100,7.816071,0.11
-12.0,100,7.865253,0.12
-3.0,100,7.914353,0.21
