#{"t_start": 1737119582.299405, "env_id": "None"}
r,l,t,invalid_share
-670.2,100,0.569589,0.09
-776.1,100,0.657096,0.1
-741.8,100,0.742551,0.17
-638.0,100,0.818877,0.14
-773.8,100,0.876463,0.11
-905.6,100,0.930852,0.13
-687.4,100,0.985588,0.12
-844.5,100,1.040056,0.09
-769.3,100,1.096231,0.15
-733.6,100,1.150872,0.12
-555.2,100,1.210193,0.14
-879.2,100,1.266415,0.1
-464.7,100,1.325295,0.08
-539.3,100,1.383797,0.14
-920.3,100,1.437203,0.14
-789.5,100,1.492396,0.12
-644.7,100,1.550699,0.11
-661.8,100,1.605925,0.12
-848.7,100,1.659761,0.06
-765.2,100,1.717866,0.1
