#{"t_start": 1737110139.55954, "env_id": "None"}
r,l,t
-692.8,100,0.54784
-811.6,100,0.604266
-758.1,100,0.660724
-830.7,100,0.720346
-536.6,100,0.784939
-746.8,100,0.844642
-707.3,100,0.903751
-775.8,100,0.964454
-704.3,100,1.02622
-868.0,100,1.082586
-634.6,100,1.141232
-778.6,100,1.201362
-691.7,100,1.260156
-718.3,100,1.316307
-698.2,100,1.375317
-865.5,100,1.435745
-855.1,100,1.493096
-906.7,100,1.548883
-948.5,100,1.608591
-925.8,100,1.666881
-770.9,100,2.522163
-881.0,100,2.580454
-855.7,100,2.639612
-552.9,100,2.699384
-378.2,100,2.76407
-691.1,100,2.826073
-607.5,100,2.884818
-877.6,100,2.945869
-841.7,100,3.006086
-714.1,100,3.06433
-564.9,100,3.122661
-720.7,100,3.184235
-654.7,100,3.245116
-664.1,100,3.303628
-586.5,100,3.364495
-751.9,100,3.441061
-533.4,100,3.501528
-889.2,100,3.561627
-743.8,100,3.622551
-697.3,100,3.684089
-685.7,100,4.467628
-808.2,100,4.527191
-799.5,100,4.586259
-852.7,100,4.645307
-838.8,100,4.704468
-338.0,100,4.769468
-869.8,100,4.829154
-929.1,100,4.88475
-884.6,100,4.94649
-665.3,100,5.008528
-809.3,100,5.066465
-905.4,100,5.124218
-822.4,100,5.185539
-873.7,100,5.245004
-758.4,100,5.302208
-1014.4,100,5.359595
-950.3,100,5.420549
-349.2,100,5.48197
-635.2,100,5.540943
-805.7,100,5.602436
-686.4,100,5.662341
-787.9,100,6.317775
-580.9,100,6.378526
-686.5,100,6.441531
-636.7,100,6.502343
-746.2,100,6.565939
-541.7,100,6.628802
-789.4,100,6.686106
-784.4,100,6.746607
-628.9,100,6.808319
-769.6,100,6.866011
-621.8,100,6.927182
-775.7,100,6.986565
-422.6,100,7.050302
-524.4,100,7.108457
-746.9,100,7.169861
-651.8,100,7.231259
-813.9,100,7.290292
-639.1,100,7.349777
-712.6,100,7.412819
-600.9,100,7.473677
-737.2,100,8.130034
-707.4,100,8.191182
-961.5,100,8.250801
-450.0,100,8.312346
-730.6,100,8.372957
-804.5,100,8.435761
-796.4,100,8.494734
-658.2,100,8.552569
-676.2,100,8.62349
-468.1,100,8.686631
-723.3,100,8.745568
-670.1,100,8.807097
-847.0,100,8.868534
-840.8,100,8.928803
-696.0,100,8.989704
-814.2,100,9.049964
-829.3,100,9.108837
-884.3,100,9.165693
-598.6,100,9.226455
-774.8,100,9.288108
-722.5,100,9.347715
-594.4,100,9.964992
-709.8,100,10.025737
-672.1,100,10.086389
-761.5,100,10.145787
-665.3,100,10.210189
-739.9,100,10.271992
-700.7,100,10.33058
-684.9,100,10.39134
-649.0,100,10.45457
-605.6,100,10.515269
-525.4,100,10.574908
-827.6,100,10.634712
-861.0,100,10.694282
-825.7,100,10.752879
-752.5,100,10.815614
-512.1,100,10.879098
-605.8,100,10.941315
-720.2,100,11.002042
-415.5,100,11.066997
-566.6,100,11.128393
-790.6,100,11.770281
-361.1,100,11.833649
-631.6,100,11.893681
-611.1,100,11.95657
-621.8,100,12.020198
-587.1,100,12.083188
-676.0,100,12.142055
-674.5,100,12.202535
-366.1,100,12.2679
-867.7,100,12.3267
-649.4,100,12.384939
-465.2,100,12.450058
-639.9,100,12.512519
-620.0,100,12.57247
-557.1,100,12.632528
-631.2,100,12.695373
-572.2,100,12.755428
-670.1,100,12.813723
-369.3,100,12.877579
-722.3,100,12.94133
-553.2,100,13.001714
-780.9,100,13.672303
-663.3,100,13.733447
-514.8,100,13.794866
-649.7,100,13.856029
-698.6,100,13.918677
-782.3,100,13.981735
-523.1,100,14.041458
-698.7,100,14.104215
-920.8,100,14.165001
-525.6,100,14.223916
-663.5,100,14.283338
-717.2,100,14.355941
-654.4,100,14.414906
-673.4,100,14.477782
-804.9,100,14.539204
-652.2,100,14.600522
-629.6,100,14.660866
-594.9,100,14.720134
-559.8,100,14.787138
-677.2,100,14.850806
-598.8,100,15.67147
-632.3,100,15.736013
-648.7,100,15.798621
-528.1,100,15.860413
-671.9,100,15.923389
-807.0,100,15.985118
-712.7,100,16.044494
-556.9,100,16.10448
-486.1,100,16.16797
-658.9,100,16.228084
-540.6,100,16.288283
-633.0,100,16.351048
-674.2,100,16.413917
-632.2,100,16.475188
