#{"t_start": 1737106724.9083571, "env_id": "None"}
r,l,t
-780.1,100,0.675443
-790.9,100,0.751194
-508.0,100,0.836198
-885.4,100,0.901765
-769.3,100,0.962741
-382.9,100,1.021706
-585.8,100,1.082409
-810.5,100,1.138579
-865.1,100,1.194691
-920.1,100,1.253531
-647.0,100,1.310367
-907.0,100,1.380655
-629.9,100,1.437823
-513.2,100,1.495438
-560.2,100,1.554075
-695.7,100,1.611643
-840.5,100,1.667213
-909.6,100,1.723621
-793.0,100,1.780722
-537.6,100,1.838029
-503.5,100,2.490764
-769.2,100,2.551014
-889.8,100,2.609823
-647.2,100,2.668706
-592.8,100,2.728793
-855.5,100,2.786116
-624.5,100,2.84349
-871.3,100,2.898718
-739.3,100,2.954952
-810.8,100,3.01134
-779.5,100,3.068721
-580.2,100,3.127635
-779.7,100,3.187334
-766.3,100,3.248844
-676.1,100,3.308082
-316.5,100,3.367231
-684.4,100,3.424787
-736.5,100,3.481667
-740.0,100,3.538201
-951.7,100,3.595606
-541.7,100,4.241577
-745.5,100,4.302753
-603.7,100,4.363695
-816.6,100,4.423073
-748.9,100,4.480952
-887.6,100,4.537188
-766.8,100,4.595989
-631.8,100,4.653774
-786.6,100,4.712009
-884.9,100,4.770591
-939.8,100,4.827434
-874.0,100,4.883724
-894.2,100,4.939489
-558.1,100,4.997893
-789.0,100,5.057168
-787.9,100,5.116032
-745.0,100,5.174823
-481.5,100,5.235271
-761.5,100,5.293362
-674.0,100,5.351093
-598.2,100,5.408776
-768.5,100,6.041536
-809.0,100,6.101617
-824.2,100,6.161198
-827.5,100,6.220944
-821.1,100,6.279621
-598.1,100,6.339688
-680.9,100,6.396106
-776.8,100,6.452632
-483.0,100,6.511983
-919.0,100,6.568333
-604.5,100,6.627833
-574.6,100,6.686088
-718.8,100,6.745799
-683.7,100,6.805691
-860.0,100,6.865154
-817.4,100,6.924157
-819.0,100,6.981452
-827.3,100,7.037164
-667.8,100,7.095898
-688.3,100,7.15392
-917.6,100,7.791331
-698.6,100,7.851422
-384.8,100,7.913385
-622.5,100,7.973417
-706.1,100,8.031132
-694.6,100,8.088055
-758.6,100,8.148225
-725.8,100,8.205424
-881.7,100,8.265364
-775.1,100,8.323639
-626.4,100,8.380941
-795.2,100,8.438546
-698.3,100,8.495918
-792.2,100,8.552895
-692.8,100,8.613886
-726.6,100,8.673403
-756.5,100,8.734731
