#{"t_start": 1737036483.4738529, "env_id": "None"}
r,l,t
-714.0,100,0.644601
-770.4,100,0.722509
-840.9,100,0.793768
-370.0,100,0.857858
-935.6,100,0.913455
-642.8,100,0.970039
-831.9,100,1.024334
-841.4,100,1.078691
-804.3,100,1.132516
-731.4,100,1.186344
-600.8,100,1.241036
-768.6,100,1.296851
-703.5,100,1.352138
-936.0,100,1.406997
-509.9,100,1.462855
-878.1,100,1.516653
-836.7,100,1.570985
-779.6,100,1.624807
-931.3,100,1.677915
-791.6,100,1.731503
-681.6,100,2.457571
-576.8,100,2.515098
-599.7,100,2.571918
-716.5,100,2.627803
-856.2,100,2.680924
-573.4,100,2.736463
-697.1,100,2.793333
-638.8,100,2.848935
-811.7,100,2.905957
-644.6,100,2.961612
-908.1,100,3.015472
-794.5,100,3.071806
-555.5,100,3.132019
-799.1,100,3.188328
-840.3,100,3.242187
-868.6,100,3.29653
-831.2,100,3.351939
-970.1,100,3.408239
-667.6,100,3.463481
-916.3,100,3.516294
-607.8,100,4.261801
-838.8,100,4.320362
-799.9,100,4.38093
-716.6,100,4.438597
-505.0,100,4.495856
-717.8,100,4.551267
-605.1,100,4.607266
-799.6,100,4.661151
-798.7,100,4.715378
-839.3,100,4.769969
-608.2,100,4.827407
-892.9,100,4.884048
-536.8,100,4.942908
-881.7,100,5.000715
-729.5,100,5.059093
-764.5,100,5.114355
-744.7,100,5.169996
-500.5,100,5.225662
-591.0,100,5.281944
-957.2,100,5.336482
-733.4,100,5.393312
-657.6,100,6.042239
-602.2,100,6.101245
-624.4,100,6.159082
-700.1,100,6.215999
-788.7,100,6.271664
-855.6,100,6.32852
-681.2,100,6.386511
-758.3,100,6.443303
-774.6,100,6.499242
-776.0,100,6.554413
-685.7,100,6.610316
-772.8,100,6.664992
-657.7,100,6.721656
-736.5,100,6.779136
-690.9,100,6.837927
-749.9,100,6.897733
-556.5,100,6.954099
-642.8,100,7.010217
-474.6,100,7.066439
-769.0,100,7.12019
-612.5,100,7.699884
-570.3,100,7.758903
-700.2,100,7.817957
-504.4,100,7.879104
-788.8,100,7.935761
-588.9,100,7.993359
-466.3,100,8.050408
-873.4,100,8.104652
-668.6,100,8.159971
-744.4,100,8.214761
-588.8,100,8.27071
-808.5,100,8.327494
-353.5,100,8.386799
-606.2,100,8.443712
-685.3,100,8.4988
-634.3,100,8.557712
-436.4,100,8.618073
-611.3,100,8.676666
-660.0,100,8.731133
-583.1,100,8.792441
-610.1,100,8.850725
