env_steps,return,length,FPS,time
0,-680.0,100,0.0,0.1717
100,-840.0,100,14.2022,7.0412
200,-710.0,100,14.1126,7.0859
300,-726.0,100,13.3947,7.4656
400,-425.0,73,14.6564,6.823
473,-790.0,100,14.4721,5.0442
573,-275.0,49,14.2166,7.034
622,-850.0,100,13.6632,3.5863
722,-800.0,100,13.9379,7.1747
822,-670.0,100,14.419,6.9353
922,-640.0,100,14.2523,7.0164
1022,-906.0,100,0.0,0.0394
1122,-910.0,100,14.1967,7.0439
1222,-610.0,100,14.2351,7.0249
1322,-870.0,100,14.025,7.1301
1422,-940.0,100,14.0701,7.1073
1522,-710.0,100,13.969,7.1587
1622,-750.0,100,14.0438,7.1206
