env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,19.8503,-11.8205,-11.7517,-0.3944,3.97,1.0,0.2753,0.163,0.0007,0.0
200,4673.214,-218.9452,-218.6737,0.7068,3.9701,1.0,590.6139,1025.7539,0.012,0.0001
300,1517.8502,-391.0171,-390.6583,-1.5339,3.9689,1.0,154.1763,327.7824,0.006,0.0001
400,311.4113,-294.3477,-293.9556,-1.1549,3.9697,1.0,32.4145,75.4125,0.0026,0.0001
500,338.2955,-371.8985,-372.2999,-1.4538,3.9699,1.0,79.9875,199.4092,0.0033,0.0001
600,441.182,-402.4057,-404.2727,-1.9444,3.97,1.0,170.2521,413.8425,0.0049,0.0003
700,350.6656,-383.413,-387.6706,-2.4096,3.9701,1.0,237.6593,710.7743,0.0049,0.0001
800,472.5552,-480.3375,-480.3704,-3.4906,3.9701,1.0,190.352,551.1692,0.0054,0.0
900,366.3173,-525.9747,-525.8127,-4.3024,3.97,1.0,322.4677,838.3844,0.0099,0.0001
1000,240.9743,-534.7179,-536.3465,-5.0754,3.9697,1.0,33.6179,96.5715,0.009,0.0001
1100,293.2081,-601.1525,-602.0232,-6.0638,3.97,1.0,465.4946,1408.3099,0.0138,0.0005
1200,320.0602,-686.7706,-686.7798,-7.5391,3.9701,1.0,508.4041,1531.0188,0.0119,0.0002
1300,262.5067,-722.1094,-722.3949,-8.5186,3.9701,1.0,180.5553,539.8534,0.011,0.0003
1400,360.7742,-825.8356,-826.2582,-10.156,3.9702,1.0,540.6364,1343.3181,0.0127,0.0001
1500,420.4859,-917.3235,-917.5421,-11.7169,3.9703,1.0,1022.6992,3406.419,0.0146,0.0001
1600,703.4489,-964.4742,-964.1196,-12.9417,3.9703,1.0,510.9907,1376.6138,0.017,0.0
1700,539.1162,-1052.9277,-1052.9442,-14.4244,3.9702,1.0,665.8591,2217.9905,0.018,0.0
1800,552.3921,-1153.8406,-1153.8937,-16.1434,3.9702,1.0,2023.3807,6820.0852,0.0191,0.0
1900,512.5145,-1166.1757,-1166.0733,-16.682,3.9702,1.0,4412.0718,14683.917,0.0193,0.0
2000,629.5759,-1278.473,-1278.4958,-18.5115,3.9702,1.0,1726.1041,4746.2694,0.0168,0.0
2100,629.7339,-1355.8507,-1355.8277,-19.9098,3.9702,1.0,2800.0579,9510.7238,0.022,0.0
2200,629.2635,-1362.9767,-1362.9803,-20.2969,3.9702,1.0,2179.0181,6686.3899,0.0219,0.0
2300,737.9338,-1492.4209,-1492.423,-22.4377,3.9703,1.0,7397.0897,24269.376,0.0248,0.0
2400,789.8569,-1590.1661,-1590.0069,-24.1825,3.9702,1.0,29077.5545,95873.7129,0.029,0.0
2500,769.4837,-1578.8499,-1578.8602,-24.3426,3.9703,1.0,2295.5244,7812.182,0.0341,0.0
2600,660.5652,-1716.0127,-1715.9158,-26.6131,3.9702,1.0,4731.6603,14754.3311,0.0275,0.0
2700,797.0886,-1760.2565,-1759.9832,-27.4999,3.9702,1.0,11153.3152,35407.085,0.0352,0.0
2800,637.3659,-1756.3622,-1756.1835,-27.7095,3.9702,1.0,2212.5567,6751.6582,0.0345,0.0
2900,763.6706,-1838.5706,-1838.4419,-29.1557,3.9702,1.0,18840.7336,64501.1816,0.0356,0.0
3000,879.2533,-1957.637,-1957.5531,-31.2258,3.9702,1.0,2158.7307,5756.3687,0.035,0.0
3100,724.3758,-1987.4341,-1987.3407,-31.9178,3.9702,1.0,2558.7774,8955.3171,0.039,0.0
3200,843.259,-2041.1877,-2041.0545,-32.9297,3.9703,1.0,14719.0746,50308.208,0.0352,0.0
3300,995.4659,-2148.8661,-2148.7879,-34.8001,3.9702,1.0,17460.0389,59311.5107,0.0451,0.0
3400,1009.0749,-2195.6335,-2195.5307,-35.807,3.9702,1.0,10938.879,38481.772,0.0402,0.0
3500,1096.9829,-2313.7157,-2313.7043,-37.8671,3.9702,1.0,8970.0094,28091.4897,0.052,0.0
3600,1325.0378,-2428.2051,-2428.1159,-39.8529,3.9702,1.0,23796.7253,77180.4404,0.0569,0.0
3700,1308.921,-2424.3391,-2424.2875,-40.052,3.9702,1.0,14705.6549,47351.7314,0.0527,0.0
3800,1267.7748,-2498.8192,-2498.6642,-41.4154,3.9702,1.0,6224.776,19823.1094,0.0559,0.0
