env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
10900,286.1573,1626.778,1626.7756,-2000.5856,2.7725,134.4551,2311.5359,3128.5885,0.0051,0.0004
11000,309.3087,1722.8661,1722.8645,-2116.6184,2.7725,141.6259,1197.6117,1630.3549,0.0066,0.0004
11100,342.0324,1823.6715,1823.6698,-2238.4895,2.7725,149.1815,624.5507,749.874,0.0053,0.0009
11200,332.8232,1929.5569,1929.5554,-2366.4824,2.7725,157.1409,1055.2436,1411.1663,0.0048,0.0005
11300,255.3068,2040.7514,2040.7505,-2501.1751,2.7725,165.528,696.2314,909.6328,0.0042,0.0002
11400,431.2822,2159.2331,2159.2314,-2644.2574,2.7725,174.363,2047.1995,2747.0606,0.0063,0.0006
11500,532.3107,2282.9262,2282.9259,-2793.604,2.7725,183.6723,2781.2306,3398.9446,0.0076,0.0015
11600,495.4747,2413.4633,2413.4631,-2951.8032,2.7725,193.4804,1861.3028,2284.137,0.0086,0.0005
11700,780.2264,2551.6747,2551.6723,-3118.549,2.7725,203.8123,2101.2324,2857.2927,0.008,0.0004
11800,439.1419,2696.4675,2696.4709,-3293.8633,2.7725,214.6996,4046.7806,5651.2169,0.0057,0.0005
11900,460.5806,2848.969,2848.9671,-3478.1112,2.7725,226.1699,2643.499,3402.3583,0.0073,0.0005
12000,831.1324,3012.5818,3012.5829,-3675.3794,2.7725,238.2531,4701.4778,6545.9288,0.0084,0.0004
12100,1013.2406,3182.4069,3182.4049,-3880.7596,2.7726,250.9841,2377.9126,3169.2405,0.0082,0.0004
12200,631.8136,3360.4209,3360.4249,-4096.1046,2.7726,264.3992,1950.7237,2603.7625,0.0083,0.0004
12300,1912.4499,3548.8601,3548.8597,-4323.6937,2.7726,278.5314,8257.976,10897.6309,0.0137,0.0004
12400,1156.3275,3749.8199,3749.823,-4566.3375,2.7726,293.4189,7007.6415,9788.6924,0.0087,0.0003
12500,557.8162,3961.2382,3961.2365,-4821.4124,2.7726,309.1047,1417.5531,1734.9977,0.0053,0.0002
12600,627.0811,4182.6152,4182.6158,-5088.8525,2.7726,325.634,4770.5748,6493.5857,0.0076,0.0005
12700,1704.326,4416.6744,4416.6791,-5370.9469,2.7726,343.0473,8626.1938,11030.3714,0.0109,0.0006
12800,1445.7624,4662.6672,4662.671,-5668.4904,2.7726,361.3919,4174.0317,5706.7169,0.0071,0.0004
12900,1298.0088,4923.6618,4923.6641,-5983.0409,2.7726,380.7174,5483.7714,7733.4464,0.0068,0.0002
13000,1771.6482,5198.5664,5198.5688,-6314.8564,2.7726,401.0784,10204.2839,13621.0961,0.0152,0.0003
13100,1657.2476,5487.3485,5487.3592,-6663.1689,2.7726,422.5357,5520.1532,7198.4156,0.0117,0.0007
13200,2918.443,5791.5689,5791.5714,-7030.3143,2.7726,445.1415,7366.4707,9915.3834,0.0175,0.0002
13300,2774.3225,6112.6234,6112.6342,-7417.9543,2.7726,468.9567,12228.549,14465.6097,0.0191,0.0004
13400,2330.3821,6453.0288,6453.0318,-7827.8663,2.7726,494.0461,8784.091,11762.2192,0.012,0.001
13500,1898.4357,6808.7342,6808.7427,-8257.1173,2.7726,520.4777,16495.8067,22765.1098,0.0129,0.0006
13600,6125.5981,7184.7364,7184.7483,-8710.7677,2.7726,548.3234,11499.5881,14549.8418,0.0168,0.0003
13700,4106.5265,7582.9454,7582.9577,-9190.5377,2.7726,577.6611,21458.7412,27751.167,0.0194,0.0008
13800,3962.3989,8000.8251,8000.8301,-9694.5236,2.7726,608.5792,17971.0886,23270.6036,0.0197,0.0003
13900,5853.1047,8441.1245,8441.1399,-10225.7357,2.7726,641.1537,24323.4007,32466.246,0.0271,0.0002
14000,6047.8897,8906.8966,8906.9107,-10786.9025,2.7726,675.4718,30388.2256,41955.838,0.0132,0.0003
14100,3190.1484,9394.9235,9394.9359,-11375.6043,2.7726,711.6267,18657.6499,25823.4328,0.0156,0.0004
14200,5835.117,9911.3752,9911.3846,-11998.1075,2.7726,749.7169,36655.1774,51741.6551,0.0196,0.0002
14300,8636.6501,10457.0524,10457.075,-12655.2505,2.7726,789.8458,46432.4228,63243.1249,0.0242,0.0004
14400,8177.8336,11027.8042,11027.8161,-13343.7168,2.7726,832.1227,36199.7459,46842.2539,0.0279,0.0003
14500,7871.9595,11634.7808,11634.7939,-14075.3157,2.7726,876.6625,25558.6863,35582.9714,0.0185,0.0002
14600,14379.0289,12272.314,12272.3336,-14842.5841,2.7726,923.5863,29811.8208,39305.8111,0.0176,0.0002
14700,9987.9684,12944.2184,12944.2335,-15652.1733,2.7726,973.0217,30400.5016,41707.9377,0.0234,0.0004
14800,23181.937,13649.3775,13649.3903,-16502.6215,2.7726,1025.1033,49024.2605,67020.6372,0.0287,0.0003
14900,11946.7478,14393.8011,14393.8256,-17400.0364,2.7726,1079.9886,48205.5806,63384.2594,0.0257,0.0002
15000,9010.4984,15180.9409,15180.9626,-18348.0766,2.7726,1137.8227,101768.091,147236.5689,0.0205,0.0003
15100,19932.5305,16007.3767,16007.4103,-19343.9766,2.7726,1198.7537,44500.2993,59138.9422,0.0295,0.0004
15200,12236.536,16878.5993,16878.6217,-20394.1787,2.7726,1262.9477,51161.1046,69943.9628,0.0271,0.0002
15300,16741.6856,17792.6973,17792.7312,-21496.0944,2.7726,1330.5794,63239.9088,88486.7221,0.0373,0.0006
15400,17025.4049,18765.1916,18765.2268,-22666.7944,2.7726,1401.8327,76615.1132,101264.0163,0.0301,0.0002
15500,27373.4341,19784.9668,19785.0135,-23896.1572,2.7726,1476.9017,130621.4492,184226.7727,0.0316,0.0002
15600,19691.3747,20857.8207,20857.8725,-25188.5359,2.7726,1555.9906,51580.0339,68942.5024,0.0519,0.0002
15700,25463.8334,21988.1081,21988.1387,-26551.2693,2.7726,1639.3148,100120.3748,139999.1659,0.0351,0.0002
15800,34168.9625,23181.9289,23181.9707,-27989.2164,2.7726,1727.1011,150410.8644,204866.5524,0.0458,0.0007
15900,40033.7865,24434.4479,24434.5248,-29497.959,2.7726,1819.5884,183076.6519,256029.8389,0.0552,0.0002
16000,34742.5381,25753.4057,25753.441,-31089.9116,2.7726,1917.0285,63446.0035,81774.7924,0.0354,0.0001
16100,47289.234,27153.9184,27153.9707,-32776.1709,2.7726,2019.6865,255256.0352,363680.2638,0.0532,0.0004
16200,46178.055,28618.3092,28618.38,-34540.927,2.7726,2127.842,137866.5293,180182.5521,0.0371,0.0001
16300,70209.0064,30162.4108,30162.4572,-36402.4289,2.7726,2241.7892,82792.2668,103938.6807,0.0411,0.0003
16400,39590.0025,31799.7548,31799.8148,-38373.9618,2.7726,2361.8383,183752.8916,250687.9334,0.0347,0.0008
16500,49266.0979,33514.4916,33514.5849,-40440.3468,2.7726,2488.3162,211722.1269,308923.6317,0.0327,0.0003
16600,121804.3305,35325.2232,35325.2363,-42621.2649,2.7726,2621.5671,233626.7943,312554.3267,0.0691,0.0003
16700,114620.643,37225.8226,37225.9785,-44914.9613,2.7726,2761.9535,234960.2773,317248.4114,0.0454,0.0002
16800,102624.6623,39231.4959,39231.5587,-47329.412,2.7726,2909.8579,428111.8879,585539.9429,0.053,0.0003
16900,64448.4117,41352.0702,41352.189,-49885.8163,2.7726,3065.6825,183865.803,255386.8523,0.0371,0.0002
17000,80405.9994,43582.0738,43582.1382,-52571.7499,2.7726,3229.8517,301310.461,429412.1179,0.0582,0.0002
17100,62276.8909,45937.7631,45937.9189,-55409.8805,2.7726,3402.8121,1106070.1886,1646606.6677,0.0508,0.0003
17200,129027.2308,48423.5877,48423.7234,-58402.4398,2.7726,3585.0348,1004417.3514,1454579.2064,0.073,0.0002
17300,196249.4234,51028.6822,51028.7884,-61541.5404,2.7726,3777.0155,355625.333,468776.2363,0.0943,0.0003
17400,158955.2869,53770.762,53770.6415,-64846.4498,2.7726,3979.277,556377.1986,802397.1711,0.0612,0.0001
17500,106061.962,56659.1306,56658.9832,-68328.4189,2.7726,4192.3696,875236.0898,1271522.0367,0.0487,0.0001
17600,140512.9736,59713.5356,59713.4447,-72007.3441,2.7726,4416.8736,499965.7814,716505.4998,0.0811,0.0001
