env_steps,return,restorations,length,FPS,time
14500,-838.0,67,100,42.4644,2.3549
14600,-854.0,66,100,44.3848,2.253
14700,-887.0,67,100,42.9406,2.3288
14800,-906.0,64,100,43.2863,2.3102
14900,-861.0,66,100,43.6036,2.2934
15000,-929.0,72,100,45.2648,2.2092
15100,-992.0,67,100,40.6626,2.4593
15200,-903.0,66,100,41.0166,2.438
15300,-930.0,65,100,40.2671,2.4834
15400,-825.0,66,100,43.2279,2.3133
15500,-906.0,62,100,41.3729,2.417
15600,-924.0,65,100,38.3259,2.6092
15700,-831.0,65,100,40.5888,2.4637
15800,-866.0,64,100,46.2292,2.1631
15900,-789.0,66,100,45.2482,2.21
16000,-849.0,66,100,42.1884,2.3703
16100,-883.0,63,100,44.9237,2.226
16200,-858.0,67,100,44.1556,2.2647
16300,-860.0,66,100,43.7397,2.2863
16400,-954.0,68,100,43.1605,2.3169
16500,-886.0,66,100,44.0921,2.268
16600,-953.0,66,100,42.25,2.3669
16700,-872.0,64,100,43.7608,2.2852
16800,-885.0,64,100,45.4295,2.2012
16900,-956.0,67,100,45.1615,2.2143
17000,-875.0,68,100,44.6903,2.2376
17100,-875.0,70,100,41.954,2.3836
17200,-954.0,68,100,44.5744,2.2434
17300,-848.0,66,100,43.1175,2.3192
17400,-979.0,64,100,40.2791,2.4827
17500,-779.0,66,100,39.8265,2.5109
17600,-1011.0,68,100,39.1089,2.557
