env_steps,return,restorations,infiltrations,length,FPS,time
107200,-68.6,65,406,100,34.5235,2.8966
107300,-75.6,65,446,100,35.2369,2.8379
107400,-73.9,65,429,100,35.0112,2.8562
107500,-65.3,64,378,100,34.5982,2.8903
107600,-89.1,65,541,100,34.5623,2.8933
107700,-70.6,64,431,100,35.4408,2.8216
107800,-70.8,64,428,100,33.9559,2.945
107900,-72.1,69,326,100,7.3548,13.5965
108000,-81.4,70,429,100,17.1721,5.8234
108100,-69.5,68,345,100,31.3267,3.1922
108200,-84.2,65,492,100,35.5481,2.8131
108300,-61.3,61,403,100,33.1603,3.0157
108400,-71.4,71,369,100,33.7899,2.9595
108500,-81.1,71,436,100,35.5922,2.8096
108600,-84.3,66,513,100,31.3879,3.1859
108700,-71.0,66,345,100,35.012,2.8562
108800,-74.1,69,401,100,34.1969,2.9242
108900,-61.7,70,287,100,33.9965,2.9415
109000,-58.9,62,349,100,35.2715,2.8352
109100,-80.2,68,442,100,34.2476,2.9199
109200,-87.5,68,495,100,35.4951,2.8173
109300,-63.1,67,351,100,31.7943,3.1452
109400,-53.6,63,351,100,34.2899,2.9163
109500,-89.3,67,513,100,33.4522,2.9893
109600,-78.1,69,386,100,33.9648,2.9442
109700,-75.9,70,399,100,34.8966,2.8656
109800,-76.5,66,410,100,33.514,2.9838
109900,-81.4,70,454,100,35.6666,2.8037
110000,-72.2,62,442,100,0.0,0.177
110100,-86.2,68,497,100,34.6159,2.8889
110200,-86.1,67,516,100,25.0571,3.9909
