env_steps,critic_loss,q1
1000,0.6433,-1.5654
1100,0.6531,-2.8758
1200,0.6593,-3.1114
1300,0.6809,-3.3066
1400,0.7013,-3.5336
1500,0.6835,-3.7407
1600,0.6939,-3.9419
1700,0.7558,-4.1031
1800,0.7346,-4.3256
1900,0.7841,-4.4502
2000,0.7617,-4.6605
2100,0.8448,-4.8111
2200,0.799,-5.0011
2300,0.8324,-5.1314
2400,0.8338,-5.307
2500,0.8967,-5.4677
2600,0.8068,-5.6424
2700,0.904,-5.7927
2800,0.9132,-5.8964
2900,0.9162,-6.0667
3000,0.9094,-6.2038
3100,0.9488,-6.3214
3200,0.9162,-6.462
3300,0.9858,-6.5866
3400,0.9677,-6.7266
3500,0.9581,-6.8369
3600,0.8928,-6.9791
3700,1.0383,-7.099
3800,1.0513,-7.1656
3900,0.9661,-7.3299
4000,0.9942,-7.4398
4100,1.0578,-7.5399
4200,1.0917,-7.6502
4300,1.021,-7.7524
4400,0.9639,-7.8574
4500,1.1833,-7.8915
4600,1.0666,-8.0212
4700,1.2615,-8.0715
4800,1.1647,-8.1667
4900,1.1063,-8.2503
5000,1.2068,-8.3234
5100,1.2297,-8.4214
5200,1.2025,-8.5075
5300,1.116,-8.5734
5400,1.2207,-8.6517
5500,1.209,-8.7052
5600,1.1327,-8.8006
5700,1.313,-8.8241
5800,1.3144,-8.8677
5900,1.349,-8.949
6000,1.1826,-9.0396
6100,1.2648,-9.0994
6200,1.3588,-9.1413
6300,1.2322,-9.2049
6400,1.3478,-9.2555
6500,1.2597,-9.3055
6600,1.1983,-9.3975
6700,1.313,-9.4077
6800,1.2615,-9.4709
6900,1.2515,-9.5469
7000,1.4198,-9.572
7100,1.2614,-9.6334
7200,1.5741,-9.642
7300,1.6518,-9.6728
7400,1.3975,-9.7252
7500,1.3621,-9.7779
7600,1.4866,-9.7823
7700,1.4804,-9.8434
7800,1.32,-9.8856
7900,1.4474,-9.9196
8000,1.4602,-9.9497
8100,1.3569,-10.0058
8200,1.4452,-10.0456
8300,1.5074,-10.0724
8400,1.4429,-10.1039
8500,1.4423,-10.1272
8600,1.5728,-10.1496
8700,1.6772,-10.1521
8800,1.6563,-10.1913
8900,1.5687,-10.1956
9000,1.5299,-10.2279
9100,1.6281,-10.239
9200,1.5294,-10.2748
9300,1.3766,-10.3386
9400,1.5241,-10.3494
9500,1.575,-10.3772
9600,1.7219,-10.3676
9700,1.268,-10.4279
9800,1.3521,-10.4525
9900,1.4925,-10.4697
10000,1.6006,-10.4626
10100,1.441,-10.4989
10200,1.5746,-10.5309
10300,1.5495,-10.533
10400,1.5217,-10.5646
10500,1.7368,-10.5521
10600,1.5895,-10.5821
10700,1.581,-10.5918
10800,1.5596,-10.6006
10900,1.5081,-10.6468
11000,1.4791,-10.6579
11100,1.8291,-10.6233
11200,1.6932,-10.65
11300,1.6376,-10.6636
11400,1.6927,-10.6708
11500,1.548,-10.6996
11600,1.4792,-10.7304
11700,1.4724,-10.7569
11800,1.5845,-10.7571
11900,1.8077,-10.7416
12000,1.6688,-10.7684
12100,1.6295,-10.7807
12200,1.6002,-10.8046
12300,1.6775,-10.8096
12400,1.6103,-10.8231
12500,1.568,-10.8288
12600,1.6866,-10.8463
12700,1.5772,-10.8665
12800,1.5064,-10.8822
12900,1.8444,-10.8582
13000,1.7547,-10.883
13100,1.8716,-10.8537
13200,1.5626,-10.8992
13300,1.6347,-10.9257
13400,1.5395,-10.928
13500,1.7533,-10.9265
13600,1.6529,-10.94
13700,1.9813,-10.8866
13800,1.7031,-10.9116
13900,1.7215,-10.9273
14000,1.5109,-10.9366
14100,1.6748,-10.9277
14200,1.6365,-10.9262
14300,1.8224,-10.9201
14400,1.5032,-10.9628
14500,1.5719,-10.9785
14600,1.5232,-10.9868
14700,1.5501,-10.9885
14800,1.8444,-10.9686
14900,1.8197,-10.9708
15000,1.4493,-11.0078
15100,1.7513,-10.9864
15200,1.7994,-10.9986
15300,1.7226,-10.9639
15400,1.743,-10.9803
15500,1.5287,-11.0119
15600,1.679,-11.0182
15700,1.6446,-11.0242
15800,1.7595,-10.998
15900,1.6184,-11.0382
16000,1.5307,-11.0289
16100,1.6932,-11.0302
