env_steps,critic_loss,q1
1000,44.4466,-32.6293
1100,56.1015,-64.3459
1200,62.1805,-68.5643
1300,70.4722,-72.4908
1400,72.6712,-75.908
1500,72.7249,-79.6573
1600,77.6942,-83.0254
1700,87.005,-86.1818
1800,91.0974,-88.891
1900,106.5796,-91.2885
2000,87.1607,-94.6884
2100,98.6519,-96.6195
2200,120.892,-98.1557
2300,107.9668,-99.5676
2400,129.1029,-100.6165
2500,134.4359,-101.433
2600,128.026,-103.1205
2700,123.1727,-103.9401
2800,133.524,-105.1065
2900,143.5628,-105.8848
3000,104.3832,-107.581
3100,129.9997,-108.2434
3200,162.6682,-108.5768
3300,127.6656,-109.7806
3400,127.3967,-110.3984
3500,134.5763,-111.161
3600,147.5905,-111.6659
3700,142.328,-112.0747
3800,138.8967,-113.088
3900,132.1498,-112.8923
4000,155.7048,-113.0801
4100,139.8378,-113.1106
4200,138.645,-113.7698
4300,132.4336,-114.7036
4400,121.1809,-115.1562
4500,147.2947,-115.4314
4600,112.9297,-116.4706
4700,148.1111,-116.9199
4800,158.4125,-117.2371
4900,134.1039,-117.4586
5000,130.7922,-117.9579
5100,136.4791,-117.8784
5200,160.8398,-117.8542
5300,146.0698,-118.0599
5400,121.2886,-118.3327
5500,127.4407,-118.7363
5600,127.4982,-119.097
5700,144.799,-119.3507
5800,144.5959,-119.4915
5900,115.6006,-120.0668
6000,151.7151,-120.1143
6100,170.4392,-119.6207
6200,144.4133,-119.9991
6300,137.8428,-120.2802
6400,150.311,-120.7881
6500,167.8242,-120.4505
6600,138.6413,-120.7896
6700,153.7989,-120.7213
6800,147.5807,-120.6355
6900,134.894,-120.8221
7000,132.9804,-120.936
7100,148.2015,-120.7698
7200,185.7913,-120.3247
7300,134.0951,-120.6146
7400,141.9764,-121.019
7500,126.0794,-121.1752
7600,169.2202,-120.4091
7700,147.6137,-120.5508
7800,161.9612,-120.5354
7900,143.2954,-120.3353
8000,151.4497,-120.9008
8100,131.9057,-121.3227
8200,140.0642,-121.5715
8300,177.5429,-120.818
8400,157.9352,-121.3739
8500,172.2286,-120.6826
8600,156.0203,-121.0612
8700,142.4508,-121.2643
8800,143.9531,-121.4181
8900,171.2561,-121.2206
9000,160.5045,-121.28
9100,136.3622,-121.6086
9200,168.9466,-121.4119
9300,178.1077,-121.7406
9400,138.6332,-121.9445
9500,160.5755,-121.816
9600,177.5423,-121.7101
9700,158.5454,-121.7249
9800,142.985,-121.9606
9900,151.7859,-122.2306
10000,154.7228,-122.3065
10100,138.4737,-122.6306
10200,152.0221,-123.0334
10300,166.0855,-122.8529
10400,147.234,-123.1371
10500,159.5581,-123.6303
10600,155.2169,-123.8362
10700,156.4218,-123.9937
10800,158.1242,-124.0877
10900,192.7642,-124.2385
11000,151.907,-124.4083
11100,180.4028,-124.6431
11200,158.1799,-124.4961
11300,170.0348,-124.4833
11400,176.6436,-124.7127
11500,176.2419,-124.9974
11600,176.8109,-125.2206
11700,160.6665,-125.4484
11800,171.1379,-125.6785
11900,152.5383,-126.0737
12000,169.3722,-126.1213
12100,160.7765,-126.2734
12200,161.8112,-126.3024
12300,168.3951,-126.4404
12400,165.1726,-126.0879
12500,147.5283,-126.4626
12600,146.2284,-126.7919
12700,157.2317,-126.5981
12800,149.738,-126.881
12900,165.8029,-126.8013
13000,191.8597,-126.5114
13100,156.5514,-126.8138
13200,156.3067,-126.7877
13300,148.9041,-127.2599
13400,158.3548,-127.0317
13500,154.7126,-127.3435
13600,198.9482,-126.6951
13700,149.6018,-127.371
13800,171.457,-127.8323
13900,161.7612,-128.1032
14000,176.2883,-127.6245
14100,164.6542,-127.8659
14200,154.6056,-127.9658
14300,159.804,-128.6485
14400,193.5404,-127.6776
14500,161.9303,-128.1643
14600,143.1632,-128.443
14700,174.9008,-128.6304
14800,169.2312,-128.7593
14900,146.2867,-129.6749
15000,212.0588,-129.2048
15100,172.3313,-129.2946
15200,167.6178,-129.2503
15300,177.3942,-129.9073
15400,184.2654,-129.7421
15500,171.1777,-130.1574
15600,184.3068,-129.9651
15700,162.403,-130.1755
15800,167.5302,-130.3095
15900,165.9211,-130.5709
16000,155.4556,-130.8852
16100,166.2951,-131.0815
16200,175.0922,-131.2007
16300,163.0069,-131.7248
16400,152.1889,-131.7913
16500,172.6619,-131.6882
16600,184.8071,-131.6488
16700,173.7414,-131.7245
16800,188.4953,-131.6926
16900,195.8746,-132.2515
17000,207.2332,-131.578
17100,181.2725,-131.5547
17200,172.4547,-131.6732
17300,167.9054,-131.4721
17400,179.5135,-131.7682
17500,202.7868,-131.5283
17600,156.3255,-132.1629
17700,194.8214,-131.9583
17800,175.4595,-132.0157
17900,177.326,-132.0563
18000,231.619,-131.7228
18100,169.8462,-132.0142
18200,189.9869,-132.0944
18300,157.6686,-132.9503
18400,201.3211,-132.2441
18500,162.8047,-132.6898
18600,193.2005,-132.1268
18700,172.6027,-133.0452
18800,200.2371,-132.5956
18900,162.2343,-133.4183
19000,200.925,-133.0342
19100,160.3372,-133.7927
19200,216.2266,-133.4002
19300,174.41,-133.8565
19400,207.0426,-133.3691
19500,179.7987,-133.7576
19600,173.7065,-133.649
19700,165.5484,-133.6513
19800,231.8418,-132.7964
19900,193.1452,-133.1188
20000,191.7681,-133.2535
20100,163.4653,-133.3779
20200,177.226,-133.8786
20300,194.466,-133.8266
20400,180.204,-134.0159
20500,175.1262,-133.8482
