env_steps,return,length,FPS,time
0,42.0,10,0.0,0.5787
10,-672.0,100,6.5874,1.5181
110,-666.0,100,41.2298,2.4254
210,-558.0,100,40.1604,2.49
310,-616.0,100,41.0377,2.4368
410,-536.0,100,41.4642,2.4117
510,-592.0,100,41.8484,2.3896
610,-652.0,100,40.6723,2.4587
710,-782.0,100,41.0174,2.438
810,-542.0,100,41.6718,2.3997
910,-892.0,100,41.2977,2.4214
1010,-732.0,100,0.0,0.3967
1110,-762.0,100,41.1943,2.4275
1210,-798.0,100,41.1368,2.4309
1310,-792.0,100,41.0875,2.4338
1410,-738.0,100,41.2547,2.424
1510,-432.0,100,41.1076,2.4326
1610,-492.0,100,41.9137,2.3859
1710,-488.0,100,39.1217,2.5561
1810,-752.0,100,41.322,2.42
1910,-722.0,100,41.1536,2.4299
2010,-542.0,100,0.0,0.401
2110,-119.0,29,46.148,2.1669
2139,-38.0,16,41.5977,0.6972
2155,-699.0,91,22.4707,0.712
2246,-648.0,100,40.9181,2.224
2346,-876.0,100,40.6904,2.4576
2446,-137.0,39,44.665,2.2389
2485,49.0,7,45.2947,0.861
2492,23.0,15,28.1279,0.2489
2507,-175.0,37,30.9462,0.4847
2544,-424.0,72,33.9424,1.0901
2616,-292.0,82,39.6395,1.8164
2698,-46.0,26,45.5161,1.8016
2724,-472.0,100,26.8123,0.9697
2824,11.0,23,46.0092,2.1735
2847,-482.0,100,25.2409,0.9112
2947,-1022.0,100,40.698,2.4571
3047,-58.0,40,0.0,0.1785
3087,-352.0,100,32.9679,1.2133
3187,-352.0,100,40.9098,2.4444
3287,-199.0,35,45.7534,2.1856
3322,90.0,6,46.5787,0.7514
3328,43.0,15,31.7941,0.1887
3343,-388.0,100,20.3972,0.7354
3443,-328.0,100,41.1078,2.4326
3543,-328.0,100,39.2576,2.5473
3643,-595.0,97,39.4997,2.5317
3740,-302.0,100,40.8924,2.3721
3840,-322.0,100,41.0894,2.4337
3940,-53.0,21,46.7712,2.1381
3961,-160.0,36,31.9704,0.6569
3997,-262.0,100,31.8002,1.1321
4097,-348.0,100,0.0,0.4038
4197,-288.0,100,40.6613,2.4593
4297,-326.0,100,40.5622,2.4654
4397,-422.0,100,40.7954,2.4513
4497,-242.0,100,39.6619,2.5213
4597,-156.0,50,44.4813,2.2481
4647,-6.0,14,46.485,1.0756
4661,52.0,10,41.5654,0.3368
4671,-472.0,100,16.1819,0.618
4771,-262.0,100,41.3265,2.4198
4871,-260.0,68,43.1041,2.32
4939,-109.0,29,45.0784,1.5085
4968,-322.0,100,27.9401,1.0379
5068,-545.0,79,0.0,0.3391
5147,-39.0,23,45.4005,1.7401
5170,-222.0,100,24.4371,0.9412
5270,-374.0,84,42.0412,2.3786
5354,-178.0,100,39.8941,2.1056
5454,-268.0,100,40.9108,2.4443
5554,-172.0,100,40.7662,2.453
5654,-172.0,100,40.4393,2.4728
5754,-178.0,100,41.2101,2.4266
5854,-192.0,100,40.9369,2.4428
5954,-192.0,100,41.0459,2.4363
6054,-362.0,100,0.0,0.4084
6154,-178.0,100,39.7102,2.5182
6254,-312.0,100,41.3319,2.4194
6354,53.0,9,48.0172,2.0826
6363,-272.0,100,14.5619,0.6181
6463,-323.0,83,42.4607,2.3551
6546,-582.0,100,39.277,2.1132
6646,-333.0,65,43.0361,2.3236
6711,89.0,7,47.9525,1.3555
6718,-110.0,24,24.8664,0.2815
6742,78.0,8,43.0592,0.5574
6750,-29.0,17,30.2145,0.2648
6767,-361.0,99,20.9795,0.8103
6866,-468.0,100,40.4035,2.4503
6966,-602.0,100,40.2481,2.4846
7066,-298.0,100,0.0,0.4097
7166,9.0,25,46.405,2.1549
7191,-172.0,100,25.7988,0.969
7291,-452.0,100,40.5572,2.4657
7391,74.0,14,45.0799,2.2183
7405,-178.0,100,19.8157,0.7065
7505,-186.0,100,41.4229,2.4141
7605,-196.0,100,40.8607,2.4473
7705,-172.0,100,39.9436,2.5035
7805,-332.0,100,40.4122,2.4745
7905,-178.0,100,39.5189,2.5304
8005,-308.0,100,0.0,0.407
8105,-202.0,100,40.5555,2.4658
8205,-192.0,100,40.8634,2.4472
8305,-262.0,100,40.7503,2.454
8405,-242.0,100,40.0379,2.4976
8505,-172.0,100,41.041,2.4366
