env_steps,return,restorations,length,FPS,time
0,-550.0,46,100,0.0,0.9138
100,-600.0,51,100,39.1055,2.5572
200,-640.0,55,100,48.4579,2.0637
300,-560.0,46,100,48.3362,2.0688
400,-207.0,27,57,52.5433,1.9032
457,-149.0,22,49,48.7618,1.169
506,-770.0,67,100,38.3645,1.2772
606,-275.0,32,65,49.9709,2.0012
671,-311.0,37,61,45.041,1.4431
732,-232.0,29,52,46.8275,1.3027
784,-138.0,22,38,50.5246,1.0292
822,-660.0,57,100,36.2917,1.0471
922,-388.0,43,68,49.6026,2.016
990,-770.0,67,100,44.027,1.5445
1090,-530.0,43,100,0.0,0.3939
1190,-420.0,33,100,45.8243,2.1823
