env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm,return,success,length,FPS
110,0.1968,0.0584,0.0569,-0.5367,3.9106,0.1,0.09,0.0381,0.0357,0.0269,,,,
110,,,,,,,,,,,-0.83,0.0,11.0,93.001
121,0.0584,0.0715,0.0715,-0.7363,3.5868,0.1,0.096,0.042,0.0242,0.015,,,,
121,,,,,,,,,,,-0.79,0.0,11.0,60.7259
132,0.055,0.0614,0.062,-0.699,3.4588,0.1,0.0928,0.0345,0.0161,0.0066,,,,
132,,,,,,,,,,,-0.82,0.0,11.0,62.2404
143,0.0407,0.0567,0.0574,-0.6549,3.3387,0.1,0.1036,0.032,0.0106,0.0016,,,,
143,,,,,,,,,,,-0.73,0.0,11.0,61.1247
154,0.0363,0.0648,0.0651,-0.6142,3.203,0.1,0.1067,0.0265,0.0111,0.0029,,,,
154,,,,,,,,,,,-0.84,0.0,11.0,60.5293
165,0.035,0.0357,0.0359,-0.5815,3.0688,0.1,0.113,0.0247,0.0184,0.0061,,,,
165,,,,,,,,,,,-0.74,0.0,11.0,61.3515
176,0.0349,0.0515,0.0515,-0.5627,3.0117,0.1,0.1109,0.0221,0.0193,0.0064,,,,
176,,,,,,,,,,,0.0,0.0,11.0,63.2765
187,0.0357,0.0554,0.0553,-0.5581,3.0405,0.1,0.1103,0.021,0.0189,0.0052,,,,
187,,,,,,,,,,,0.0,0.0,11.0,58.4757
198,0.038,0.0429,0.0429,-0.5654,3.1106,0.1,0.1036,0.0215,0.0138,0.0029,,,,
198,,,,,,,,,,,-0.99,0.0,11.0,64.5668
209,0.0346,0.0744,0.0744,-0.5802,3.1525,0.1,0.1049,0.0203,0.0111,0.0022,,,,
209,,,,,,,,,,,-0.87,0.0,11.0,59.6588
220,0.034,0.0726,0.0728,-0.5955,3.1537,0.1,0.1033,0.0212,0.0115,0.0027,,,,
220,,,,,,,,,,,-0.83,0.0,11.0,60.7339
231,0.0383,0.1096,0.1099,-0.6069,3.1596,0.1,0.1013,0.021,0.0109,0.003,,,,
231,,,,,,,,,,,-0.83,0.0,11.0,56.8695
242,0.0355,0.1115,0.1119,-0.6128,3.1868,0.1,0.0946,0.0219,0.0119,0.0028,,,,
242,,,,,,,,,,,-1.1,0.0,11.0,63.5375
253,0.0378,0.1327,0.133,-0.6171,3.222,0.1,0.0927,0.0222,0.0104,0.0019,,,,
253,,,,,,,,,,,-0.77,0.0,11.0,58.8372
264,0.036,0.1543,0.1545,-0.621,3.2442,0.1,0.0925,0.0233,0.0086,0.0014,,,,
264,,,,,,,,,,,0.0,0.0,11.0,63.9773
275,0.0367,0.1407,0.1409,-0.6247,3.2531,0.1,0.093,0.0248,0.0074,0.0013,,,,
275,,,,,,,,,,,-0.71,0.0,11.0,60.2502
286,0.0391,0.1705,0.1707,-0.628,3.2597,0.1,0.09,0.0257,0.0067,0.0012,,,,
286,,,,,,,,,,,-0.95,0.0,11.0,62.3911
297,0.0364,0.1582,0.1583,-0.63,3.2708,0.1,0.0905,0.0289,0.0057,0.0009,,,,
297,,,,,,,,,,,0.0,0.0,11.0,60.492
