env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
20600,25163.5763,-11386.0853,-11386.4189,-207.6371,3.9698,1.0,129821.4695,408998.5312,0.2595,0.0
20700,25167.055,-11050.836,-11050.1979,-201.4473,3.9696,1.0,61126.6662,204144.9336,0.2289,0.0
20800,25445.4469,-11407.3709,-11407.9682,-207.9666,3.9697,1.0,81709.5338,299178.9258,0.1792,0.0
20900,26199.038,-11268.9808,-11268.8496,-205.4763,3.9696,1.0,46267.3499,114168.9727,0.2012,0.0
21000,33577.1038,-11401.9591,-11401.7163,-208.0337,3.9697,1.0,642340.9371,2218799.0,0.2883,0.0
21100,32735.0699,-11383.2112,-11383.8419,-207.6393,3.9696,1.0,104828.5719,353709.9141,0.2064,0.0
21200,27573.5557,-11708.6472,-11708.2521,-213.5511,3.9697,1.0,64926.1505,219315.1016,0.2596,0.0
21300,27536.3499,-11493.9008,-11494.1593,-209.6947,3.9695,1.0,70697.6933,265864.8438,0.2295,0.0
21400,27574.2001,-11722.4323,-11723.2601,-213.8173,3.9695,1.0,197118.0743,715824.0,0.2339,0.0
21500,35235.5137,-11514.416,-11513.9784,-210.2301,3.9697,1.0,275132.2583,810068.7188,0.2432,0.0
21600,33432.6281,-11655.94,-11656.2318,-212.6392,3.9695,1.0,208620.5036,707747.5547,0.2457,0.0
21700,30115.3809,-11765.0955,-11765.7202,-214.6944,3.9695,1.0,147474.2735,564284.8828,0.2455,0.0
21800,29905.8426,-11697.7348,-11697.8681,-213.5055,3.9697,1.0,115555.8323,405601.6094,0.2477,0.0
21900,30367.9464,-11812.5486,-11813.1438,-215.5783,3.9696,1.0,192654.1944,666079.6719,0.2464,0.0
22000,29764.9072,-11543.3156,-11544.1859,-210.7441,3.9696,1.0,213559.9023,705611.75,0.1821,0.0
22100,234189.2279,-11786.4095,-11791.3639,-215.5519,3.9696,1.0,944929.3267,2947971.4375,0.2526,0.0
22200,82016.9828,-11963.7161,-11963.2289,-218.4666,3.9696,1.0,255161.5829,887556.25,0.2604,0.0
22300,48256.0209,-11837.6755,-11836.7709,-216.2266,3.9696,1.0,70059.6848,243141.4531,0.2324,0.0
22400,35012.3962,-11945.1223,-11944.6006,-218.1151,3.9696,1.0,41027.5383,143813.9785,0.25,0.0
22500,31503.8031,-11943.8796,-11944.6389,-218.095,3.9698,1.0,112878.5186,307411.5391,0.2311,0.0
22600,30324.4907,-11981.2338,-11981.6985,-218.7589,3.9696,1.0,68013.2338,181224.9609,0.2602,0.0
22700,30534.8837,-12004.1993,-12004.2333,-219.1906,3.9697,1.0,31983.2979,96168.8867,0.1881,0.0
22800,31103.4497,-12222.6947,-12223.578,-223.2067,3.9697,1.0,25395.4045,78359.9834,0.2368,0.0
22900,30786.6142,-11811.512,-11811.4278,-215.7721,3.9697,1.0,63198.2861,229787.7656,0.2354,0.0
23000,30085.5682,-11753.0537,-11753.3936,-214.6842,3.9696,1.0,51758.5599,187937.7812,0.2546,0.0
23100,31054.6755,-12321.5917,-12322.4856,-225.0346,3.9696,1.0,122030.4403,403833.2969,0.2371,0.0
23200,31710.0808,-12626.7526,-12626.8903,-230.5992,3.9696,1.0,60091.6742,208556.293,0.3141,0.0
23300,33667.0417,-12145.009,-12145.8763,-221.9734,3.9697,1.0,631305.7625,2273401.875,0.2628,0.0
23400,34900.5018,-12328.2775,-12328.3856,-225.1537,3.9696,1.0,129437.244,463048.6953,0.2628,0.0
23500,33833.13,-12445.6813,-12446.4086,-227.2473,3.9696,1.0,347051.1483,1303262.4688,0.2272,0.0
23600,36486.7732,-12176.5618,-12176.9717,-222.5038,3.9696,1.0,125434.763,414966.0078,0.2373,0.0
23700,32181.2351,-12123.9995,-12124.3023,-221.579,3.9697,1.0,87517.7998,310589.0078,0.2112,0.0
23800,32616.3144,-12216.8971,-12217.8555,-223.2051,3.9696,1.0,90421.7677,312253.8203,0.2237,0.0
23900,34169.2653,-12505.6557,-12506.81,-228.537,3.9696,1.0,73303.4663,213794.5547,0.2974,0.0
