env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,19.5585,0.6881,0.6641,-4.684,3.9355,1.0155,2.4762,3.7105,0.0015,0.0001
200,89.5528,1.3152,1.2923,-5.3362,3.8584,1.0468,0.8111,0.1824,0.0004,0.0002
300,64.69,0.5525,0.5525,-4.9609,3.7992,1.0796,0.9661,0.6489,0.0007,0.0005
400,48.8804,1.0742,1.1003,-6.126,3.3237,1.1144,1.0157,1.1393,0.002,0.0009
500,67.4916,0.7768,0.7634,-5.4245,3.5845,1.1513,0.9873,0.9797,0.0022,0.0016
600,65.0933,0.6304,0.6332,-5.3181,3.581,1.1891,0.8037,0.861,0.0039,0.0035
700,55.7397,0.9135,0.9274,-5.8793,3.3587,1.2289,1.4883,2.0178,0.0306,0.0359
800,53.3696,1.4086,1.4077,-6.6048,3.461,1.2709,2.8269,2.7917,0.1621,0.2282
900,34.4617,1.111,0.6696,-6.5268,3.1016,1.3146,4.0826,4.1282,0.0202,0.0205
1000,17.5332,-0.6245,-0.6593,-6.98,2.2099,1.3632,3.2008,4.7918,0.0384,0.0568
1100,13.9258,-0.2535,-0.2694,-5.6959,2.3047,1.4152,6.0007,6.5384,0.0323,0.0121
1200,13.4743,0.8348,0.8695,-6.4845,3.0391,1.4678,3.5853,7.2148,0.0182,0.0256
1300,12.0434,1.7467,1.7504,-7.7499,3.0488,1.5213,2.5289,6.0436,0.0134,0.0055
1400,14.2881,2.292,2.2872,-8.3097,3.198,1.5769,3.6738,10.1388,0.0324,0.0244
1500,13.3807,2.724,2.714,-8.8203,3.2355,1.6349,2.7849,6.4698,0.0207,0.0266
1600,11.5052,3.9507,3.9423,-10.3246,3.3506,1.6954,3.8401,9.4764,0.0365,0.049
1700,11.3872,4.2884,4.2929,-10.7944,3.43,1.7586,4.6292,9.7328,0.0391,0.0621
1800,12.157,4.3365,4.339,-11.1403,3.5153,1.8245,12.1417,37.5331,0.0452,0.0769
1900,10.4711,5.4835,5.4905,-12.6319,3.6027,1.8934,19.9258,51.0206,0.4336,0.8649
2000,10.8832,5.7894,5.797,-13.3156,3.6239,1.9656,10.9473,28.2012,0.1979,0.3812
2100,10.0086,6.6754,6.6773,-14.5367,3.6548,2.0414,13.6596,38.6671,0.1131,0.2536
2200,9.1235,8.6817,8.6755,-17.0129,3.6478,2.1211,8.74,25.0012,0.299,0.5602
2300,9.2668,8.6865,8.6787,-17.4015,3.6013,2.2051,47.941,129.0911,0.1131,0.2278
2400,9.2953,9.7484,9.7411,-18.783,3.5827,2.2938,14.2965,41.7407,0.1826,0.3817
2500,9.0265,11.4763,11.472,-20.9334,3.5509,2.3874,13.5053,40.6472,0.1171,0.2419
2600,9.4559,12.3829,12.3787,-22.2216,3.5069,2.4861,12.5997,32.178,0.0511,0.0907
2700,11.0224,13.9601,13.9563,-24.1667,3.4649,2.5904,37.7077,106.8273,0.2243,0.4579
2800,11.1789,16.1737,16.1685,-26.815,3.4346,2.7004,38.7773,116.9341,0.2984,0.5955
2900,13.5897,17.712,17.7087,-28.734,3.3936,2.8166,47.155,142.9504,0.1572,0.2369
3000,15.0114,19.4754,19.4731,-30.9768,3.357,2.9391,22.6081,63.1385,0.1878,0.3822
3100,15.6016,22.0674,22.0638,-34.1251,3.3357,3.0684,40.0386,123.3727,0.3822,0.7451
3200,16.9867,23.7813,23.7771,-36.1902,3.3275,3.2047,124.274,360.4682,0.2298,0.4561
3300,17.9616,25.8827,25.8788,-38.8432,3.3182,3.3481,121.962,378.1305,0.3107,0.5918
3400,20.2757,29.3739,29.3699,-42.8806,3.3708,3.4988,235.5398,714.8705,0.2643,0.5186
3500,21.9036,30.411,30.4091,-44.5317,3.3326,3.6573,49.2599,141.4427,0.2954,0.5836
3600,22.7133,33.4471,33.4443,-48.0632,3.3846,3.8242,192.3786,611.9038,0.3437,0.6899
3700,35.8496,37.117,37.1193,-52.3307,3.4343,3.9993,81.9838,258.103,0.3139,0.578
3800,35.1048,40.2197,40.2152,-56.0696,3.4595,4.1829,25.8173,69.8972,0.1823,0.3415
3900,34.7678,43.5678,43.5683,-60.2189,3.4898,4.3759,38.1808,121.9605,0.1316,0.2371
4000,37.1602,46.3921,46.392,-63.81,3.5144,4.5788,73.225,225.9918,0.2303,0.4761
4100,41.0272,49.6953,49.6964,-67.8898,3.5548,4.7921,181.8482,521.5355,0.3882,0.6925
4200,53.0948,54.5146,54.5137,-73.5156,3.6026,5.016,144.424,469.5164,0.2563,0.394
4300,52.7255,57.9164,57.9169,-77.8401,3.6149,5.2512,72.0229,233.167,0.1001,0.1523
4400,57.3365,62.5062,62.504,-83.383,3.6469,5.4988,647.357,1986.0656,0.2729,0.5054
4500,64.9738,66.9758,66.9757,-88.6847,3.688,5.7589,144.1952,525.1645,0.2669,0.5446
4600,73.0534,72.1479,72.1472,-95.0026,3.7108,6.0324,507.5576,1506.5028,0.5939,0.9627
4700,84.6217,77.0988,77.099,-101.0621,3.7337,6.3201,461.8876,1556.2525,0.122,0.1827
4800,85.9033,82.7888,82.7888,-107.8674,3.7614,6.6228,537.0114,1697.6058,0.109,0.1841
4900,103.4671,88.496,88.4953,-114.8373,3.7791,6.9412,1072.3791,3270.9758,0.0983,0.1407
5000,119.2454,94.3786,94.3783,-122.0106,3.7929,7.2765,215.5511,741.7315,0.2882,0.5329
5100,139.6529,100.4191,100.4182,-129.4269,3.8084,7.6295,838.8416,3011.7898,0.1711,0.2384
5200,153.0959,108.459,108.4575,-138.9403,3.8248,8.0012,634.5084,2195.8766,0.2853,0.485
5300,150.9449,114.2427,114.2431,-146.2061,3.8285,8.3925,331.4097,1080.0841,0.1266,0.1938
5400,159.0133,121.3621,121.3615,-154.9499,3.8381,8.805,1677.4603,5197.7538,0.2561,0.4011
5500,183.2053,129.5251,129.5235,-164.7921,3.8473,9.2394,823.8975,2466.866,0.1573,0.2358
5600,194.8427,137.6642,137.6636,-174.7799,3.8562,9.697,1539.6496,4897.2411,0.3334,0.5416
5700,229.4729,146.5716,146.5668,-185.5523,3.866,10.179,482.7765,1485.8901,0.2968,0.4947
5800,222.6108,155.7729,155.7687,-196.8372,3.8729,10.6867,349.1022,1209.7411,0.1828,0.2995
5900,250.4219,165.2465,165.2387,-208.3673,3.8795,11.2215,668.4194,2429.5958,0.0943,0.1524
6000,276.4484,174.0388,174.0307,-219.2606,3.8795,11.7851,511.5071,1795.286,0.654,1.2059
6100,303.4503,186.7897,186.7818,-234.4339,3.8873,12.379,2154.66,7023.6978,0.3303,0.6666
6200,326.2498,197.3814,197.3732,-247.4554,3.8913,13.0046,4417.225,14277.2135,1.2967,2.4281
6300,391.27,209.3792,209.3699,-262.1921,3.8933,13.6638,1486.7482,4619.0258,0.3101,0.6877
6400,392.0329,222.6073,222.5993,-278.1644,3.8981,14.3584,5708.2112,17917.375,1.0295,2.2301
6500,474.2677,234.8471,234.8389,-293.0608,3.9018,15.0903,1583.8747,5595.6815,0.4193,0.8605
6600,462.8866,249.3584,249.3497,-310.862,3.9013,15.8614,3337.9916,10186.4838,0.3178,0.6129
6700,588.6999,266.7059,266.7011,-331.4454,3.9083,16.674,8160.1985,24148.6802,0.5348,0.9706
6800,599.4518,282.2806,282.2755,-350.3402,3.9095,17.5299,3120.5903,10125.6719,0.9351,1.8701
6900,678.4225,297.4813,297.4746,-369.187,3.9121,18.4318,2339.5365,7362.0131,1.178,2.3192
7000,749.9201,316.2353,316.2304,-391.7478,3.9162,19.3821,3978.7907,13185.1351,1.1178,2.2907
7100,765.4891,335.276,335.2705,-414.7625,3.9188,20.3832,3915.4615,11803.3545,0.4897,1.0776
7200,849.9388,355.0582,355.0499,-438.6441,3.9205,21.438,11525.0886,39524.7603,1.9417,4.5808
7300,2037.5872,374.1915,374.1814,-462.162,3.9235,22.5493,11732.315,38363.3101,1.3302,2.5972
7400,1532.1631,397.0596,397.0437,-489.8812,3.9184,23.7203,1700.3608,5973.7597,0.9179,2.0714
7500,1410.2839,419.1938,419.1832,-517.1029,3.9214,24.9546,3897.3741,13964.4792,0.6238,1.3495
7600,1746.6942,442.6542,442.6588,-545.4441,3.9205,26.2549,6382.5945,24810.7976,1.6443,3.8164
7700,1607.1319,467.918,467.9063,-576.2348,3.9205,27.6252,6058.0227,18231.9543,0.6234,1.1704
7800,1700.8554,492.9554,492.9461,-607.0058,3.9205,29.0692,9851.2169,33912.0923,0.8596,1.7978
7900,1985.5258,525.7363,525.7297,-645.9541,3.9229,30.5905,10697.5809,39654.0557,2.869,6.8549
8000,2007.8847,552.7623,552.7513,-679.4288,3.9225,32.1932,9771.8196,33276.3057,2.2798,5.4844
8100,2328.625,584.1227,584.1122,-717.371,3.9224,33.8821,22604.0428,70723.4053,1.4157,3.3512
8200,2418.8225,621.3998,621.3963,-762.1075,3.9248,35.6614,28553.8719,88601.6494,1.1538,2.491
8300,2910.9675,656.6369,656.6298,-804.8837,3.9252,37.536,53127.0501,169538.6758,2.7399,6.1463
8400,2822.7831,693.1936,693.1868,-849.306,3.9248,39.5111,13709.0065,48641.4482,1.8214,4.0148
8500,3037.9877,732.0809,732.0704,-896.4041,3.926,41.5922,19488.5298,70748.1045,2.2299,4.9109
8600,3531.7518,775.2028,775.1862,-948.5163,3.928,43.7845,73209.1493,221609.207,2.6174,5.5135
8700,4758.588,818.3664,818.3664,-1000.8041,3.9275,46.0943,41366.492,132225.9102,4.2627,9.8826
8800,3981.1604,867.8218,867.804,-1060.1818,3.9263,48.5281,11749.0762,39974.7397,2.5056,5.3889
8900,4391.5597,915.8891,915.8703,-1118.6405,3.9282,51.0925,39647.8755,123412.9883,2.459,5.5363
9000,5180.0856,966.5892,966.5919,-1179.6752,3.9282,53.7941,82386.9509,282373.2461,7.479,16.0784
9100,5312.1042,1023.2653,1023.2497,-1248.2963,3.9293,56.6404,71287.8978,224187.2715,5.3692,12.5084
9200,6147.2465,1081.4197,1081.4242,-1318.4612,3.9296,59.6391,34360.9273,128427.0742,2.6074,5.9562
9300,7098.3593,1141.5706,1141.5476,-1391.0042,3.9302,62.7985,119126.8542,430007.5195,2.5787,5.4995
9400,7320.4203,1206.063,1206.0488,-1469.1395,3.9304,66.1271,179984.1333,571454.6172,3.6457,7.8007
9500,7969.8668,1274.8812,1274.8616,-1551.2653,3.9295,69.6341,67289.1077,227697.7559,5.2902,11.4155
9600,8460.3138,1343.9105,1343.8979,-1636.3827,3.9309,73.3292,88661.5213,333961.9688,8.1065,18.3325
9700,10345.3475,1420.7684,1420.7556,-1727.5996,3.9319,77.2217,72549.8291,216408.6426,1.3671,2.8845
9800,9525.3078,1498.5238,1498.5195,-1822.3577,3.9319,81.3228,65905.4149,211381.4414,8.813,19.8365
9900,10718.4995,1581.1316,1581.1359,-1921.8234,3.932,85.6438,34567.5045,124411.3027,2.0614,4.0326
10000,10873.8695,1670.6362,1670.5825,-2029.9804,3.9332,90.196,88579.4755,299368.0312,4.5673,8.9666
10100,13879.4593,1762.3376,1762.3173,-2140.419,3.9341,94.992,262989.3678,923442.1719,11.8323,25.1063
10200,22072.8516,1860.0246,1860.027,-2258.4042,3.9357,100.0447,111225.4192,371845.5938,14.6192,31.471
10300,17833.511,1964.0105,1963.9935,-2384.0338,3.9354,105.3675,61322.1537,223292.5684,7.6767,17.1539
10400,17913.7195,2075.7624,2075.714,-2518.0815,3.9356,110.9755,115786.4566,375298.1992,6.1348,13.3797
10500,19906.3099,2187.2539,2187.2158,-2652.7679,3.9381,116.8842,108033.482,396588.5391,1.4892,3.1242
10600,28923.323,2306.0416,2306.0302,-2796.2371,3.9382,123.1083,225951.152,864841.0859,2.6908,5.0916
10700,25985.2149,2435.5072,2435.469,-2952.1764,3.9383,129.6657,219806.952,834833.75,5.9665,12.41
10800,29606.4746,2569.4094,2569.384,-3112.8888,3.9387,136.5751,226888.5583,813201.3984,7.1611,15.4815
10900,47777.7642,2707.5836,2707.5867,-3281.0812,3.9402,143.8544,246599.9415,858718.6797,6.2142,13.7098
11000,42076.5771,2861.3636,2861.3304,-3464.6028,3.9386,151.523,176406.7881,573759.1172,2.6706,5.6784
11100,40545.8393,3017.8428,3017.7986,-3654.0087,3.939,159.603,544989.3848,1755227.0469,4.8216,9.3521
11200,44803.4759,3188.1792,3188.1549,-3858.694,3.9404,168.1159,458950.6709,1687875.7188,3.8417,7.6648
11300,52975.4517,3364.8328,3364.7793,-4070.2215,3.9408,177.0848,273083.902,780236.7578,3.3199,6.8982
11400,69831.6894,3541.3325,3541.2872,-4284.9904,3.9414,186.5324,646657.3607,2281741.1562,8.3461,16.4739
11500,70310.944,3735.8077,3735.7926,-4519.3459,3.9402,196.4872,552208.4374,1877184.0938,2.8412,5.4375
11600,64770.3154,3936.0204,3936.0224,-4761.7722,3.939,206.9764,244842.8317,859225.5469,4.8655,10.2394
11700,73195.7378,4151.0568,4151.0176,-5019.9961,3.9405,218.0288,606225.8905,1903743.9375,7.9515,17.8283
11800,84328.1044,4379.5398,4379.5171,-5294.3534,3.9417,229.6715,1214268.0312,3928522.0625,10.8869,20.6462
11900,107288.2741,4616.2283,4616.1893,-5581.7344,3.9427,241.936,1907461.2522,6422049.5,5.7747,12.3708
12000,113030.7822,4867.5333,4867.5126,-5883.4746,3.9431,254.8562,518471.6014,2001758.4688,4.9047,10.2762
12100,106092.042,5131.9859,5131.9427,-6202.013,3.9427,268.4706,1161770.5465,3932941.625,16.515,36.6551
12200,133498.2717,5409.5566,5409.5865,-6536.1589,3.9441,282.8137,680270.9844,2586967.1562,5.5069,11.3651
12300,196705.47,5704.8516,5704.8642,-6891.3783,3.9452,297.923,3407672.6476,13211832.25,7.7006,15.7729
12400,175437.2169,6015.5642,6015.5507,-7265.1619,3.9447,313.8406,943149.1242,3401058.5,10.1599,21.3256
12500,160578.0334,6342.1575,6342.1349,-7661.6008,3.9452,330.6146,920421.147,3209086.3125,6.5088,12.3153
12600,171745.3217,6690.8621,6690.7833,-8080.362,3.9461,348.286,2957688.0963,11415502.875,5.146,9.681
12700,383658.1347,7051.2562,7051.2996,-8513.1884,3.9487,366.9018,3208449.8973,10657086.625,21.21,46.4188
12800,273876.7506,7414.1025,7414.2627,-8955.0368,3.9459,386.5126,1509998.2981,5088436.5625,10.2664,23.0524
12900,246552.4175,7823.2534,7823.3758,-9447.5543,3.9459,407.1794,1486239.4855,4406058.375,13.563,30.2112
13000,244016.5597,8247.057,8247.0605,-9958.5521,3.9462,428.9534,945261.2143,3725174.2188,3.2672,6.6043
13100,297121.5844,8689.9115,8689.9205,-10493.0336,3.9473,451.8918,5265010.7114,19098311.75,15.9898,34.2522
13200,370475.8097,9152.6405,9152.6846,-11051.4056,3.9479,476.0568,4376328.4588,15988350.25,13.6991,29.7875
13300,376137.2338,9653.5694,9653.506,-11651.117,3.9482,501.5146,4477326.5679,16608868.0,6.8116,14.3085
13400,460574.905,10177.0511,10177.0824,-12282.4551,3.9488,528.3338,8521539.4137,31452760.5,28.6098,61.7699
13500,596789.6637,10728.3299,10728.4062,-12950.4453,3.9496,556.5897,5080792.7878,19694234.0,10.5621,17.9099
13600,665261.6288,11303.976,11304.104,-13642.4268,3.9503,586.3622,6133601.0338,23256797.75,29.5925,63.4694
