env_steps,critic_loss,q1
100,1.7196,-0.144
200,1.3361,-0.654
300,1.1759,-0.7558
400,1.1504,-0.7695
500,0.999,-0.9113
600,1.068,-0.9345
700,1.0353,-0.936
800,0.9996,-0.9454
900,1.069,-0.8975
1000,1.045,-0.9165
1100,1.0873,-0.9118
1200,1.0801,-0.9124
1300,1.1424,-0.8697
1400,1.0927,-0.891
1500,1.0153,-0.9324
1600,1.0632,-0.9429
1700,1.1439,-0.851
1800,1.0804,-0.936
1900,1.099,-0.9016
2000,1.1585,-0.8765
2100,1.1328,-0.8849
2200,1.1627,-0.8505
2300,1.1457,-0.895
2400,1.0997,-0.8912
2500,1.1526,-0.9074
2600,1.1404,-0.8672
2700,1.1268,-0.8717
2800,1.2195,-0.8352
2900,1.1593,-0.855
3000,1.1608,-0.8865
3100,1.1643,-0.86
3200,1.1725,-0.8549
3300,1.1293,-0.8953
3400,1.1771,-0.8806
3500,1.1206,-0.9066
3600,1.1393,-0.9103
3700,1.1312,-0.9055
3800,1.119,-0.8926
3900,1.1547,-0.9181
4000,1.1183,-0.9019
4100,1.1336,-0.9159
4200,1.1388,-0.8878
4300,1.1529,-0.9018
4400,1.2009,-0.8798
4500,1.1241,-0.8919
4600,1.1749,-0.8898
4700,1.173,-0.8581
4800,1.1736,-0.8674
4900,1.1575,-0.8871
5000,1.1456,-0.8992
5100,1.1925,-0.8812
5200,1.126,-0.9124
5300,1.1818,-0.8674
5400,1.2144,-0.87
5500,1.2278,-0.7916
5600,1.1756,-0.8673
5700,1.1602,-0.8765
5800,1.2332,-0.8359
5900,1.2016,-0.866
6000,1.2031,-0.8371
6100,1.1434,-0.9062
6200,1.175,-0.8631
6300,1.1578,-0.8861
6400,1.1804,-0.8965
6500,1.202,-0.851
6600,1.1436,-0.8792
6700,1.1638,-0.9093
6800,1.1694,-0.9099
6900,1.1541,-0.8818
7000,1.2002,-0.851
7100,1.1703,-0.8913
7200,1.1324,-0.9277
7300,1.1665,-0.8955
7400,1.1849,-0.8718
7500,1.1287,-0.914
7600,1.1456,-0.8863
7700,1.1656,-0.8966
7800,1.1936,-0.8714
7900,1.1809,-0.8771
8000,1.1795,-0.8752
8100,1.2026,-0.8526
8200,1.1488,-0.9144
8300,1.1665,-0.8868
8400,1.2117,-0.8501
8500,1.2043,-0.8676
