env_steps,return,length,FPS,time
14229,-1024.0,100,44.3911,2.2527
14329,-190.0,100,42.2801,2.3652
14429,-264.0,100,42.5888,2.348
14529,-774.0,100,42.3368,2.362
14629,-570.0,100,44.3628,2.2541
14729,-164.0,100,43.9405,2.2758
14829,-230.0,100,43.1908,2.3153
14929,-1154.0,100,42.0203,2.3798
15029,-844.0,100,0.0,0.3977
15129,-610.0,100,46.7588,2.1386
15229,-494.0,100,44.0606,2.2696
15329,-1034.0,100,43.7483,2.2858
15429,-680.0,100,43.7738,2.2845
15529,-194.0,100,43.9592,2.2748
15629,-994.0,100,42.7691,2.3381
15729,-155.0,25,49.1303,2.0354
15754,-510.0,100,28.8744,0.8658
15854,-624.0,100,41.3197,2.4202
15954,-224.0,100,44.0072,2.2724
16054,-204.0,100,0.0,0.3924
16154,-164.0,100,42.5619,2.3495
16254,-490.0,100,42.6591,2.3442
16354,-164.0,100,45.222,2.2113
16454,-184.0,100,42.5547,2.3499
16554,-400.0,100,45.6628,2.19
16654,-670.0,100,43.3904,2.3047
16754,-180.0,100,44.9235,2.226
16854,-160.0,100,43.3142,2.3087
16954,-170.0,100,47.0883,2.1237
17054,-164.0,100,0.0,0.3937
17154,-174.0,100,43.4419,2.3019
17254,-160.0,100,43.3078,2.3091
17354,-184.0,100,43.7259,2.287
17454,-164.0,100,44.3061,2.257
17554,-174.0,100,42.381,2.3595
17654,-204.0,100,43.5428,2.2966
17754,-160.0,100,46.8021,2.1367
17854,-450.0,100,45.8441,2.1813
17954,-194.0,100,44.3038,2.2571
18054,-174.0,100,0.0,0.3961
18154,-174.0,100,42.9277,2.3295
18254,-174.0,100,47.7502,2.0942
18354,-184.0,100,45.5727,2.1943
18454,-270.0,100,43.8867,2.2786
18554,-1150.0,100,43.1902,2.3153
18654,-1094.0,100,45.3519,2.205
18754,-980.0,100,42.174,2.3711
18854,-574.0,100,42.5304,2.3513
18954,-184.0,100,44.5655,2.2439
19054,-700.0,100,0.0,0.468
19154,-704.0,100,41.5283,2.408
19254,-1124.0,100,42.112,2.3746
19354,-524.0,100,47.1222,2.1221
19454,-710.0,100,41.143,2.4305
19554,-910.0,100,44.2547,2.2596
19654,-540.0,100,45.6755,2.1894
19754,-384.0,100,44.7579,2.2342
19854,-1054.0,100,44.3057,2.257
19954,-464.0,100,42.6368,2.3454
20054,-1024.0,100,0.0,0.3947
20154,-384.0,100,43.0182,2.3246
20254,-1070.0,100,40.0171,2.4989
20354,-226.0,30,48.6793,2.0543
20384,-494.0,100,32.7115,0.9171
20484,-394.0,100,43.9562,2.275
20584,-480.0,100,42.8283,2.3349
20684,-184.0,100,43.5084,2.2984
20784,-640.0,100,44.7221,2.236
20884,-204.0,100,44.4582,2.2493
20984,-960.0,100,44.365,2.254
21084,-380.0,100,0.0,0.4119
21184,-814.0,100,44.0725,2.269
21284,-194.0,100,43.1403,2.318
21384,-294.0,100,43.5832,2.2945
21484,-734.0,100,44.5863,2.2428
21584,-754.0,100,43.0515,2.3228
21684,-160.0,100,43.5408,2.2967
21784,-834.0,100,42.3079,2.3636
21884,-66.0,66,45.1331,2.2157
21950,-210.0,100,39.8245,1.6573
22050,-230.0,100,0.0,0.4232
22150,-700.0,100,43.9717,2.2742
22250,-1024.0,100,44.3683,2.2539
22350,-184.0,100,45.4448,2.2005
22450,-360.0,100,43.8308,2.2815
22550,-174.0,100,42.5263,2.3515
22650,-190.0,100,42.9508,2.3282
22750,-170.0,100,46.2021,2.1644
22850,-180.0,100,43.0514,2.3228
22950,-990.0,100,43.0783,2.3214
23050,-210.0,100,0.0,0.4088
23150,-564.0,100,44.3578,2.2544
23250,-180.0,100,44.386,2.253
23350,-274.0,100,44.4587,2.2493
23450,-160.0,100,44.2679,2.259
23550,-460.0,100,43.4432,2.3019
23650,-174.0,100,44.0005,2.2727
23750,-180.0,100,43.8393,2.2811
23850,-304.0,100,45.2502,2.2099
23950,-354.0,100,43.7798,2.2842
24050,-160.0,100,0.0,0.4079
24150,-190.0,100,43.9624,2.2747
24250,-170.0,100,43.3529,2.3067
24350,-174.0,100,44.7722,2.2335
24450,-294.0,100,42.0682,2.3771
24550,-430.0,100,43.1301,2.3186
24650,-174.0,100,44.0118,2.2721
24750,-394.0,100,45.3199,2.2065
24850,-230.0,100,42.993,2.326
24950,-304.0,100,42.5376,2.3509
25050,-294.0,100,0.0,0.4142
25150,-920.0,100,43.6794,2.2894
25250,-184.0,100,43.0411,2.3234
25350,-450.0,100,42.838,2.3344
25450,-984.0,100,38.9605,2.5667
25550,-304.0,100,45.6055,2.1927
25650,-190.0,100,44.2592,2.2594
25750,-230.0,100,44.6412,2.2401
25850,-37.0,49,48.0012,2.0833
25899,-504.0,100,36.5878,1.3392
25999,-454.0,100,41.427,2.4139
26099,-774.0,100,0.0,0.4197
26199,-224.0,100,43.4289,2.3026
26299,-287.0,61,45.9779,2.175
26360,-294.0,100,38.548,1.5824
26460,-244.0,100,41.5637,2.4059
26560,-224.0,100,42.6361,2.3454
26660,-174.0,100,42.7425,2.3396
26760,-290.0,100,42.8488,2.3338
26860,-230.0,100,44.4241,2.251
26960,-534.0,100,43.6626,2.2903
27060,-670.0,100,0.0,0.4122
27160,-370.0,100,42.3173,2.3631
27260,-290.0,100,40.664,2.4592
27360,-514.0,100,45.3191,2.2066
27460,-674.0,100,43.098,2.3203
27560,-184.0,100,40.835,2.4489
27660,-170.0,100,43.3892,2.3047
27760,-330.0,100,44.7626,2.234
27860,-324.0,100,43.196,2.315
27960,-550.0,100,43.9615,2.2747
28060,-210.0,100,0.0,0.3947
28160,-1070.0,100,44.3601,2.2543
28260,-250.0,100,44.0241,2.2715
28360,-384.0,100,42.8869,2.3317
28460,-1034.0,100,41.4708,2.4113
28560,-490.0,100,41.3739,2.417
28660,-194.0,100,45.3449,2.2053
28760,-310.0,100,44.2769,2.2585
28860,-190.0,100,43.1935,2.3152
28960,-220.0,100,43.8103,2.2826
29060,-620.0,100,0.0,0.4846
29160,-170.0,100,39.1343,2.5553
29260,-220.0,100,41.8085,2.3919
29360,-294.0,100,42.7383,2.3398
29460,-304.0,100,42.5143,2.3522
29560,-180.0,100,41.6556,2.4006
29660,-164.0,100,43.3072,2.3091
29760,-194.0,100,43.5346,2.297
29860,-664.0,100,43.8075,2.2827
29960,-800.0,100,43.5935,2.2939
30060,-484.0,100,0.0,0.394
30160,-371.0,55,47.2775,2.1152
30215,-274.0,100,39.2643,1.4008
30315,-340.0,100,43.5195,2.2978
30415,-250.0,100,45.401,2.2026
30515,-494.0,100,45.2342,2.2107
30615,-400.0,100,39.4939,2.532
30715,-240.0,100,45.4896,2.1983
30815,-270.0,100,46.4292,2.1538
30915,-190.0,100,39.3888,2.5388
31015,-580.0,100,0.0,0.4504
31115,-290.0,100,44.2595,2.2594
31215,-174.0,100,46.3173,2.159
31315,-394.0,100,42.1168,2.3744
31415,-224.0,100,44.5463,2.2449
31515,-540.0,100,45.3152,2.2068
31615,-304.0,100,43.918,2.277
31715,-440.0,100,46.5633,2.1476
31815,-324.0,100,45.5043,2.1976
31915,-654.0,100,45.9789,2.1749
32015,-300.0,100,0.0,0.402
32115,-310.0,100,41.9858,2.3818
32215,-314.0,100,43.1273,2.3187
32315,-210.0,100,43.8021,2.283
32415,-224.0,100,42.8051,2.3362
32515,-264.0,100,40.6477,2.4602
32615,-170.0,100,42.0432,2.3785
32715,-284.0,100,42.7775,2.3377
32815,-210.0,100,43.2992,2.3095
32915,-450.0,100,43.3983,2.3042
33015,-224.0,100,0.0,0.4212
33115,-264.0,100,42.7693,2.3381
33215,-280.0,100,43.8249,2.2818
33315,-314.0,100,42.7812,2.3375
33415,-634.0,100,44.3932,2.2526
33515,-194.0,100,43.362,2.3062
33615,-274.0,100,42.6312,2.3457
33715,-380.0,100,42.8291,2.3349
33815,-190.0,100,44.2261,2.2611
33915,-254.0,100,42.6223,2.3462
34015,-544.0,100,0.0,0.3949
34115,-340.0,100,43.3881,2.3048
34215,-294.0,100,45.2238,2.2112
34315,-420.0,100,43.682,2.2893
34415,-174.0,100,42.5119,2.3523
34515,-574.0,100,44.4013,2.2522
34615,-438.0,100,43.4525,2.3014
34715,-350.0,100,44.4441,2.25
34815,-174.0,100,43.7883,2.2837
34915,-254.0,100,44.1357,2.2657
35015,-214.0,100,0.0,0.3992
35115,-230.0,100,43.1381,2.3181
35215,-344.0,100,43.7722,2.2846
35315,-254.0,100,42.9822,2.3265
35415,-210.0,100,42.981,2.3266
35515,-190.0,100,43.5112,2.2983
35615,-404.0,100,43.8754,2.2792
35715,-180.0,100,42.8449,2.334
35815,-334.0,100,43.3019,2.3094
35915,-320.0,100,43.2579,2.3117
36015,-310.0,100,0.0,0.3973
36115,-340.0,100,39.6659,2.5211
36215,-470.0,100,43.8278,2.2817
36315,-224.0,100,42.7518,2.3391
36415,-274.0,100,43.1169,2.3193
36515,-314.0,100,42.8975,2.3311
36615,-170.0,100,44.2908,2.2578
36715,-304.0,100,46.5685,2.1474
36815,-184.0,100,44.5207,2.2461
36915,-224.0,100,45.1365,2.2155
37015,-314.0,100,0.0,0.3886
37115,-334.0,100,44.1657,2.2642
37215,48.0,8,51.8331,1.9293
37223,-324.0,100,14.5149,0.5512
37323,-180.0,100,44.2175,2.2616
37423,-174.0,100,45.4308,2.2011
37523,-184.0,100,45.2602,2.2095
37623,-194.0,100,45.7522,2.1857
37723,-190.0,100,45.4854,2.1985
37823,-194.0,100,45.8539,2.1808
37923,-220.0,100,45.3696,2.2041
38023,-340.0,100,0.0,0.3899
38123,-200.0,100,45.4126,2.202
38223,-184.0,100,45.4764,2.1989
38323,-224.0,100,46.6672,2.1428
38423,-294.0,100,43.6376,2.2916
38523,-204.0,100,45.7791,2.1844
38623,-274.0,100,42.6488,2.3447
38723,-184.0,100,45.7277,2.1869
38823,-234.0,100,42.6153,2.3466
38923,-170.0,100,45.0899,2.2178
39023,-284.0,100,0.0,0.3964
39123,-174.0,100,39.4769,2.5331
39223,-334.0,100,44.1728,2.2638
39323,-320.0,100,41.6633,2.4002
39423,-290.0,100,40.0451,2.4972
39523,-190.0,100,43.439,2.3021
39623,-270.0,100,43.155,2.3172
39723,-190.0,100,43.4067,2.3038
39823,-164.0,100,42.9603,2.3277
39923,-160.0,100,42.078,2.3765
40023,-274.0,100,0.0,0.3834
