env_steps,return,restorations,length,FPS,time
0,1852.0,513,100,0.0,15.1289
100,1774.0,491,100,40.898,2.4451
200,1528.0,542,100,47.9609,2.085
300,1774.0,471,100,46.8189,2.1359
400,1727.0,648,100,47.7861,2.0927
500,1848.0,547,100,49.0322,2.0395
600,1608.0,562,100,45.5509,2.1953
700,1617.0,643,100,47.5315,2.1039
800,1284.0,791,100,47.0876,2.1237
900,1600.0,545,100,40.7531,2.4538
1000,1707.0,598,100,47.8864,2.0883
1100,1363.0,687,100,45.8022,2.1833
1200,1444.0,716,100,48.0796,2.0799
1300,1911.0,519,100,47.1392,2.1214
1400,1311.0,734,100,46.978,2.1287
1500,1729.0,606,100,47.6262,2.0997
1600,1693.0,627,100,47.6181,2.1
1700,1482.0,663,100,46.8591,2.1341
1800,998.0,757,100,47.7501,2.0942
1900,1604.0,746,100,47.2541,2.1162
2000,1222.0,738,100,47.5285,2.104
2100,1183.0,747,100,47.5098,2.1048
2200,1372.0,673,100,47.8541,2.0897
2300,1472.0,668,100,47.9246,2.0866
2400,1375.0,770,100,47.9345,2.0862
2500,1144.0,786,100,48.3734,2.0673
2600,1377.0,658,100,44.34,2.2553
2700,1059.0,771,100,46.46,2.1524
2800,1405.0,605,100,47.0186,2.1268
2900,877.0,853,100,47.3016,2.1141
3000,1028.0,812,100,47.5235,2.1042
3100,1301.0,814,100,47.1189,2.1223
3200,899.0,726,100,42.9626,2.3276
3300,1347.0,773,100,47.5128,2.1047
3400,983.0,842,100,46.5133,2.1499
3500,586.0,869,100,47.6642,2.098
3600,592.0,1023,100,48.5765,2.0586
3700,729.0,991,100,46.7211,2.1404
3800,706.0,939,100,44.9452,2.2249
3900,585.0,1020,100,44.4342,2.2505
4000,1124.0,801,100,44.914,2.2265
4100,750.0,860,100,45.3933,2.203
4200,489.0,1016,100,44.3852,2.253
4300,249.0,991,100,45.6753,2.1894
4400,482.0,1023,100,45.0894,2.2178
4500,732.0,873,100,46.5786,2.1469
4600,443.0,1057,100,45.8751,2.1798
4700,446.0,1054,100,47.0736,2.1243
4800,619.0,1081,100,45.7626,2.1852
4900,114.0,1121,100,47.1627,2.1203
5000,421.0,1084,100,44.715,2.2364
5100,362.0,1138,100,46.2321,2.163
5200,384.0,1136,100,47.382,2.1105
5300,-1140.0,1160,100,46.1216,2.1682
5400,603.0,997,100,44.3247,2.2561
5500,422.0,1093,100,46.4121,2.1546
5600,352.0,1148,100,45.7988,2.1835
5700,443.0,1057,100,45.1671,2.214
5800,144.0,1101,100,44.6966,2.2373
5900,411.0,1089,100,44.8855,2.2279
6000,375.0,1125,100,41.4494,2.4126
6100,388.0,1112,100,45.7524,2.1857
6200,633.0,1067,100,45.8012,2.1834
6300,400.0,1150,100,47.7772,2.093
6400,523.0,977,100,46.9211,2.1312
6500,356.0,1149,100,45.8491,2.1811
6600,638.0,862,100,47.1179,2.1223
6700,509.0,1091,100,46.9397,2.1304
6800,511.0,989,100,48.1932,2.075
6900,485.0,1015,100,47.1467,2.121
7000,450.0,1050,100,47.3388,2.1124
7100,-987.0,1167,100,47.0565,2.1251
7200,385.0,1160,100,47.0504,2.1254
7300,407.0,1093,100,46.7758,2.1379
7400,451.0,1049,100,47.1348,2.1216
7500,368.0,1132,100,44.6344,2.2404
7600,374.0,1126,100,47.3437,2.1122
7700,409.0,1091,100,47.991,2.0837
7800,369.0,1131,100,45.3556,2.2048
7900,422.0,1093,100,47.0567,2.1251
8000,418.0,1082,100,44.0337,2.271
8100,448.0,1072,100,47.0096,2.1272
8200,385.0,1115,100,47.2117,2.1181
8300,419.0,1081,100,47.0407,2.1258
8400,359.0,1146,100,46.6319,2.1445
8500,389.0,1116,100,47.6807,2.0973
8600,426.0,1074,100,47.164,2.1203
8700,440.0,1060,100,47.68,2.0973
8800,545.0,1005,100,47.1514,2.1208
8900,371.0,1129,100,48.0886,2.0795
9000,385.0,1120,100,48.3428,2.0686
9100,586.0,1039,100,46.6234,2.1448
9200,375.0,1125,100,45.8101,2.1829
9300,369.0,1131,100,47.4944,2.1055
9400,422.0,1078,100,47.4245,2.1086
9500,403.0,1097,100,47.1834,2.1194
9600,377.0,1123,100,47.7083,2.0961
9700,397.0,1103,100,46.8609,2.134
9800,432.0,1068,100,47.3548,2.1117
9900,350.0,1155,100,47.08,2.124
10000,-134.0,1169,100,0.0,0.4293
10100,406.0,1094,100,47.3421,2.1123
10200,376.0,1124,100,47.6566,2.0983
10300,436.0,1064,100,48.2195,2.0738
10400,379.0,1121,100,47.7595,2.0938
10500,364.0,1136,100,47.0434,2.1257
10600,469.0,1031,100,48.1291,2.0777
10700,393.0,1112,100,47.2861,2.1148
10800,396.0,1104,100,47.7508,2.0942
10900,406.0,1094,100,47.2933,2.1145
11000,436.0,1064,100,46.9036,2.132
11100,371.0,1129,100,47.7119,2.0959
11200,404.0,1096,100,47.171,2.1199
11300,377.0,1128,100,47.0869,2.1237
11400,480.0,1020,100,47.6023,2.1007
11500,380.0,1120,100,47.1442,2.1212
11600,352.0,1148,100,47.7734,2.0932
11700,-1199.0,1199,100,47.524,2.1042
11800,35.0,1165,100,47.3053,2.1139
11900,395.0,1105,100,47.717,2.0957
12000,393.0,1107,100,47.3408,2.1123
12100,622.0,1078,100,47.7149,2.0958
12200,417.0,1083,100,46.7708,2.1381
12300,353.0,1147,100,47.076,2.1242
12400,377.0,1123,100,47.4718,2.1065
12500,650.0,950,100,47.6314,2.0995
12600,401.0,1099,100,47.4786,2.1062
12700,376.0,1124,100,47.536,2.1037
