env_steps,return,restorations,length,FPS,time
0,-831.0,67,100,0.0,0.7958
100,-835.0,69,100,41.8689,2.3884
200,-777.0,66,100,48.4641,2.0634
300,-777.0,66,100,49.5653,2.0175
400,-831.0,67,100,47.979,2.0842
500,-817.0,65,100,48.4022,2.066
600,-818.0,66,100,47.6777,2.0974
700,-943.0,67,100,49.5414,2.0185
800,-773.0,61,100,48.7768,2.0502
900,-696.0,58,100,49.3428,2.0266
1000,-851.0,63,100,46.8666,2.1337
1100,-821.0,63,100,47.3335,2.1127
1200,-882.0,65,100,48.946,2.0431
1300,-756.0,59,100,49.6986,2.0121
1400,-725.0,61,100,49.7457,2.0102
1500,-890.0,65,100,48.863,2.0465
1600,-805.0,65,100,49.6136,2.0156
1700,-761.0,57,100,48.1139,2.0784
1800,-738.0,61,100,50.5669,1.9776
1900,-718.0,56,100,50.071,1.9972
2000,-838.0,67,100,50.0651,1.9974
2100,-867.0,61,100,47.8119,2.0915
2200,-920.0,64,100,47.087,2.1237
2300,-647.0,60,100,43.5829,2.2945
2400,-764.0,60,100,43.2036,2.3146
2500,-759.0,50,100,43.8977,2.278
2600,-801.0,62,100,43.8482,2.2806
2700,-794.0,61,100,44.7229,2.236
2800,-837.0,66,100,43.9824,2.2736
2900,-885.0,59,100,45.078,2.2184
3000,-827.0,60,100,45.4961,2.198
3100,-838.0,48,100,44.6844,2.2379
3200,-908.0,59,100,44.9242,2.226
3300,-701.0,58,100,43.6656,2.2901
3400,-745.0,59,100,45.458,2.1998
3500,-695.0,58,100,51.3851,1.9461
3600,-780.0,53,100,53.4537,1.8708
3700,-720.0,55,100,51.2409,1.9516
3800,-808.0,55,100,52.0579,1.9209
3900,-657.0,55,100,48.431,2.0648
4000,-785.0,50,100,48.837,2.0476
4100,-692.0,52,100,54.3864,1.8387
4200,-747.0,56,100,52.6027,1.901
4300,-836.0,58,100,52.7014,1.8975
4400,-636.0,49,100,52.1295,1.9183
4500,-766.0,54,100,53.2906,1.8765
4600,-530.0,49,100,52.2093,1.9154
4700,-723.0,60,100,53.1334,1.8821
4800,-790.0,47,100,53.5705,1.8667
4900,-834.0,54,100,50.911,1.9642
5000,-763.0,56,100,51.5658,1.9393
5100,-761.0,51,100,52.9679,1.8879
5200,-789.0,51,100,51.4568,1.9434
5300,-803.0,51,100,52.3139,1.9115
