env_steps,return,invalid_actions,length,FPS,time
40000,-5.3,0.72,100,0.0,0.4078
40100,-7.7,0.84,100,30.8026,3.2465
40200,-7.6,0.83,100,30.4095,3.2885
40300,-5.0,0.68,100,30.7509,3.2519
40400,-6.9,0.81,100,31.152,3.2101
40500,-0.9,0.93,100,31.0287,3.2228
40600,-9.6,0.96,100,30.1195,3.3201
40700,-7.7,0.84,100,31.0051,3.2253
40800,-6.0,0.94,100,30.9229,3.2339
40900,-7.1,0.8,100,30.895,3.2368
41000,-8.1,0.85,100,0.0,0.4381
41100,-7.8,0.85,100,29.3815,3.4035
41200,-6.6,0.75,100,29.7275,3.3639
41300,-0.4,0.91,100,31.3247,3.1924
41400,-8.4,0.88,100,31.2843,3.1965
41500,-8.1,0.85,100,31.4061,3.1841
41600,-8.1,0.86,100,31.4732,3.1773
41700,-8.3,0.86,100,31.0809,3.2174
41800,-6.8,0.76,100,30.921,3.2341
41900,-5.6,0.86,100,31.4413,3.1805
42000,-5.7,0.92,100,0.0,0.3986
42100,-4.4,0.87,100,31.4197,3.1827
42200,-8.7,0.91,100,31.4554,3.1791
42300,-5.5,0.83,100,31.3602,3.1888
42400,-9.3,0.93,100,31.4063,3.1841
42500,-2.9,0.86,100,31.4083,3.1839
42600,-1.3,0.78,100,30.9389,3.2322
42700,-7.8,0.84,100,28.8151,3.4704
42800,-3.7,0.72,100,29.2891,3.4142
42900,-7.9,0.84,100,29.9412,3.3399
43000,-8.4,0.86,100,0.0,0.393
43100,-7.9,0.84,100,31.351,3.1897
43200,-7.6,0.84,100,28.8815,3.4624
43300,-9.6,0.96,100,28.9016,3.46
43400,-8.0,0.86,100,31.1918,3.206
43500,-9.2,0.94,100,31.2066,3.2044
43600,-0.7,0.83,100,30.9421,3.2318
43700,-1.6,0.92,100,31.3255,3.1923
43800,-3.7,0.77,100,29.94,3.34
43900,-8.6,0.88,100,30.7743,3.2495
44000,-7.8,0.84,100,0.0,0.4056
44100,-8.6,0.89,100,31.0357,3.2221
44200,-8.7,0.89,100,30.5835,3.2697
44300,-3.6,0.81,100,31.0482,3.2208
44400,-8.7,0.89,100,30.2438,3.3065
44500,-4.5,0.84,100,29.5496,3.3841
44600,-8.7,0.9,100,27.0584,3.6957
44700,-9.8,0.98,100,29.3667,3.4052
44800,-7.5,0.8,100,27.9201,3.5817
44900,-8.0,0.84,100,27.4225,3.6466
45000,-5.5,0.74,100,0.0,0.4076
45100,-9.6,0.96,100,29.6006,3.3783
45200,-6.2,0.73,100,28.4453,3.5155
45300,-9.7,0.97,100,28.6788,3.4869
45400,-9.7,0.97,100,29.3064,3.4122
45500,-8.5,0.88,100,28.902,3.46
45600,-8.5,0.89,100,29.9334,3.3408
45700,-9.6,0.96,100,28.5338,3.5046
45800,-5.6,0.71,100,29.4159,3.3995
45900,-7.7,0.82,100,28.893,3.461
46000,-4.5,0.83,100,0.0,0.4088
46100,0.4,0.74,100,30.0225,3.3308
46200,-9.6,0.96,100,29.4548,3.395
