env_steps,return,invalid_actions,length,FPS,time
0,0.3,0.02,100,0.0,0.0582
100,0.0,0.01,100,132.6468,0.7539
200,0.1,0.02,100,130.918,0.7638
300,0.1,0.0,100,134.9742,0.7409
400,0.0,0.01,100,134.0623,0.7459
500,0.1,0.02,100,134.9792,0.7409
600,0.0,0.01,100,135.1472,0.7399
700,0.1,0.01,100,124.1187,0.8057
800,0.0,0.0,100,134.2597,0.7448
900,0.1,0.01,100,133.9054,0.7468
1000,0.4,0.01,100,0.0,0.0521
1100,0.0,0.0,100,133.7131,0.7479
1200,2.4,0.0,100,133.271,0.7504
1300,1.2,0.01,100,126.0081,0.7936
1400,0.0,0.0,100,126.5214,0.7904
1500,0.4,0.0,100,123.6464,0.8088
1600,0.0,0.01,100,122.1721,0.8185
1700,0.4,0.0,100,123.16,0.812
1800,0.0,0.01,100,123.4423,0.8101
1900,0.0,0.0,100,126.8964,0.788
2000,0.2,0.02,100,0.0,0.0518
2100,0.1,0.0,100,121.1515,0.8254
2200,0.0,0.0,100,121.08,0.8259
2300,0.0,0.01,100,127.5761,0.7838
2400,0.1,0.02,100,131.0335,0.7632
2500,1.3,0.0,100,137.873,0.7253
2600,0.0,0.01,100,136.9846,0.73
2700,0.0,0.0,100,137.6088,0.7267
2800,0.0,0.02,100,137.5764,0.7269
2900,0.0,0.01,100,136.5395,0.7324
3000,0.0,0.0,100,0.0,0.0489
3100,0.0,0.01,100,137.343,0.7281
3200,0.0,0.03,100,136.0926,0.7348
3300,0.2,0.01,100,137.9565,0.7249
3400,0.0,0.0,100,139.1357,0.7187
3500,0.1,0.0,100,137.4998,0.7273
3600,0.0,0.01,100,137.8257,0.7256
3700,0.2,0.01,100,138.5249,0.7219
3800,0.0,0.01,100,138.6974,0.721
3900,0.0,0.0,100,138.0271,0.7245
4000,0.0,0.01,100,0.0,0.049
4100,0.0,0.02,100,137.9033,0.7251
4200,0.0,0.0,100,135.406,0.7385
4300,0.1,0.01,100,138.5694,0.7217
4400,0.0,0.0,100,137.0518,0.7297
4500,0.1,0.0,100,137.4888,0.7273
4600,0.1,0.0,100,137.5,0.7273
4700,0.0,0.0,100,136.3417,0.7335
4800,0.0,0.0,100,137.2808,0.7284
4900,2.4,0.01,100,135.5431,0.7378
5000,0.3,0.0,100,0.0,0.0491
5100,0.0,0.01,100,137.0054,0.7299
5200,0.4,0.01,100,136.9696,0.7301
5300,0.0,0.0,100,136.3311,0.7335
5400,0.0,0.0,100,135.1103,0.7401
5500,0.0,0.0,100,137.5724,0.7269
5600,0.0,0.02,100,137.757,0.7259
5700,0.0,0.0,100,139.3143,0.7178
5800,0.0,0.0,100,138.5876,0.7216
5900,0.0,0.0,100,136.7335,0.7314
6000,0.0,0.01,100,0.0,0.0499
6100,0.0,0.01,100,134.8287,0.7417
6200,0.0,0.01,100,136.0213,0.7352
6300,0.0,0.01,100,136.403,0.7331
6400,0.0,0.0,100,135.5089,0.738
6500,0.0,0.0,100,138.0348,0.7245
