env_steps,return,invalid_actions,length,FPS,time
0,-9.6,0.96,100,0.0,0.7331
100,-9.5,0.95,100,49.9452,2.0022
200,-8.6,0.88,100,61.4181,1.6282
300,-7.9,0.85,100,61.8784,1.6161
400,-7.6,0.77,100,61.1778,1.6346
500,-8.1,0.82,100,61.4893,1.6263
600,-8.3,0.83,100,61.4908,1.6263
700,-8.4,0.92,100,61.5392,1.625
800,-6.6,0.84,100,61.2717,1.6321
900,-5.3,0.7,100,58.4739,1.7102
1000,-5.7,0.7,100,0.0,0.4315
1100,-6.4,0.73,100,61.5635,1.6243
1200,-5.2,0.75,100,61.4421,1.6275
1300,-5.2,0.62,100,60.6071,1.65
1400,-2.3,0.66,100,61.5655,1.6243
1500,-2.3,0.68,100,62.1282,1.6096
1600,-4.2,0.61,100,61.593,1.6236
1700,-3.8,0.63,100,61.2605,1.6324
1800,-5.2,0.7,100,61.3815,1.6292
1900,-2.5,0.65,100,61.6473,1.6221
2000,-3.8,0.55,100,0.0,0.4273
2100,-2.1,0.45,100,60.6977,1.6475
2200,4.3,0.64,100,61.3561,1.6298
2300,-3.9,0.61,100,61.9626,1.6139
2400,-2.8,0.51,100,62.3136,1.6048
2500,2.8,0.49,100,61.4875,1.6263
2600,23.3,0.63,100,61.8899,1.6158
2700,-2.1,0.45,100,61.7393,1.6197
2800,3.2,0.61,100,62.3024,1.6051
2900,-0.3,0.34,100,62.0285,1.6122
3000,-1.4,0.37,100,0.0,0.4403
3100,-0.3,0.38,100,61.1032,1.6366
3200,2.2,0.64,100,61.6778,1.6213
3300,7.9,0.54,100,61.787,1.6185
3400,0.2,0.31,100,61.0237,1.6387
3500,-1.4,0.87,100,61.3213,1.6308
3600,2.4,0.25,100,61.4625,1.627
3700,-6.2,0.76,100,61.2132,1.6336
3800,-5.8,0.76,100,60.9681,1.6402
3900,-2.7,0.59,100,61.0171,1.6389
4000,1.2,0.23,100,0.0,0.4374
4100,8.2,0.21,100,60.4905,1.6532
4200,1.3,0.24,100,60.1249,1.6632
4300,-6.0,0.71,100,61.5452,1.6248
4400,3.8,0.73,100,61.9729,1.6136
4500,7.5,0.47,100,60.7557,1.6459
4600,-9.6,0.96,100,60.8963,1.6421
4700,0.9,0.89,100,61.4151,1.6283
4800,1.5,0.62,100,61.2981,1.6314
4900,-4.9,0.7,100,61.3418,1.6302
5000,-1.2,0.48,100,0.0,0.4327
5100,-1.3,0.92,100,60.7176,1.647
5200,-9.7,0.97,100,61.5345,1.6251
5300,-0.1,0.92,100,61.2221,1.6334
5400,-1.1,0.48,100,60.5517,1.6515
5500,0.9,0.84,100,61.5346,1.6251
5600,0.4,0.91,100,60.8709,1.6428
5700,0.3,0.94,100,61.0813,1.6372
5800,0.4,0.93,100,61.2287,1.6332
5900,0.5,0.89,100,61.4915,1.6262
6000,5.8,0.4,100,0.0,0.4409
6100,3.5,0.01,100,60.4406,1.6545
6200,-9.6,0.96,100,61.049,1.638
6300,0.7,0.88,100,61.0451,1.6381
6400,4.0,0.02,100,60.313,1.658
6500,8.5,0.48,100,60.9288,1.6413
6600,-9.9,0.99,100,60.9399,1.641
6700,3.9,0.02,100,60.9289,1.6413
