env_steps,return,length,FPS,time
0,-766.0,100,0.0,1.0957
100,-760.0,100,27.2485,3.6699
200,-640.0,100,41.4269,2.4139
300,-816.0,100,40.6181,2.462
400,-760.0,100,41.0604,2.4354
500,-700.0,100,40.942,2.4425
600,-616.0,100,40.6338,2.461
700,-736.0,100,41.0445,2.4364
800,-860.0,100,41.1597,2.4296
900,-1026.0,100,40.3595,2.4777
1000,-345.0,53,0.0,0.2419
1053,-546.0,80,36.725,1.4432
1133,-680.0,100,39.3021,2.0355
1233,-900.0,100,40.7286,2.4553
1333,-880.0,100,40.2673,2.4834
1433,-616.0,100,38.8777,2.5722
1533,-550.0,100,41.1878,2.4279
1633,-986.0,100,36.705,2.7244
1733,-560.0,100,40.806,2.4506
1833,-946.0,100,40.1688,2.4895
1933,-660.0,100,38.9378,2.5682
2033,-910.0,100,0.0,0.4307
2133,-1050.0,100,40.2769,2.4828
2233,-1010.0,100,39.8198,2.5113
2333,-303.0,41,45.4604,2.1997
2374,-1010.0,100,28.4368,1.4418
2474,-580.0,100,40.2991,2.4814
2574,-950.0,100,41.2722,2.4229
2674,18.0,12,46.0404,2.172
2686,-708.0,86,18.3203,0.655
2772,-550.0,58,41.762,2.0593
2830,-114.0,24,44.7842,1.2951
2854,-95.0,19,40.1508,0.5977
2873,94.0,2,41.6264,0.4564
2875,20.0,8,19.5095,0.1025
2883,-70.0,18,31.5673,0.2534
2901,-95.0,19,36.7038,0.4904
2920,-157.0,23,25.7436,0.738
2943,34.0,10,41.4406,0.555
2953,-12.0,12,36.6988,0.2725
2965,-117.0,21,33.541,0.3578
2986,4.0,10,40.0945,0.5238
2996,-506.0,100,14.8945,0.6714
3096,35.0,9,0.0,0.0546
3105,57.0,5,37.3357,0.2411
3110,-133.0,23,21.6038,0.2314
3133,15.0,9,43.2547,0.5317
3142,-80.0,18,31.0671,0.2897
3160,42.0,6,45.5918,0.3948
3166,-21.0,11,31.6927,0.1893
3177,25.0,9,36.7604,0.2992
3186,93.0,3,36.0216,0.2499
3189,-22.0,12,22.5626,0.133
3201,41.0,7,42.9335,0.2795
3208,94.0,2,41.3284,0.1694
3210,35.0,9,24.1847,0.0827
3219,-197.0,31,24.6361,0.3653
3250,78.0,4,46.1489,0.6717
3254,51.0,7,34.4625,0.1161
3261,-69.0,17,27.8554,0.2513
3278,57.0,5,42.9538,0.3958
3283,83.0,3,36.2708,0.1379
3286,-47.0,13,18.625,0.1611
3299,83.0,3,41.2628,0.3151
3302,-123.0,23,16.0623,0.1868
3325,40.0,8,37.4396,0.6143
3333,-27.0,13,29.7843,0.2686
3346,15.0,9,37.2966,0.3486
3355,83.0,3,38.7682,0.2321
3358,-53.0,15,18.4172,0.1629
3373,41.0,7,40.1717,0.3734
3380,57.0,5,36.7714,0.1904
3385,31.0,7,32.334,0.1546
3392,-299.0,37,19.3813,0.3612
3429,-11.0,11,40.1007,0.9227
