env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm,return,success,length,FPS
726,0.0212,0.3528,0.3523,-0.7442,3.3842,0.1,0.393,0.7202,0.002,0.0002,,,,
737,0.0184,0.3761,0.3761,-0.757,3.3858,0.1,0.2972,0.5078,0.002,0.0002,,,,
748,0.0209,0.3359,0.3355,-0.7528,3.3866,0.1,0.425,0.7915,0.0025,0.0005,,,,
759,0.0237,0.362,0.3619,-0.7529,3.388,0.1,0.4567,0.8721,0.0029,0.0002,,,,
770,0.0181,0.3748,0.3745,-0.7674,3.3914,0.1,0.2539,0.4173,0.0024,0.0003,,,,
781,0.0169,0.3744,0.3746,-0.7554,3.3967,0.1,0.4844,0.9318,0.0019,0.0002,,,,
792,0.0211,0.3781,0.3782,-0.7696,3.3997,0.1,0.282,0.477,0.0025,0.0004,,,,
803,0.0184,0.3704,0.371,-0.7675,3.4002,0.1,0.3825,0.7162,0.002,0.0001,,,,
814,0.0183,0.3834,0.3833,-0.7704,3.3974,0.1,0.4627,0.8971,0.0026,0.0004,,,,
825,0.018,0.3888,0.3882,-0.7786,3.3946,0.1,0.3309,0.5921,0.0034,0.0007,,,,
836,0.0222,0.3933,0.3935,-0.7704,3.3964,0.1,0.448,0.8598,0.0029,0.0005,,,,
847,0.0183,0.4039,0.4043,-0.7835,3.4034,0.1,0.32,0.5743,0.0024,0.0002,,,,
858,0.0137,0.3895,0.389,-0.7823,3.4118,0.1,0.4738,0.9343,0.0021,0.0001,,,,
869,0.0158,0.4138,0.4131,-0.7933,3.4183,0.1,0.3584,0.6654,0.0025,0.0002,,,,
880,0.0173,0.3911,0.392,-0.7912,3.4235,0.1,0.3959,0.7507,0.0025,0.0001,,,,
891,0.0141,0.4129,0.4136,-0.7914,3.4263,0.1,0.5362,1.0676,0.0023,0.0003,,,,
902,0.0128,0.4083,0.4068,-0.7954,3.4256,0.1,0.4313,0.8312,0.0022,0.0003,,,,
913,0.0149,0.4061,0.406,-0.8031,3.4225,0.1,0.4302,0.839,0.0031,0.0004,,,,
924,0.0138,0.4131,0.4141,-0.7939,3.4233,0.1,0.5021,1.0022,0.0025,0.0001,,,,
935,0.0138,0.4129,0.4125,-0.8046,3.4271,0.1,0.4375,0.8552,0.0022,0.0001,,,,
946,0.0087,0.4317,0.4315,-0.8096,3.4329,0.1,0.3821,0.7227,0.002,0.0001,,,,
957,0.014,0.4286,0.429,-0.8147,3.4373,0.1,0.5051,1.0159,0.0019,0.0002,,,,
968,0.0126,0.4353,0.4346,-0.8182,3.4394,0.1,0.4612,0.913,0.002,0.0002,,,,
979,0.0119,0.4406,0.4407,-0.8196,3.4421,0.1,0.3196,0.5795,0.002,0.0003,,,,
990,0.011,0.4358,0.4364,-0.8262,3.4442,0.1,0.3764,0.7094,0.002,0.0001,,,,
1001,0.0136,0.4355,0.435,-0.8246,3.448,0.1,0.5275,1.0719,0.002,0.0003,,,,
1012,0.0138,0.4544,0.4539,-0.8349,3.4495,0.1,0.3876,0.7461,0.0016,0.0001,,,,
1023,0.0107,0.4532,0.4537,-0.8338,3.4506,0.1,0.4151,0.807,0.0017,0.0002,,,,
1034,0.0099,0.4525,0.4529,-0.8382,3.4529,0.1,0.5134,1.0443,0.0018,0.0002,,,,
1045,0.0126,0.4458,0.4453,-0.847,3.4551,0.1,0.4531,0.9044,0.0019,0.0003,,,,
1056,0.011,0.4639,0.4636,-0.8422,3.458,0.1,0.5045,1.0247,0.0023,0.0006,,,,
1067,0.0096,0.4673,0.4672,-0.8484,3.4619,0.1,0.5593,1.1725,0.002,0.0005,,,,
1078,0.0116,0.4568,0.4571,-0.8491,3.4683,0.1,0.4199,0.8288,0.0023,0.0004,,,,
1089,0.0104,0.4753,0.4754,-0.8614,3.48,0.1,0.2936,0.5242,0.0027,0.0005,,,,
1100,0.011,0.4518,0.4514,-0.8601,3.4951,0.1,0.4051,0.7973,0.0029,0.0002,,,,
1100,,,,,,,,,,,-0.79,0.0,11.0,106.1021
