env_steps,critic_loss,q1,q2,actor_loss,entropy,coef,critic_grad_norm,critic_seq_grad_norm,actor_grad_norm,actor_seq_grad_norm
100,5.5426,-1.0637,-1.0662,-1.798,2.7426,1.0311,0.7721,1.0665,0.0032,0.0006
200,2.9097,-1.4201,-1.4265,-1.6648,2.7131,1.0969,0.9415,1.7639,0.0039,0.0021
300,1.7037,-1.6706,-1.6778,-1.5538,2.7626,1.1685,1.1329,2.2709,0.003,0.0006
400,1.8888,-1.4398,-1.4308,-2.0123,2.7616,1.2467,0.8902,1.585,0.0043,0.0009
500,1.8227,-1.4471,-1.4397,-2.229,2.7541,1.3327,1.4694,3.349,0.0158,0.0187
600,1.7991,-1.1075,-1.1037,-2.839,2.7432,1.4276,2.0314,4.9413,0.0074,0.0024
700,1.991,-1.3229,-1.3215,-2.9069,2.7488,1.5321,1.2583,2.5041,0.0127,0.0121
800,2.3869,-0.9285,-0.9271,-3.6181,2.7529,1.647,2.5315,5.9659,0.0147,0.0088
900,2.813,-0.4928,-0.4914,-4.3816,2.7562,1.7738,6.7675,18.3103,0.0094,0.0042
1000,3.461,0.3394,0.34,-5.5905,2.7533,1.9136,2.9102,5.3871,0.0164,0.0127
1100,4.0559,1.0806,1.0794,-6.7604,2.7568,2.0682,5.5738,13.0674,0.0184,0.013
1200,5.4826,2.3796,2.3796,-8.5403,2.7566,2.2389,2.0953,2.7346,0.0143,0.0134
1300,6.1002,3.7277,3.7312,-10.406,2.76,2.4276,11.3733,22.58,0.0078,0.0019
1400,7.2514,5.1574,5.1603,-12.4206,2.7595,2.6364,8.2968,15.0936,0.0194,0.0121
1500,8.2934,7.0351,7.0408,-14.9127,2.7609,2.8676,7.5688,17.2871,0.0139,0.003
1600,10.5972,9.7664,9.7665,-18.3742,2.7613,3.1236,10.7047,26.834,0.0139,0.0035
1700,11.5358,12.5831,12.5844,-21.9974,2.7605,3.4073,11.9749,31.4304,0.0157,0.0071
1800,13.844,15.3182,15.3166,-25.6042,2.7627,3.7217,16.0722,38.423,0.016,0.0058
1900,14.6021,18.6328,18.632,-29.8758,2.7639,4.0701,23.579,56.5228,0.0137,0.0052
2000,17.1692,22.6295,22.6302,-34.962,2.7639,4.4563,10.8734,17.4721,0.0137,0.006
